,"Author: Shaunak, Sunil",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 14 (Of the 33 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,962,115,148,263,99,1324
2009,"Mimicking PAMAM dendrimers with amphoteric, hybrid triazine dendrimers: a comparison of dispersity and stability","Lalwani S., Chouai A., Perez L.M., Santiago V., Shaunak S., Simanek E.E.",00249297,"Macromolecules",42, 17,0,0,0,0,0,0
2009,"Electrophoretic behavior of anionic triazine and pamam dendrimers: methods for improving resolution and assessing purity using capillary electrophoresis","Lalwani S., Venditto V.J., Chouai A., Rivera G.E., Shaunak S., Simanek E.E.",00249297,"Macromolecules",42, 8,0,0,0,0,1,1
2008,"Disulfide bridge based PEGylation of proteins","Brocchini S., Godwin A., Balan S., Choi J.-w., Zloh M., Shaunak S.",0169409X,"Advanced Drug Delivery Reviews",60, 1,0,0,7,7,4,11
2007,"Identification and insertion of 3-carbon bridges in protein disulfide bonds: A computational approach","Zloh M., Shaunak S., Balan S., Brocchini S.",17542189,"Nature Protocols",2, 5,0,0,2,2,1,3
2007,"Molecular dynamics simulations of proteins with chemically modified disulfide bonds","Godwin A., Choi J.-W., Pedone E., Balan S., Jumnah R., Shaunak S., Brocchini S., Zloh M.",1432881X,"Theoretical Chemistry Accounts",117, 2,0,1,2,3,0,3
2007,"Site-specific PEGylation of protein bisulfide bonds using a three-carbon bridge","Balan S., Choi J.-W., Godwin A., Teo I., Laborde C.M., Heidelberger S., Zloh M., Shaunak S., Brocchini S.",10431802,"Bioconjugate Chemistry",18, 1,0,2,13,15,2,17
2006,"PEGylation of native disulfide bonds in proteins","Brocchini S., Balan S., Godwin A., Choi J.-W., Zloh M., Shaunak S.",17542189,"Nature Protocols",1, 5,0,2,5,7,4,11
2006,"No change to HIV-1 latency with valproate therapy [3]","Steel A., Clark S., Teo I., Shaunak S., Nelson M., Gazzard B., Kelleher P.",02699370,"AIDS",20, 12,0,1,3,4,2,6
2006,"Site-specific PEGylation of native disulfide bonds in therapeutic proteins","Shaunak S., Brocchini S., Godwin A., Choi J.-W., Balan S., Pedone E., Vijayarangam D., Heidelberger S., Teo I., Zloh M.",15524450,"Nature Chemical Biology",2, 6,2,11,9,20,6,28
2005,"Pitfalls of culturing C8166 cells in serum-free media","Teo I., Choi J.-W., Buttigieg K., Shaunak S.",08892229,"AIDS Research and Human Retroviruses",21, 3,0,0,0,0,0,0
2004,"Polyvalent dendrimer glucosamine conjugates prevent scar tissue formation","Shaunak S., Patterson S., Khaw P., Brocchini S., Thomas S., Gianasi E., Godwin A., Jones E., Teo I., Mireskandari K., Luthert P., Duncan R.",10870156,"Nature Biotechnology",22, 8,20,12,14,26,16,62
2003,"Monitoring HIV disease with new and clinically useful surrogate markers.","Shaunak S., Teo I.",09517375,"Current opinion in infectious diseases",16, 6,1,0,1,1,0,2
2003,"HIV DNA two long terminal repeat circles: Observations and interpretations [1]","Shaunak S., Teo I., Choi J.-W., Gazzard B.",02699370,"AIDS",17, 15,0,0,1,1,0,1
2003,"Optimisation of the degree of sulfation of a polymer based construct to block the entry of HIV-1 into cells","Shaunak S., Thornton M., Teo I., Chandler B., Jones M., Steel S.",1061186X,"Journal of Drug Targeting",11, 7,5,3,2,5,1,11
2003,"The heat-shock protein receptor CD91 is up-regulated in monocytes of HIV-1-infected ""true"" long-term nonprogressors","Stebbing J., Shaunak S., Srivastava P., Patterson S., Gazzard B., Kim L., Portsmouth S., Wildfire A., Teo I., Nelson M., Bower M., Gotch F.",00064971,"Blood",101, 10,22,3,2,5,2,29
2003,"Identification of two mutually exclusive groups after long-term monitoring of HIV DNA 2-LTR circle copy number in patients on HAART","Morlese J., Teo I.A., Choi J.-W., Gazzard B., Shaunak S.",02699370,"AIDS",17, 5,9,1,0,1,1,11
2002,"LightCycler qPCR optimisation for low copy number target DNA","Teo I.A., Choi J.W., Morlese J., Taylor G., Shaunak S.",00221759,"Journal of Immunological Methods",270, 1,26,4,3,7,3,36
2002,"Surrogacy in antiviral drug development","Shaunak S., Davies D.S.",03065251,"British Journal of Clinical Pharmacology",54, 1,1,0,0,0,0,1
2002,"Reliable and reproducible LightCycler qPCR for HIV-1 DNA 2-LTR circles","Teo I.A., Morlese J., Choi J.W., Shaunak S.",00221759,"Journal of Immunological Methods",270, 1,6,0,1,1,1,8
2001,"Evidence for a post-entry barrier to R5 HIV-1 infection of CD4 memory T cells","Vyakarnam A., Simmons G., Clapham P., Eyeson J., Teo I., Zuckerman M., Babaahmady K., Schuitemaker H., Shaunak S., Rostron T., Rowland-Jones S.",02699370,"AIDS",15, 13,8,0,1,1,0,9
2001,"Clustered mutations in HIV-1 gag are consistently required for escape from HLA-B27-restricted cytotoxic T lymphocyte responses","Kelleher A.D., Goulder P., Brander C., Ogg G., Sullivan J.S., Dyer W., Jones I., McMichael A.J., Rowland-Jones S., Phillips R.E., Long C., Holmes E.C., Allen R.L., Wilson J., Conlon C., Workman C., Shaunak S., Olson K.",00221007,"Journal of Experimental Medicine",193, 3,153,25,36,61,15,229
2000,"Repeated and spontaneous switching of the chemokine co-receptors used by HIV-1 is rare in vivo [3]","Veryard C., Javan C., Shaunak S.",02699370,"AIDS",14, 18,3,0,0,0,0,3
2000,"Direct visualization of HIV-1-specific cytotoxic T lymphocytes during primary infection","Wilson J.D.K., McMichael A.J., Rowland-Jones S.L., Ogg G.S., Allen R.L., Davis C., Shaunak S., Downie J., Dyer W., Workman C., Sullivan J.S.",02699370,"AIDS",14, 3,71,8,5,13,5,89
2000,"Persistence of episomal HIV-1 infection intermediates in patients on highly active anti-retroviral therapy","Sharkey M.E., Veryard C., Davaro R.E., Cheeseman S.H., Daly J.S., Bova C., Ellison III R.T., Mady B., Lai K.K., Moyle G., Nelson M., Teo I., Gazzard B., Shaunak S., Stevenson M., Greenough T., Sharova N., Luzuriaga K., Sullivan J.L., Bucy R.P., Kostrikis L.G., Haase A.",10788956,"Nature Medicine",6, 1,199,15,11,26,10,235
