,"Author: Shovlin, Claire L L",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 37 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,976,137,150,287,136,1399
2009,"Hereditary haemorrhagic telangiectasia: A clinical and scientific review","Govani F.S., Shovlin C.L.",10184813,"European Journal of Human Genetics",17, 7,0,0,0,0,0,0
2009,"Management of pulmonary arteriovenous malformations in pulmonary hypertensive patients: A pressure to embolise?","Shovlin C.L., Gibbs J.S.R., Jackson J.E.",09059180,"European Respiratory Review",18, 111,0,0,0,0,4,4
2008,"Post-NICE 2008: Antibiotic prophylaxis prior to dental procedures for patients with pulmonary arteriovenous malformations (PAVMs) and hereditary haemorrhagic telangiectasia","Shovlin C., Bamford K., Wray D.",00070610,"British Dental Journal",205, 10,0,0,0,0,1,1
2008,"Estimates of maternal risks of pregnancy for women with hereditary haemorrhagic telangiectasia (Osler-Weber-Rendu syndrome): Suggested approach for obstetric services","Shovlin C.L., Sodhi V., McCarthy A., Lasjaunias P., Jackson J.E., Sheppard M.N.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",115, 9,0,0,0,0,4,4
2008,"Embolisation of pulmonary arteriovenous malformations: No consistent effect on pulmonary artery pressure","Shovlin C.L., Tighe H.C., Davies R.J., Gibbs J.S.R., Jackson J.E.",09031936,"European Respiratory Journal",32, 1,0,0,1,1,6,7
2008,"Primary determinants of ischaemic stroke/brain abscess risks are independent of severity of pulmonary arteriovenous malformations in hereditary haemorrhagic telangiectasia","Shovlin C.L., Jackson J.E., Bamford K.B., Jenkins I.H., Benjamin A.R., Ramadan H., Kulinskaya E.",00406376,"Thorax",63, 3,0,0,4,4,11,15
2007,"Discussion","Davies J., Drake C.J., Ruhrberg C., Shovlin C.L., Dejana E., Augustin H.G., Yancopoulos G.D., Kitajewski J., Lammert E., Ye W., Vargesson N.A., Mostov K.E., Wilkins A., Wilting J., Betsholtz C., Eichmann A.",15282511,"Novartis Foundation Symposium",283, ,0,0,0,0,0,0
2007,"Discussion","Augustin H.G., Shovlin C.L., Ye W., Lammert E., Yancopoulos G.D., Weinstein B.M., Kitajewski J., Ruhrberg C., Epstein J.A., Gerhardt H., Drake C.J., Owens G.K.",15282511,"Novartis Foundation Symposium",283, ,0,0,0,0,0,0
2007,"Discussion","Ruhrberg C., Wilting J., Wilkins A., Shovlin C.L., Drake C.J., Davies J., Lammert E., Ye W., Yancopoulos G.D., Owens G.K., Augustin H.G., Adams R.H.",15282511,"Novartis Foundation Symposium",283, ,0,0,0,0,0,0
