,"Authors: Skinner, Michael A.; Skinner, M. A.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 23 (Of the 77 documents considered for the h-Index, 23 have been cited at least 23 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2244,298,290,588,168,3000
2008,"Effect of African potato (Hypoxis hemerocallidea) on the pharmacokinetics of efavirenz","Mogatle S., Skinner M., Mills E., Kanfer I.",02569574,"South African Medical Journal",98, 12,0,0,0,0,1,1
2008,"RET activation inhibits doxorubicin-induced apoptosis in SK-N-MC cells","Skinner M.A., Lackey K.E., Freemerman A.J.",02507005,"Anticancer Research",28, 4 B,0,0,0,0,0,0
2008,"Use of allograft biopsies to assess thymopoiesis after thymus transplantation","Markert M.L., Li J., Devlin B.H., Hoehner J.C., Rice H.E., Skinner M.A., Li Y.-J., Hale L.P.",00221767,"Journal of Immunology",180, 9,0,0,1,1,1,2
2008,"An MHC-restricted CD8+ T-cell response is induced in cattle by foot-and-mouth disease virus (FMDV) infection and also following vaccination with inactivated FMDV","Guzman E., Taylor G., Charleston B., Skinner M.A., Ellis S.A.",00221317,"Journal of General Virology",89, 3,0,0,0,0,3,3
2008,"Partial splenectomy for children with congenital hemolytic anemia and massive splenomegaly","Diesen D.L., Zimmerman S.A., Thornburg C.D., Ware R.E., Skinner M., Oldham K.T., Rice H.E.",00223468,"Journal of Pediatric Surgery",43, 3,0,0,0,0,1,1
2008,"Renal Aplasia in Humans Is Associated with RET Mutations","Skinner M.A., Safford S.D., Reeves J.G., Jackson M.E., Freemerman A.J.",00029297,"American Journal of Human Genetics",82, 2,0,0,2,2,8,10
2007,"Resection of hepatocellular adenoma in patients with glycogen storage disease type Ia","Reddy S.K., Kishnani P.S., Sullivan J.A., Koeberl D.D., Desai D.M., Skinner M.A., Rice H.E., Clary B.M.",01688278,"Journal of Hepatology",47, 5,0,0,3,3,4,7
2007,"The discovery of substituted 4-(3-hydroxyanilino)-quinolines as potent RET kinase inhibitors","Graham Robinett R., Freemerman A.J., Skinner M.A., Shewchuk L., Lackey K.",0960894X,"Bioorganic and Medicinal Chemistry Letters",17, 21,0,0,2,2,0,2
2007,"Recovery of genetically defined murine norovirus in tissue culture by using a fowlpox virus expressing T7 RNA polymerase","Chaudhry Y., Skinner M.A., Goodfellow I.G.",00221317,"Journal of General Virology",88, 8,0,1,7,8,1,9
2007,"Review of 54 patients with complete DiGeorge anomaly enrolled in protocols for thymus transplantation: Outcome of 44 consecutive transplants","Markert M.L., He M., Sarzotti M., Skinner M.A., Rice H.E., Hoehner J.C., Devlin B.H., Alexieff M.J., Li J., McCarthy E.A., Gupton S.E., Chinn I.K., Hale L.P., Kepler T.B.",00064971,"Blood",109, 10,0,4,15,19,5,24
2007,"mda-5, but not RIG-I, is a common target for paramyxovirus V proteins","Childs K., Stock N., Ross C., Andrejeva J., Hilton L., Skinner M., Randall R., Goodbourn S.",00426822,"Virology",359, 1,0,14,21,35,13,48
2006,"Retention of 1.2 kbp of 'novel' genomic sequence in two European field isolates and some vaccine strains of Fowlpox extends open reading frame fpv241","Jarmin S.A., Manvell R., Gough R.E., Laidlaw S.M., Skinner M.A.",00221317,"Journal of General Virology",87, 12,0,0,1,1,0,1
2006,"Safety and immunogenicity of the malaria candidate vaccines FP9 CS and MVA CS in adult Gambian men","Imoukhuede E.B., Sowe M., Todryk S., Laidlaw S.M., Skinner M.A., Lang T., Gilbert S., Greenwood B.M., Hill A.V.S., Berthoud T., Milligan P., Bojang K., Ismaili J., Keating S., Nwakanma D., Keita S., Njie F.",0264410X,"Vaccine",24, 42-43,0,4,2,6,1,7
2006,"Avipoxvirus phylogenetics: Identification of a PCR length polymorphism that discriminates between the two major clades","Jarmin S., Manvell R., Gough R.E., Laidlaw S.M., Skinner M.A.",00221317,"Journal of General Virology",87, 8,1,1,1,2,2,5
2006,"Different levels of immunogenicity of two strains of Fowlpox virus as recombinant vaccine vectors eliciting T-cell responses in heterologous prime-boost vaccination strategies.","Cottingham M.G., van Maurik A., Zago M., Newton A.T., Anderson R.J., Howard M.K., Schneider J., Skinner M.A.",15566811,"Clinical and vaccine immunology : CVI.",13, 7,0,1,1,2,2,4
2006,"Surgical intervention in children with multiple endocrine neoplasia type 2","Danko M.E., Skinner M.A.",10408703,"Current Opinion in Pediatrics",18, 3,2,1,1,2,1,5
2006,"Thyroid and parathyroid disease in children","Safford S.D., Skinner M.A.",10558586,"Seminars in Pediatric Surgery",15, 2,1,0,0,0,0,1
2006,"Safety of recombinant fowlpox strain FP9 and modified vaccinia virus Ankara vaccines against liver-stage P. falciparum malaria in non-immune volunteers","Webster D.P., Gilbert S.C., Hill A.V.S., Dunachie S., McConkey S., Poulton I., Moore A.C., Walther M., Laidlaw S.M., Peto T., Skinner M.A.",0264410X,"Vaccine",24, 15,5,9,6,15,2,22
2005,"Long-term functionality of cryopreserved parathyroid autografts: A 13-year prospective analysis","Cohen M.S., Lairmore T.C., Grant C., Shaha A.R., Saxe A., Mitchell B.K., Demeure M.J., Libutti S.K., Sitges-Serra A., Dilley W.G., Wells Jr. S.A., Moley J.F., Doherty G.M., Sicard G.A., Skinner M.A., Norton J.A., DeBenedetti M.K.",00396060,"Surgery",138, 6,0,2,3,5,2,7
2005,"Prophylactic thyroidectomy in multiple endocrine neoplasia type 2A","Skinner M.A., Moley J.A., Dilley W.G., Owzar K., DeBenedetti M.K., Wells Jr. S.A.",00284793,"New England Journal of Medicine",353, 11,26,21,18,39,14,79
2005,"Longitudinal mechanical tension induces growth in the small bowel of juvenile rats","Safford S.D., Freemerman A.J., Safford K.M., Bentley R., Skinner M.A.",00175749,"Gut",54, 8,5,0,1,1,2,8
2005,"In vitro expression and analysis of secreted fowlpox virus CC chemokine-like proteins Fpv060, Fpv061, Fpv116 and Fpv121","Jeshtadi A., Henriquet G., Laidlaw S.M., Hot D., Zhang Y., Skinner M.A.",03048608,"Archives of Virology",150, 9,0,0,0,0,0,0
2005,"Postoperative outcomes of extremely low birth-weight infants with necrotizing enterocolitis or isolated intestinal perforation: A prospective cohort study by the NICHD Neonatal Research Network","Blakely M.L., Letton R.W., Chwals W.J., Touloukian R.J., Kurkchubasche A.G., Skinner M.A., Moss R.L., Hilfiker M.L., Langham Jr. M.R., Neblett III W.W., Tepas III J.P., Lally K.P., O'Neill Jr. J.A., Haller Jr. J.A., Bagwell C.E., McDonald S., Brown R.L., Barnhart D.C., Ricketts R.R., Thompson W.R., Scherer L.R., Klein M.D.",00034932,"Annals of Surgery",241, 6,9,6,15,21,6,36
2005,"A study of 11,003 patients with hypertrophic pyloric stenosis and the association between surgeon and hospital volume and outcomes","Safford S.D., Pietrobon R., Safford K.M., Martins H., Skinner M.A., Rice H.E.",00223468,"Journal of Pediatric Surgery",40, 6,1,3,6,9,2,12
2005,"Enhanced T cell-mediated protection against malaria in human challenges by using the recombinant poxviruses FP9 and modified vaccinia virus Ankara","Webster D.P., Andersen R.F., Bejon P., Butcher G., Sinden R., Skinner M.A., Gilbert S.C., Hill A.V.S., Dunachie S., Vuola J.M., Berthoud T., Keating S., Laidlaw S.M., McConkey S.J., Poulton I., Andrews L.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",102, 13,37,25,16,41,9,87
2005,"Fowlplox virus as a recombinant vaccine vector for use in mammals and poultry","Skinner M.A., Laidlaw S.M., Eldaghayes I., Kaiser P., Cottingham M.G.",14760584,"Expert Review of Vaccines",4, 1,4,6,2,8,3,15
2005,"Decreased E-cadherin expression correlates with higher stage of Wilms' tumors","Safford S.D., Freemerman A.J., Langdon S., Bentley R., Goyeau D., Grundy P.E., Skinner M.A.",00223468,"Journal of Pediatric Surgery",40, 2,4,1,0,1,0,5
2005,"Partial splenectomy before a hematopoietic stem cell transplantation in children","Hall J.G., Kurtzberg J., Szabolcs P., Skinner M.A., Rice H.E.",00223468,"Journal of Pediatric Surgery",40, 1,1,0,3,3,0,4
2005,"A human yeast artificial chromosome containing the multiple endocrine neoplasia type 2B Ret mutation does not induce medullary thyroid carcinoma but does support the growth of kidneys and partially rescues enteric nervous system development in Ret-deficient mice","Skinner M.A., Kalyanaraman S., Safford S.D., Heuckeroth R.O., Tourtellotte W., Goyeau D., Goodfellow P., Milbrandt J.D., Freemerman A.",00029440,"American Journal of Pathology",166, 1,2,0,1,1,0,3
2004,"Thymic transplantation for complete DiGeorge syndrome: Medical and surgical considerations","Rice H.E., Skinner M.A., Mahaffey S.M., Oldham K.T., Ing R.J., Hale L.P., Markert M.L.",00223468,"Journal of Pediatric Surgery",39, 11,1,7,1,8,1,10
2004,"Postnatal thymus transplantation with immunosuppression as treatment for DiGeorge syndrome","Markert M.L., Rice H.E., Mahaffey S.M., Skinner M.A., Alexieff M.J., Li J., Sarzotti M., Ozaki D.A., Devlin B.H., Sedlak D.A., Sempowski G.D., Hale L.P.",00064971,"Blood",104, 8,8,10,7,17,3,28
2004,"Phase 1 evaluation of 3 highly immunogenic prime-boost regimens, including a 12-month reboosting vaccination, for malaria vaccination in Gambian men","Moorthy V.S., Imoukhuede E.B., Keating S., Pinder M., Webster D., Skinner M.A., Gilbert S.C., Walraven G., Hill A.V.S.",00221899,"Journal of Infectious Diseases",189, 12,34,11,4,15,5,54
2004,"Complete DiGeorge syndrome: Development of rash, lymphadenopathy, and oligoclonal T cells in 5 cases","Markert M.L., Hale L.P., Buckley R.H., Coyne K.E., Rice H.E., Mahaffey S.M., Skinner M.A., Alexieff M.J., Li J., Sarzotti M., Ozaki D.A., Devlin B.H., Sempowski G.D., Rhein M.E., Szabolcs P.",00916749,"Journal of Allergy and Clinical Immunology",113, 4,20,7,12,19,4,43
