,"This is a citation overview for a set of 15 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 10 (Of the 15 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,208,135,174,122,431,0,639
2009,"Peripheral and central administration of xenin and neurotensin suppress food intake in rodents","Cooke J.H., Patterson M., Patel S.R., Smith K.L., Ghatei M.A., Bloom S.R., Murphy K.G.",19307381,"Obesity",17, 6,0,0,0,0,0,0,0
2008,"Overexpression of CART in the PVN increases food intake and weight gain in rats","Smith K.L., Gardiner J.V., Ward H.L., Kong W.M., Murphy K.G., Martin N.M., Ghatei M.A., Bloom S.R.",19307381,"Obesity",16, 10,0,0,0,1,1,0,1
2006,"Neuropeptide S stimulates the hypothalamo-pituitary-adrenal axis and inhibits food intake","Smith K.L., Patterson M., Dhillo W.S., Patel S.R., Semjonous N.M., Gardiner J.V., Ghatei M.A., Bloom S.R.",00137227,"Endocrinology",147, 7,2,5,13,13,31,0,33
2006,"Neuromedin U partially mediates leptin-induced hypothalamo-pituitary adrenal (HPA) stimulation and has a physiological role in the regulation of the HPA axis in the rat","Jethwa P.H., Todd J.F., Ghatei M.A., Bloom S.R., Smith K.L., Small C.J., Abbott C.R., Darch S.J., Murphy K.G., Seth A., Semjonous N.M., Patel S.R.",00137227,"Endocrinology",147, 6,0,4,3,4,11,0,11
2006,"The importance of acclimatisation and habituation to experimental conditions when investigating the anorectic effects of gastrointestinal hormones in the rat","Abbott C.R., Small C.J., Sajedi A., Smith K.L., Parkinson J.R.C., Broadhead L.L., Ghatei M.A., Bloom S.R.",03070565,"International Journal of Obesity",30, 2,5,6,13,4,23,0,28
2006,"Interactions between the melanocortin system and the hypothalamo-pituitary- thyroid axis","Martin N.M., Smith K.L., Bloom S.R., Small C.J.",01969781,"Peptides",27, 2,2,4,3,4,11,0,13
2006,"Gut hormones: The future for obesity therapy?","Smith K.L., Parkinson J.R., Bloom S.R.",10683097,"Current Opinion in Endocrinology and Diabetes",13, 1,0,0,0,0,0,0,0
2005,"Agouti related protein (AgRP) is upregulated in Cushing's syndrome","Dhillo W.S., Gardiner J.V., Castle L., Bewick C.A., Smith K.L., Meeran K., Todd J.F., Ghatei M.A., Bloom S.R.",09477349,"Experimental and Clinical Endocrinology and Diabetes",113, 10,0,3,0,0,3,0,3
2005,"Central relaxin-3 administration causes hyperphagia in male wistar rats","McGowan B.M.C., Bloom S.R., Stanley S.A., Smith K.L., White N.E., Connolly M.M., Thompson E.L., Gardiner J.V., Murphy K.G., Ghatei M.A.",00137227,"Endocrinology",146, 8,7,6,9,11,26,0,33
2005,"Neuromedin U has a physiological role in the regulation of food intake and partially mediates the effects of leptin","Jethwa P.H., Bloom S.R., Small C.J., Smith K.L., Seth A., Darch S.J., Abbott C.R., Murphy K.G., Todd J.F., Ghatei M.A.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",289, 2,4,3,2,4,9,0,13
2005,"The inhibitory effects of peripheral administration of peptide YY 3-36 and glucagon-like peptide-1 on food intake are attenuated by ablation of the vagal-brainstem-hypothalamic pathway","Abbott C.R., Monteiro M., Small C.J., Sajedi A., Smith K.L., Parkinson J.R.C., Ghatei M.A., Bloom S.R.",00068993,"Brain Research",1044, 1,22,18,29,22,69,0,91
2005,"Exercise in rats does not alter hypothalamic AMP-activated protein kinase activity","Andersson U., Treebak J.T., Nielsen J.N., Smith K.L., Abbott C.R., Small C.J., Carling D., Richter E.A.",0006291X,"Biochemical and Biophysical Research Communications",329, 2,1,3,4,1,8,0,9
2004,"Triiodothyronine stimulates food intake via the hypothalamic ventromedial nucleus independent of changes in energy expenditure","Kong W.M., Bloom S.R., Martin N.M., Smith K.L., Gardiner J.V., Connoley I.P., Stephens D.A., Dhillo W.S., Ghatei M.A., Small C.J.",00137227,"Endocrinology",145, 11,15,10,14,5,29,0,44
2004,"Central and peripheral administration of kisspeptin-10 stimulates the hypothalamic-pituitary-gonadal axis","Thomson E.L., Patterson M., Murphy K.G., Smith K.L., Dhillo W.S., Todd J.F., Ghatei M.A., Bloom S.R.",09538194,"Journal of Neuroendocrinology",16, 10,44,28,31,28,87,0,131
2004,"AMP-activated Protein Kinase Plays a Role in the Control of Food Intake","Andersson U., Filipsson K., Abbott C.R., Woods A., Smith K., Bloom S.R., Carling D., Small C.J.",00219258,"Journal of Biological Chemistry",279, 13,106,45,53,25,123,0,229
