,"Author: Smith, Susan F.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 6 (Of the 16 documents considered for the h-Index, 6 have been cited at least 6 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,170,28,20,48,5,223
2007,"Comparison of a web-based package with tutor-based methods of teaching respiratory medicine: Subjective and objective evaluations","Smith S.F., Roberts N.J., Partridge M.R.",14726920,"BMC Medical Education",7, ,0,0,1,1,1,2
2007,"Do newly qualified doctors use the knowledge and skills they learned as medical undergraduates? [3]","Smith S.F., Roberts N.J., Partridge M.R.",03080110,"Medical Education",41, 9,0,0,0,0,0,0
2006,"Time-specific effects of perinatal glucocorticoid treatment on anterior pituitary morphology, annexin 1 expression and adrenocorticotrophic hormone secretion in the adult female rat","John C.D., Theogaraj E., Christian H.C., Morris J.F., Smith S.F., Buckingham J.C.",09538194,"Journal of Neuroendocrinology",18, 12,0,0,2,2,0,2
2006,"The long-term effects of perinatal glucocorticoid exposure on the host defence system of the respiratory tract","Theogaraj E., John C.D., Dewar A., Buckingham J.C., Smith S.F.",00223417,"Journal of Pathology",210, 1,1,4,1,5,0,6
2006,"Perinatal glucocorticoid treatment disrupts the hypothalamo-lactotroph axis in adult female, but not male, rats","McArthur S., Gillies G.E., Siddique Z.-L., Christian H.C., Capone G., Theogaraj E., John C.D., Smith S.F., Morris J.F., Buckingham J.C.",00137227,"Endocrinology",147, 4,2,4,0,4,1,7
2005,"Perinatal glucocorticoid treatment produces molecular, functional, and morphological changes in the anterior pituitary gland of the adult male rat","Theogaraj E., John C.D., Christian H.C., Morris J.F., Smith S.F., Buckingham J.C.",00137227,"Endocrinology",146, 11,6,6,4,10,1,17
2004,"Model tests with an FPSO in design environmental conditions","Skourup J., Sterndorff M.J., Smith S.F., Cheng X., Ahilan R.V., Soares C.G., Pascoal R.",,"Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE",1, ,0,0,0,0,0,0
2002,"Effect of fluticasone on the elastase:antielastase profile of the normal lung","Kamal A.M., Corrigan C.J., Tetley T.D., Alaghband-Zadeh J., Smith S.F.",00142972,"European Journal of Clinical Investigation",32, 9,2,0,0,0,0,2
2001,"The effects of new developments in wave modelling on jack-up loads","Smith S.F., Ahilan R.V., Hoyle M., Swan C., Marcom M.",,"Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE",1, ,0,0,0,0,0,0
2001,"Extreme two-dimensional water waves: An assessment of potential design solutions","Smith S.F., Swan C.",00298018,"Ocean Engineering",29, 4,9,1,0,1,0,10
1999,"Lung type II cell and macrophage annexin I release: Differential effects of two glucocorticoids","Hall S.E., Lim S., Witherden I.R., Tetley T.D., Barnes P.J., Kamal A.M., Smith S.F.",10400605,"American Journal of Physiology - Lung Cellular and Molecular Physiology",276, 1,20,2,0,2,0,22
1998,"Reduction of nitric oxide release from alveolar macrophages by a lipocortin peptide","Kamal A.M., Tetley T.D., Witherden I.R., Smith S.F.",09629351,"Mediators of Inflammation",7, 2,1,0,0,0,0,1
1997,"Kinematic predictions in large shallow water waves","Smith Susan, Swan Christopher",08938717,"Proceedings of the Coastal Engineering Conference",1, ,0,0,0,0,0,0
1996,"Lipocortin 1: Glucocorticoids caught in the act?","Smith S.F.",00406376,"Thorax",51, 10,7,0,0,0,0,7
1996,"Eicosanoids and lipocortin-1 in BAL fluid in asthma: Effects of smoking and inhaled glucocorticoids","Van Hal P.T.W., Overbeek S.E., Hoogsteden H.C., Zijlstra F.J., Murphy K., Oosterhoff Y., Postma D.S., Guz A., Smith S.F.",87507587,"Journal of Applied Physiology",81, 2,10,3,2,5,1,16
1996,"Compromised inhibition of human lung lavage cell elastases","Smith S.F., Roberts N.A., Guz A., Tetley T.D.",00145793,"FEBS Letters",390, 2,4,0,0,0,0,4
1995,"Effect of dexamethasone on carrageenin-induced inflammation in the lung","Smith S.F., Benjamin A., Dewar A., Sheppard M., Fox B., Smith T., Guz A., Tetley T.D.",09629351,"Mediators of Inflammation",4, 4,1,0,0,0,0,1
1995,"Lipocortin-1 distribution in bronchoalveolar lavage from healthy human lung: Effect of prednisolone","Smith S.F., Tetley T.D., Datta A.K., Smith T., Guz A., Flower R.J.",87507587,"Journal of Applied Physiology",79, 1,17,3,2,5,0,22
1993,"?-1-Proteinase inhibitor activity can be compromised by the choice of assay conditions","Smith S.F., Roberts N.A., Guz A., Tetley T.D.",03005127,"Biochemical Society Transactions",21, 2,0,0,0,0,0,0
1993,"Immunohistochemical identification of leucocyte populations in normal tissue and inflamed synovium of the rabbit","Wilkinson J.M., McDonald G., Smith S., Galea-Lauri J., Lewthwaite J., Henderson B., Revell P.A.",00223417,"Journal of Pathology",170, 3,6,0,1,1,0,7
1993,"Antibodies to human recombinant lipocortin-I in inflammatory bowel disease","Stevens T.R.J., Smith S.F., Rampton D.S.",01435221,"Clinical Science",84, 4,7,0,1,1,1,9
1992,"Analysis of the effects of lipocortin I(LcI) on human neurtrophil migration in vitro: An under-agarose method","Walcot N.R.H., Lockington T.J., Tetley T.D., Barrett M.C., Partridge T.A., Smith S.F.",09546111,"Respiratory Medicine",86, 1,0,0,0,0,0,0
1990,"A competitive enzyme-linked immunosorbent assay for the estimation of rat lipocortin 1","Smith T., Smith S.F., Buckingham J.C.",03005127,"Biochemical Society Transactions",18, 6,4,0,0,0,0,4
1990,"Detection of lipocortin 1 in human lung lavage fluid: Lipocortin degradation as a possible proteolytic mechanism in the control of inflammatory mediators and inflammation","Smith S.F., Tetley T.D., Guz A., Flower R.J.",00916765,"Environmental Health Perspectives",85, ,35,3,3,6,0,41
1990,"An assay for the assessment of lipocortin 1 levels in human lung lavage fluid","Smith S.F., Goulding N.J., Godolphin J.L., Tetley T.D., Roberts C.M., Guz A., Flower R.J.",00221759,"Journal of Immunological Methods",131, 1,7,0,0,0,0,7
1990,"A potential mechanism for some anti-inflammatory effects of the glucocorticoids?","Smith S.F.",09546111,"Respiratory Medicine",84, 6,0,0,0,0,0,0
1989,"A simple method for Western blotting very thin SDS-polyacrylamide gels","Smith S.F.",07366205,"BioTechniques",7, 10,0,0,0,0,0,0
1989,"The acute effect of cigarette smoking on the neutrophil elastase inhibitory capacity of peripheral lung lavage from asymptomatic volunteers","Tetley T.D., Smith S.F., Winning A.J., Foxall J.M., Cooke N.T., Burton G.H., Harris E., Guz A.",09041850,"European Respiratory Journal",2, 9,5,0,1,1,0,6
1988,"The elastase: anti-elastase profile in lung lavage from sarcoidosis patients.","Smith S.F., Guz A., Burton G.H., Heaton R., Cooke N.T., Tetley T.D.",03931447,"Sarcoidosis",5, 1,2,1,0,1,0,3
1988,"Comparison of elestolytic activity in lung lavage from current, ex- and non-smokers","Smith S.F., Guz A., Burton G.H., Cooke N.T., Tetley T.D.",00243205,"Life Sciences",43, 5,6,1,0,1,0,7
1988,"Comparison of human lung surface protein profiles from the central and peripheral airways sampled using two regional lavage techniques","Smith S.F., Guz A., Winning A.J., Cooke N.T., Burton G.H., Tetley T.D.",09031936,"European Respiratory Journal",1, 9,4,0,1,1,0,5
1987,"Effects of cigarette smoking and drugs on respiratory tract proteases and antiproteases","Tetley T.D., Smith S.F., Burton G.H., Winning A.J., Cooke N.T., Guz A.",01064339,"European Journal of Respiratory Diseases",71, 153,3,0,0,0,0,3
1986,"Effects of cigarette smoke on antiproteases at the human lung surface","Smith S.F., Guz A., Cooke N.T.",01064339,"European Journal of Respiratory Diseases",69, 146,1,0,1,1,0,2
1986,"Acid-stable low molecular mass proteinase inhibitors in human lung lavage","Smith S.F., Guz A., Burton G.H.",01773593,"Biological Chemistry Hoppe-Seyler",367, 3,3,0,0,0,0,3
1985,"Extracellular elastolytic activity in human lung lavage: a comparative study between smokers and non-smokers","Smith S.F., Guz A., Cooke N.T.",01435221,"Clinical Science",69, 1,7,0,0,0,0,7
