,"Author: Smith, Geoffrey L.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 40 (Of the 137 documents considered for the h-Index, 40 have been cited at least 40 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,7234,727,783,1510,400,9144
2009,"Acidic residues in the membrane-proximal stalk region of vaccinia virus protein B5 are required for glycosaminoglycan-mediated disruption of the extracellular enveloped virus outer membrane.","Roberts K.L., Breiman A., Carter G.C., Ewles H.A., Hollinshead M., Law M., Smith G.L.",00221317,"The Journal of general virology",90, 7,0,0,0,0,0,0
2009,"Gamma interferon-induced interferon regulatory factor 1-dependent antiviral response inhibits vaccinia virus replication in mouse but not human fibroblasts","Trilling M., Le V.T.K., Zimmermann A., Ludwig H., Pfeffer K., Sutter G., Smith G.L., Hengel H.",0022538X,"Journal of Virology",83, 8,0,0,0,0,0,0
2008,"Vaccinia virus strain NYVAC induces substantially lower and qualitatively different human antibody responses compared with strains Lister and Dryvax","Midgley C.M., Putz M.M., Weber J.N., Smith G.L.",00221317,"Journal of General Virology",89, 12,0,0,0,0,1,1
2008,"Vaccinia virus protein C16 acts intracellularly to modulate the host response and promote virulence","Fahy A.S., Clark R.H., Glyde E.F., Smith G.L.",00221317,"Journal of General Virology",89, 10,0,0,0,0,0,0
2008,"Vaccinia virus lacking the Bcl-2-like protein N1 induces a stronger natural killer cell response to infection","Jacobs N., Bartlett N.W., Clark R.H., Smith G.L.",00221317,"Journal of General Virology",89, 11,0,0,0,0,1,1
2008,"Memory T cells established by seasonal human influenza A infection cross-react with avian influenza A (H5N1) in healthy individuals","Lee L.Y.-H., Smith G.L., Townsend A.R.M., Askonas B.A., Rowland-Jones S., Dong T., Ha D.L.A., Simmons C., De Jong M.D., Chau N.V.V., Schumacher R., Yan C.P., McMichael A.J., Farrar J.J.",00219738,"Journal of Clinical Investigation",118, 10,0,0,1,1,15,16
2008,"Vaccinia virus morphogenesis and dissemination","Roberts K.L., Smith G.L.",0966842X,"Trends in Microbiology",16, 10,0,0,0,0,1,1
2008,"Vaccinia virus proteins A52 and B14 share a Bcl-2-like fold but have evolved to inhibit Nf-?B rather than apoptosis","Graham S.C., Smith G.L., Grimes J.M., Bahar M.W., Cooray S., Chen R.A.-J., Whalen D.M., Abrescia N.G.A., Alderton D., Owens R.J., Stuart D.I.",15537366,"PLoS Pathogens",4, 8,0,0,0,0,5,5
2008,"Inhibition of I?B kinase by vaccinia virus virulence factor B14","Chen R.A.-J., Ryzhakov G., Cooray S., Randow F., Smith G.L.",15537366,"PLoS Pathogens",4, 2,0,0,3,3,6,9
2008,"Structure and function of A41, a vaccinia virus chemokine binding protein.","Bahar M.W., Kenyon J.C., Putz M.M., Abrescia N.G., Pease J.E., Wise E.L., Stuart D.I., Smith G.L., Grimes J.M.",15537374,"PLoS pathogens",4, 1,0,0,0,0,1,1
2008,"Structure and function of A41, a vaccinia virus chemokine binding protein","Bahar M.W., Kenyon J.C., Putz M.M., Abrescia N.G.A., Pease J.E., Wise E.L., Stuart D.I., Smith G.L., Grimes J.M.",15537366,"PLoS Pathogens",4, 1,0,0,0,0,1,1
2007,"Structure of CrmE, a Virus-encoded Tumour Necrosis Factor Receptor","Graham S.C., Bahar M.W., Abrescia N.G.A., Smith G.L., Stuart D.I., Grimes J.M.",00222836,"Journal of Molecular Biology",372, 3,0,1,2,3,3,6
2007,"Vaccinia virus gene F3L encodes an intracellular protein that affects the innate immune response","Froggatt G.C., Smith G.L., Beard P.M.",00221317,"Journal of General Virology",88, 7,0,0,4,4,2,6
2007,"Inhibition of type I and type III interferons by a secreted glycoprotein from Yaba-like disease virus","Huang J., Kotenko S.V., Smirnov S.V., Lewis-Antes A., Balan M., Li W., Tang S., Silke G.V., Putz M.M., Smith G.L.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 23,0,0,6,6,1,7
2007,"Functional and structural studies of the vaccinia virus virulence factor N1 reveal a Bcl-2-like anti-apoptotic protein","Cooray S., Bahar M.W., Abrescia N.G.A., McVey C.E., Bartlett N.W., Chen R.A.-J., Stuart D.I., Grimes J.M., Smith G.L.",00221317,"Journal of General Virology",88, 6,0,3,18,21,5,26
2007,"Camelpox virus encodes a schlafen-like protein that affects orthopoxvirus virulence","Gubse C., Goodbody R., Ecker A., Brady G., O'Neill L.A.J., Jacobs N., Smith G.L.",00221317,"Journal of General Virology",88, 6,0,0,3,3,2,5
2007,"A new inhibitor of apoptosis from vaccinia virus and eukaryotes.","Gubser C., Bergamaschi D., Hollinshead M., Lu X., van Kuppeveld F.J., Smith G.L.",15537374,"PLoS pathogens",3, 2,0,1,1,2,1,3
2007,"A new inhibitor of apoptosis from vaccinia virus and eukaryotes","Gubser C., Bergamaschi D., Hollinshead M., Lu X., Van Kuppeveld F.J.M., Smith G.L.",15537366,"PLoS Pathogens",3, 2,0,1,0,1,0,1
2007,"Invasive eccrine syringomatous carcinoma in the leg","Sinha M., Smith G., Slater D.N., Vijh V.",00321052,"Plastic and Reconstructive Surgery",119, 1,0,0,0,0,0,0
2006,"Structure/function relationships of CCR8 agonists and antagonists: Amino-terminal extension of CCL1 by a single amino acid generates a partial agonist","Fox J.M., Najarro P., Smith G.L., Struyf S., Proost P., Pease J.E.",00219258,"Journal of Biological Chemistry",281, 48,0,1,4,5,3,8
2006,"Quantification of antibody responses against multiple antigens of the two infectious forms of Vaccinia virus provides a benchmark for smallpox vaccination","Putz M.M., Midgley C.M., Law M., Smith G.L.",10788956,"Nature Medicine",12, 11,0,7,11,18,7,25
2006,"Genome sequence diversity and clues to the evolution of variola (smallpox) virus","Esposito J.J., Laker M., Li Y., Smith G.L., Meyer H., LeDuc J.W., Wohlhueter R.M., Sammons S.A., Frace A.M., Osborne J.D., Glsen-Rasmussen M., Zhang M., Govil D., Damon I.K., Kline R.",00368075,"Science",313, 5788,0,11,8,19,4,23
