,"This is a citation overview for a set of 99 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 32 (Of the 99 documents considered for the h-Index, 32 have been cited at least 32 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2812,323,307,630,185,3627
2008,"Endometrial-peritoneal interactions during endometriotic lesion establishment","Hull M.L., Charnock-Jones D.S., Escareno C.R., Godsland J.M., Doig J.R., Johnson C.M., Phillips S.C., Smith S.K., Tavare S., Print C.G.",00029440,"American Journal of Pathology",173, 3,0,0,0,0,2,2
2008,"Transcript profile and localization of Wnt signaling-related molecules in human endometrium","Cheng C.-w., Smith S.K., Charnock-Jones D.S.",00150282,"Fertility and Sterility",90, 1,0,0,0,0,0,0
2008,"Wnt5a-mediated non-canonical Wnt signalling regulates human endothelial cell proliferation and migration","Cheng C.-w., Yeh J.-c., Fan T.-P., Smith S.K., Charnock-Jones D.S.",0006291X,"Biochemical and Biophysical Research Communications",365, 2,0,0,7,7,6,13
2007,"Role and regulation of the serum- and glucocorticoid-regulated kinase 1 in fertile and infertile human endometrium","Feroze-Zaidi F., Palmada M., Kamps R., Groothuis P.G., Lam E.W.-F., Smith S.K., Lang F., Sharkey A.M., Brosens J.J., Fusi L., Takano M., Higham J., Salker M.S., Goto T., Edassery S., Klingel K., Boini K.M.",00137227,"Endocrinology",148, 10,0,0,2,2,3,5
2007,"Vascular development in embryoid bodies: Quantification of transgenic intervention and antiangiogenic treatment","Evans A.L., Bryant J., Skepper J., Smith S.K., Print C.G., Charnock-Jones D.S.",09696970,"Angiogenesis",10, 3,0,0,0,0,0,0
2007,"Quantitative cellular and molecular analysis of the effect of progesterone withdrawal in a murine model of decidualization","Cheng C.-W., Bielby H., Licence D., Smith S.K., Print C.G., Charnock-Jones D.S.",00063363,"Biology of Reproduction",76, 5,0,0,3,3,2,5
2007,"Vascular development is disrupted by endothelial cell-specific expression of the anti-apoptotic protein Bcl-2","Duval H., Print C., Johnson N., Li J., Evans A., Chen S., Licence D., Skepper J., Charnock-Jones D.S., Smith S.",09696970,"Angiogenesis",10, 1,0,1,5,6,0,6
2006,"Reduced levels of VEGF-A and MMP-2 and MMP-9 activity and increased TNF-? in menstrual endometrium and effluent in women with menorrhagia","Malik S., Day K., Perrault I., Charnock-Jones D.S., Smith S.K.",02681161,"Human Reproduction",21, 8,0,2,0,2,4,6
2006,"Making the UK's National Health Service cost effective","Smith S.K.",01406736,"Lancet",368, 9532,0,0,0,0,0,0
2006,"In vitro and in vivo effects of the PPAR-alpha agonists fenofibrate and retinoic acid in endometrial cancer","Saidi S.A., Holland C.M., Charnock-Jones D.S., Smith S.K.",14764598,"Molecular Cancer",5, ,0,1,4,5,4,9
2006,"Menstrual effluent in endometriosis shows no difference in volume, VEGF-A, MMP2 and MMP9 or sFLT","Malik S., Day K., Perrault I., Charnock-Jones D.S., Smith S.K.",14726483,"Reproductive BioMedicine Online",12, 2,0,2,0,2,2,4
2005,"Identification of genes regulated by interleukin-1? in human endometrial stromal cells","Rossi M., Sharkey A.M., Vigano P., Fiore G., Furlong R., Florio P., Ambrosini G., Smith S.K., Petraglia F.",14701626,"Reproduction",130, 5,4,6,4,10,5,19
2005,"Inhibition of Stat3 activation in the endometrium prevents implantation: A nonsteroidal approach to contraception","Catalano R.D., Johnson M.H., Campbell E.A., Charnock-Jones D.S., Smith S.K., Sharkey A.M.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",102, 24,5,9,8,17,2,24
2005,"Novel antiangiogenic agents for use in contraception","Sharkey A.M., Catalano R., Evans A., Charnock-Jones D.S., Smith S.K.",00107824,"Contraception",71, 4,3,5,2,7,0,10
2005,"Intraovarian actions of anti-angiogenic agents disrupt periovulatory events during the menstrual cycle in monkeys","Xu F., Hazzard T.M., Evans A., Charnock-Jones S., Smith S., Stouffer R.L.",00107824,"Contraception",71, 4,5,5,2,7,1,13
