,"This is a citation overview for a set of 75 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 24 (Of the 75 documents considered for the h-Index, 24 have been cited at least 24 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,971,175,193,368,89,1428
2009,"Cromoglycate drugs suppress eicosanoid generation in U937 cells by promoting the release of Anx-A1","Yazid S., Solito E., Christian H., McArthur S., Goulding N., Flower R.",00062952,"Biochemical Pharmacology",77, 12,0,0,0,0,0,0
2008,"Membrane-induced folding and structure of membrane-bound annexin A1 N-terminal peptides: Implications for annexin-induced membrane aggregation","Hu N.-J., Bradshaw J., Lauter H., Buckingham J., Solito E., Hofmann A.",00063495,"Biophysical Journal",94, 5,0,0,2,2,2,4
2008,"Annexin A1 in the brain - undiscovered roles?","Solito E., McArthur S., Christian H., Gavins F., Buckingham J.C., Gillies G.E.",01656147,"Trends in Pharmacological Sciences",29, 3,0,0,0,0,0,0
2008,"Annexin-A1 gene expression during liver development and post-translation modification after experimental endotoxemia","Damazo A.S., Flower R.J., Solito E., Oliani S.M.",10233830,"Inflammation Research",57, 3,0,0,0,0,0,0
2007,"Formyl peptide receptors and the regulation of ACTH secretion: Targets for annexin A1, lipoxins, and bacterial peptides","John C.D., Sahni V., Mehet D., Morris J.F., Christian H.C., Perretti M., Flower R.J., Solito E., Buckingham J.C.",08926638,"FASEB Journal",21, 4,0,3,3,6,0,6
2006,"Gene deletion reveals roles for annexin A1 in the regulation of lipolysis and IL-6 release in epididymal adipose tissue","Warne J.P., John C.D., Christian H.C., Morris J.F., Flower R.J., Sugden D., Solito E., Gillies G.E., Buckingham J.C.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",291, 6,0,2,2,4,1,5
