,"Author: Spencer-Dene, Bradley",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 14 (Of the 29 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,638,169,164,333,113,1084
2009,"The links between transcription, ?-catenin/JNK signaling, and carcinogenesis","Saadeddin A., Babaei-Jadidi R., Spencer-Dene B., Nateri A.S.",15417786,"Molecular Cancer Research",7, 8,0,0,0,0,0,0
2009,"JNK signalling modulates intestinal homeostasis and tumourigenesis in mice","Sancho R., Nateri A.S., De Vinuesa A.G., Aguilera C., Nye E., Spencer-Dene B., Behrens A.",02614189,"EMBO Journal",28, 13,0,0,0,0,1,1
2009,"The Apc1322T Mouse Develops Severe Polyposis Associated With Submaximal Nuclear ?-Catenin Expression","Pollard P., Mandir N., Silver A., Goodlad R., Stamp G., Cockman M., East P., Spencer-Dene B., Poulsom R., Wright N., Tomlinson I., Deheragoda M., Segditsas S., Lewis A., Rowan A., Howarth K., Willis L., Nye E., McCart A.",00165085,"Gastroenterology",136, 7,0,0,0,0,0,0
2008,"Putative direct and indirect Wnt targets identified through consistent gene expression changes in APC-mutant intestinal adenomas from humans and mice","Segditsas S., Stamp G., Poulsom R., Suraweera N., Silver A., Ilyas M., Tomlinson I., Sieber O., Deheragoda M., East P., Rowan A., Jeffery R., Nye E., Clark S., Spencer-Dene B.",09646906,"Human Molecular Genetics",17, 24,0,0,1,1,4,5
2007,"Fgfr2b mediated epithelial-mesenchymal interactions coordinate tooth morphogenesis and dental trigeminal axon patterning","Kettunen P., Spencer-Dene B., Furmanek T., Kvinnsland I.H., Dickson C., Thesleff I., Luukko K.",09254773,"Mechanisms of Development",124, 11-12,0,0,0,0,1,1
2007,"Breast cancer associated transcriptional repressor PLU-1/JARID1B interacts directly with histone deacetylases","Barrett A., Verdin E., Freemont P., Taylor-Papadimitriou J., Santangelo S., Tan K., Catchpole S., Roberts K., Spencer-Dene B., Hall D., Scibetta A., Burchell J.",00207136,"International Journal of Cancer",121, 2,0,1,1,2,1,3
2007,"Murine but not human mesenchymal stem cells generate osteosarcoma-like lesions in the lung","Aguilar S., Nye E., Chan J., Loebinger M., Spencer-Dene B., Fisk N., Stamp G., Bonnet D., Janes S.M.",10665099,"Stem Cells",25, 6,0,0,7,7,7,14
2007,"Novel zinc-based fixative for high quality DNA, RNA and protein analysis","Lykidis D., Van Noorden S., Armstrong A., Spencer-Dene B., Li J., Zhuang Z., Stamp G.W.H.",03051048,"Nucleic Acids Research",35, 12,0,0,3,3,2,5
