,"Author: Spratt, Brian G.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 43 (Of the 121 documents considered for the h-Index, 43 have been cited at least 43 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,9157,1367,1390,2757,970,12884
2009,"Predicting phenotype and emerging strains among Chlamydia trachomatis infections","Dean D., Read T.D., Spratt B.G., Bruno W.J., Wan R., Gomes J.P., Devignot S., Mehari T., De Vries H.J.C., Morre S.A., Myers G.",10806040,"Emerging Infectious Diseases",15, 9,0,0,0,0,0,0
2009,"Rapid evolution of virulence and drug resistance in the emerging zoonotic pathogen Streptococcus suis","Holden M.T.G., Price C., Rabbinowitsch E., Sharp S., Croucher N.J., Chieu T.B., Mai N.T.H., Diep T.S., Chinh N.T., Kehoe M., Leigh J.A., Hauser H., Ward P.N., Dowson C.G., Whatmore A.M., Chanter N., Iversen P., Gottschalk M., Slater J.D., Smith H.E., Spratt B.G., Xu J., Sanders M., Ye C., Bentley S., Barrell B.G., Schultsz C., Maskell D.J., Parkhill J., Ngo T.H., Cherevach I., Cronin A., Goodhead I., Mungall K., Quail M.A.",19326203,"PLoS ONE",4, 7,0,0,0,0,0,0
2009,"Primary ocular melioidosis due to a single genotype of Burkholderia pseudomallei in two cats from Arnhem Land in the Northern Territory of Australia","Parkes H.M., Currie B.J., Malik Richard., Shilton C., Jerrett I., Benedict S., Spratt B.G., Godoy D., O'Brien C.R., Krockenberger M.B., Mayo Mark.",1098612X,"Journal of Feline Medicine and Surgery",, ,0,0,0,0,0,0
2009,"Genomic evidence for the evolution of Streptococcus equi host restriction, increased virulence, and genetic exchange with human pathogens","Holden M.T.G., Mungall K., Quail M.A., Sanders M., Simmonds M., Willey D., Brooks K., Aanensen D.M., Spratt B.G., Jolley K.A., Maiden M.C.J., Heather Z., Kehoe M., Chanter N., Bentley S.D., Robinson C., Maskell D.J., Parkhill J., Waller A.S., Paillot R., Steward K.F., Webb K., Ainslie F., Jourdan T., Bason N.C., Holroyd N.E.",15537366,"PLoS Pathogens",5, 3,0,0,0,0,0,0
2009,"Relative contributions of recombination and mutation to the diversification of the opa gene repertoire of Neisseria gonorrhoeae","Bilek N., Ison C.A., Spratt B.G.",00219193,"Journal of Bacteriology",191, 6,0,0,0,0,1,1
2009,"The bacterial species challenge: Making sense of genetic and ecological diversity","Fraser C., Alm E.J., Polz M.F., Spratt B.G., Hanage W.P.",00368075,"Science",323, 5915,0,0,0,0,4,4
2009,"Identification of melioidosis outbreak by multilocus variable number tandem repeat analysis","Currie B.J., Spratt B.G., Keim P., Haslem A., Pearson T., Hornstra H., Leadem B., Mayo M., Gal D., Ward L., Godoy D.",10806040,"Emerging Infectious Diseases",15, 2,0,0,0,0,1,1
2009,"Assigning strains to bacterial species via the internet","Bishop C.J., Aanensen D.M., Jordan G.E., Kilian M., Hanage W.P., Spratt B.G.",17417007,"BMC Biology",7, ,0,0,0,0,3,3
2008,"Transmission of Streptococcus pneumoniae in an urban slum community","Reis J.N., Spratt B., Riley L.W., Barocchi M.A., Reis M.G., Ko A.I., Palma T., Ribeiro G.S., Pinheiro R.M., Ribeiro C.T., Cordeiro S.M., da Silva Filho H.P., Moschioni M., Thompson T.A.",01634453,"Journal of Infection",57, 3,0,0,0,0,1,1
2008,"Human case of Streptococcus suis serotype 16 infection","Nghia H.D.T., Farrar J., Schultsz C., Ngo T.H., Le D.L., Campbell J., To S.D., Chau N.V.V., Mai N.T.H., Tran T.H., Spratt B.",10806040,"Emerging Infectious Diseases",14, 1,0,0,1,1,4,5
2008,"Genetic diversity of Burkholderia pseudomallei isolates in Australia","Cheng A.C., Ward L., Godoy D., Norton R., Mayo M., Gal D., Spratt B.G., Currie B.J.",00951137,"Journal of Clinical Microbiology",46, 1,0,0,1,1,3,4
2007,"Genetic relatedness of the Streptococcus pneumoniae capsular biosynthetic loci","Mavroidi A., Aanensen D.M., Godoy D., Skovsted I.C., Kaltoft M.S., Reeves P.R., Bentley S.D., Spratt B.G.",00219193,"Journal of Bacteriology",189, 21,0,1,0,1,2,3
2007,"Necrotizing fasciitis in captive juvenile Crocodylus porosus caused by Streptococcus agalactiae: An outbreak and review of the animal and human literature","Bishop E.J., Shilton C., Benedict S., Kong F., Gilbert G.L., Gal D., Godoy D., Spratt B.G., Currie B.J.",09502688,"Epidemiology and Infection",135, 8,0,0,2,2,1,3
2007,"Australian and Thai isolates of Burkholderia pseudomallei are distinct by multilocus sequence typing: Revision of a case of mistaken identity","Currie B.J., Thomas A.D., Godoy D., Dance D.A., Cheng A.C., Ward L., Mayo M., Pitt T.L., Spratt B.G.",00951137,"Journal of Clinical Microbiology",45, 11,0,0,2,2,1,3
2007,"Concordance between Neisseria gonorrhoeae genotypes recovered from known sexual contacts","Bilek N., Martin I.M., Bell G., Kinghorn G.R., Ison C.A., Spratt B.G.",00951137,"Journal of Clinical Microbiology",45, 11,0,0,2,2,3,5
2007,"Predicted functions and linkage specificities of the products of the Streptococcus pneumoniae capsular biosynthetic loci","Aanensen D.M., Mavroidi A., Bentley S.D., Reeves P.R., Spratt B.G.",00219193,"Journal of Bacteriology",189, 21,0,1,1,2,7,9
2007,"Geographical and demographic clustering of gonorrhoea in London","Risley C.L., Ward H., Choudhury B., Bishop C.J., Fenton K.A., Spratt B.G., Ison C.A., Ghani A.C.",13684973,"Sexually Transmitted Infections",83, 6,0,0,3,3,4,7
2007,"Using BOX-PCR to exclude a clonal outbreak of melioidosis","Currie B.J., Gal D., Mayo M., Ward L., Godoy D., Spratt B.G., LiPuma J.J.",14712334,"BMC Infectious Diseases",7, ,0,0,1,1,2,3
2007,"Assessing the reliability of eBURST using simulated populations with known ancestry","Turner K.M., Hanage W.P., Fraser C., Connor T.R., Spratt B.G.",14712180,"BMC Microbiology",7, ,0,2,9,11,7,18
