,"Author: Stamp, Gordon W H",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 31 (Of the 111 documents considered for the h-Index, 31 have been cited at least 31 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,5652,627,698,1325,489,7466
2009,"The Apc1322T Mouse Develops Severe Polyposis Associated With Submaximal Nuclear ?-Catenin Expression","Pollard P., Mandir N., Silver A., Goodlad R., Stamp G., Cockman M., East P., Spencer-Dene B., Poulsom R., Wright N., Tomlinson I., Deheragoda M., Segditsas S., Lewis A., Rowan A., Howarth K., Willis L., Nye E., McCart A.",00165085,"Gastroenterology",136, 7,0,0,0,0,0,0
2009,"Infertile women with isolated polycystic ovaries are deficient in endometrial expression of osteopontin but not ?v?3 integrin during the implantation window","DuQuesnay R., Wright C., Aziz A.A., Stamp G.W.H., Trew G.H., Margara R.A., White J.O.",00150282,"Fertility and Sterility",91, 2,0,0,0,0,0,0
2009,"Kisspeptin-54 at high doses acutely induces testicular degeneration in adult male rats via central mechanisms","Thompson E.L., Bloom S.R., Murphy K.G., Amber V., Stamp G.W.H., Patterson M., Curtis A.E., Cooke J.H., Appleby G.F., Dhillo W.S., Ghatei M.A.",00071188,"British Journal of Pharmacology",156, 4,0,0,0,0,0,0
2009,"High MMP-9 activity characterises pleural tuberculosis correlating with granuloma formation","Sheen P., Friedland J.S., O'Kane C.M., Chaudhary K., Tovar M., Santillan C., Sosa J., Caviedes L., Gilman R.H., Stamp G.",09031936,"European Respiratory Journal",33, 1,0,0,0,0,1,1
2008,"Putative direct and indirect Wnt targets identified through consistent gene expression changes in APC-mutant intestinal adenomas from humans and mice","Segditsas S., Stamp G., Poulsom R., Suraweera N., Silver A., Ilyas M., Tomlinson I., Sieber O., Deheragoda M., East P., Rowan A., Jeffery R., Nye E., Clark S., Spencer-Dene B.",09646906,"Human Molecular Genetics",17, 24,0,0,1,1,4,5
2008,"Osteogenic tumours in Lkb1-deficient mice","Robinson J., Nye E., Stamp G., Silver A.",00144800,"Experimental and Molecular Pathology",85, 3,0,0,0,0,1,1
2008,"Fluorescence lifetime imaging distinguishes basal cell carcinoma from surrounding uninvolved skin","Galletly N.P., French P.M.W., Stamp G.W., McGinty J., Dunsby C., Teixeira F., Requejo-Isidro J., Munro I., Elson D.S., Neil M.A.A., Chu A.C.",00070963,"British Journal of Dermatology",159, 1,0,0,1,1,6,7
2008,"E-cadherin/catenin complex status in solid pseudopapillary tumor of the pancreas","El-Bahrawy M.A., Rowan A., Horncastle D., Tomlinson I., Theis B.A., Russell R.C.G., Stamp G.",01475185,"American Journal of Surgical Pathology",32, 1,0,0,10,10,7,17
2007,"A hyperspectral fluorescence lifetime probe for skin cancer diagnosis","De Beule P.A.A., French P.M.W., Dunsby C., Galletly N.P., Stamp G.W., Chu A.C., Anand U., Anand P., Benham C.D., Naylor A.",00346748,"Review of Scientific Instruments",78, 12,0,0,3,3,5,8
2007,"Induction of tumor-specific T-cell responses by vaccination with tumor lysate-loaded dendritic cells in colorectal cancer patients with carcinoembryonic-antigen positive tumors","Tamir A., Harrison P., Stauss H., George A.J.T., Habib N., Lechler R.I., Lombardi G., Basagila E., Kagahzian A., Jiao L., Jensen S., Nicholls J., Tate P., Stamp G., Farzaneh F.",03407004,"Cancer Immunology, Immunotherapy",56, 12,0,0,4,4,6,10
2007,"Erratum: Induction of tumor-specific T-cell responses by vaccination with tumor lysate-loaded dendritic cells in colorectal cancer patients with carcinoembryonic-antigen positive tumors (Cancer Immunology, Immunotherapy DOI 10.1007/s00262-007-0299-y)","Tamir A., Harrison P., Stauss H., George A.J.T., Habib N., Lechler R.I., Lombardi G., Basaglia E., Kagahzian A., Jiao L., Jensen S., Nicholls J., Tate P., Stamp G., Farzaneh F.",03407004,"Cancer Immunology, Immunotherapy",56, 12,0,0,0,0,0,0
2007,"Raf signaling but not the ERK effector SAP-1 is required for regulatory T cell development","Willoughby J.E., Costello P.S., Nicolas R.H., Robinson N.J., Stamp G., Powrie F., Treisman R.",00221767,"Journal of Immunology",179, 10,0,0,0,0,0,0
