,"Author: Stebbing, Justin F.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 22 (Of the 213 documents considered for the h-Index, 22 have been cited at least 22 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,948,327,366,693,225,1866
2009,"ELISPOT and functional T cell analyses using HLA mono-specific target cells","Horlock C., Stebbing J., Savage P., Stott B., Dyson J., Ogg G., McPherson T., Jones L., Sewell A.K., Wooldridge L., Cole D.K.",00221759,"Journal of Immunological Methods",, ,0,0,0,0,0,0
2009,"[11C]choline positron emission tomography in estrogen receptor-positive breast cancer","Contractor K.B., Shousha S., Lowdell C., Coombes R.C., Aboagye E.O., Kenny L.M., Stebbing J., Al-Nahhas A., Palmieri C., Sinnett D., Lewis J.S., Hogben K., Osman S.",10780432,"Clinical Cancer Research",15, 17,0,0,0,0,0,0
2009,"Absence of methylation-dependent transcriptional silencing in TP73 irrespective of the methylation status of the CDKN2A CpG island in plasma cell neoplasia","Hatzimichael E., Crook T., Bourantas K.L., Benetatos L., Dasoula A., Dranitsaris G., Tsiara S., Georgiou I., Syrrou M., Stebbing J., Coley H.M.",01452126,"Leukemia Research",33, 9,0,0,0,0,0,0
2009,"Epigenetic modifications in AML and MDS","Mahmud M., Stebbing J.",01452126,"Leukemia Research",, ,0,0,0,0,0,0
2009,"Peritoneal disease in breast cancer: A specific entity with an extremely poor prognosis","Tuthill M., Pell R., Guiliani R., Lim A., Gudi M., Contractor K.B., Lewis J.S., Coombes R.C., Stebbing J.",09598049,"European Journal of Cancer",45, 12,0,0,0,0,0,0
2009,"A multicentre cohort experience with double-boosted protease inhibitors","Stebbing J., Scourfield A., Koh G., Taylor C., Taylor S., Wilkins E., Gazzard B., Nelson M., Jones R.",03057453,"Journal of Antimicrobial Chemotherapy",64, 2,0,0,0,0,0,0
2009,"Receptor-based predictors of response in breast cancer","McGovern U.B., Stebbing J.",14796694,"Future Oncology",5, 3,0,0,0,0,0,0
2009,"Measurements of EGFR expression on circulating tumor cells are reproducible over time in metastatic breast cancer patients","Payne R.I., Yague E., Slade M.J., Apostolopoulos C., Jiao L.R., Ward B., Coombes R.C., Stebbing J.",14622416,"Pharmacogenomics",10, 1,0,0,1,1,2,3
2009,"CK1? modulates the transcriptional activity of ER? via AIB1 in an estrogen-dependent manner and regulates ER?-AIB1 interactions","Giamas G., Stebbing J., Castellano L., Feng Q., Knippschild U., Jacob J., Thomas R.S., Coombes R.C., Smith C.L., Jiao L.R.",03051048,"Nucleic Acids Research",37, 9,0,0,0,0,1,1
2009,"Von Hippel-Lindau methylation status in patients with multiple myeloma: a potential predictive factor for the development of bone disease.","Hatzimichael E., Dranitsaris G., Dasoula A., Benetatos L., Stebbing J., Crook T., Bourantas K.L.",19380712,"Clinical lymphoma & myeloma",9, 3,0,0,0,0,0,0
2009,"The efficacy of percutaneous vertebroplasty for vertebral metastases associated with solid malignancies","Lee B., Franklin I., Lewis J.S., Coombes R.C., Leonard R., Gishen P., Stebbing J.",09598049,"European Journal of Cancer",45, 9,0,0,0,0,1,1
2009,"The nucleoside backbone affects durability of efavirenz- or nevirapine-based highly active antiretroviral therapy in antiretroviral-naive individuals","Annan N.T., Nelson M., Mandalia S., Bower M., Gazzard B.G., Stebbing J.",15254135,"Journal of Acquired Immune Deficiency Syndromes",51, 2,0,0,0,0,0,0
2009,"Cytokine changes during rituximab therapy in HIV-associated multicentric Castleman disease.","Bower M., Veraitch O., Szydlo R., Charles P., Kelleher P., Gazzard B., Nelson M., Stebbing J.",15280020,"Blood",113, 19,0,0,0,0,0,0
2009,"The role of immune suppression and HHV-8 in the increasing incidence of HIV-associated multicentric Castleman's disease","Powles T., Stebbing J., Bazeos A., Hatzimichael E., Mandalia S., Nelson M., Gazzard B., Bower M.",09237534,"Annals of Oncology",20, 4,0,0,0,0,1,1
2009,"The effects of trastuzumab on the CD4CD25FoxP3 and CD4IL17A T-cell axis in patients with breast cancer","Horlock C., Stott B., Dyson P.J., Morishita M., Coombes R.C., Savage P., Stebbing J.",00070920,"British Journal of Cancer",100, 7,0,0,0,0,1,1
2009,"The relationship between prolonged antiretroviral therapy and cryptogenic liver disease","Stebbing J., Wong N., Tan L., Scourfield A., Jiao L., Shousha S., Grover D., Bower M., Nelson M.",15254135,"Journal of Acquired Immune Deficiency Syndromes",50, 5,0,0,0,0,0,0
2009,"FDG-PET/CT imaging in the management of HIV-associated multicentric Castleman's disease","Barker R., Kazmi F., Stebbing J., Ngan S., Chinn R., Nelson M., O'Doherty M., Bower M.",16197070,"European Journal of Nuclear Medicine and Molecular Imaging",36, 4,0,0,1,1,0,1
2009,"Epstein-Barr virus in Burkitt's lymphoma: the missing link","Stebbing J., Bower M.",14702045,"The Lancet Oncology",10, 4,0,0,0,0,0,0
2009,"HIV-1 Step Study","Dalgleish A., Stebbing J.",01406736,"The Lancet",373, 9666,0,0,0,0,0,0
2009,"Highly active antiretroviral therapy and the incidence of non-AIDS-defining cancers in people with HIV infection","Powles T., Robinson D., Stebbing J., Shamash J., Nelson M., Gazzard B., Mandelia S., Moller H., Bower M.",0732183X,"Journal of Clinical Oncology",27, 6,0,0,0,0,6,6
2009,"Non-AIDS-defining cancers","Stebbing J., Duru O., Bower M.",09517375,"Current Opinion in Infectious Diseases",22, 1,0,0,0,0,0,0
2009,"Comparison of bone marrow, disseminated tumour cells and blood-circulating tumour cells in breast cancer patients after primary treatment","Slade M.J., Pitfield T., McCormack R.T., Pantel K., Coombes R.C., Payne R., Riethdorf S., Ward B., Zaidi S.A.A., Stebbing J., Palmieri C., Sinnett H.D., Kulinskaya E.",00070920,"British Journal of Cancer",100, 1,0,0,0,0,2,2
2009,"Why does cytotoxic chemotherapy cure only some cancers?","Savage P., Stebbing J., Bower M., Crook T.",17434254,"Nature Clinical Practice Oncology",6, 1,0,0,0,0,1,1
