,"Author: Sugden, Peter H.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 35 (Of the 86 documents considered for the h-Index, 35 have been cited at least 35 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,5921,376,423,799,240,6960
2009,"Endothelin-1 regulation of immediate early gene expression in cardiac myocytes: negative feedback regulation of interleukin 6 by Atf3 and Klf2","Clerk A., Cullingford T.E., Fuller S.J., Giraldo A., Sugden P.H.",00652571,"Advances in Enzyme Regulation",49, 1,0,0,0,0,0,0
2009,"Effects of Left Ventricular Volume Overload on Mitochondrial and Death-Receptor-Mediated Apoptotic Pathways in the Transition to Heart Failure","Moorjani N., Westaby S., Narula J., Catarino P.A., Brittin R., Kemp T.J., Narula N., Sugden P.H.",00029149,"American Journal of Cardiology",103, 9,0,0,0,0,0,0
2009,"Are transgenic mice the 'alkahest' to understanding myocardial hypertrophy and failure?","Cook S.A., Clerk A., Sugden P.H.",00222828,"Journal of Molecular and Cellular Cardiology",46, 2,0,0,0,0,2,2
2008,"Nuclear Dbf2-related protein kinases (NDRs) in isolated cardiac myocytes and the myocardium: Activation by cellular stresses and by phosphoprotein serine-/threonine-phosphatase inhibitors","Fuller S.J., Sugden P.H., Pikkarainen S., Tham E.L., Cullingford T.E., Molkentin J.D., Cornils H., Hergovich A., Hemmings B.A., Clerk A.",08986568,"Cellular Signalling",20, 8,0,0,0,0,0,0
2008,"Differential regulation of Krüppel-like factor family transcription factor expression in neonatal rat cardiac myocytes: Effects of endothelin-1, oxidative stress and cytokines","Cullingford T.E., Butler M.J., Marshall A.K., Tham E.L., Sugden P.H., Clerk A.",01674889,"Biochimica et Biophysica Acta - Molecular Cell Research",1783, 6,0,0,2,2,2,4
