,"This is a citation overview for a set of 135 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 23 (Of the 135 documents considered for the h-Index, 23 have been cited at least 23 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1214,128,125,253,61,1528
2008,"Bacteria in placenta and fetal membranes","Sullivan M.H.F.",00029378,"American Journal of Obstetrics and Gynecology",199, 6,0,0,0,0,0,0
2008,"The Placenta Contributes to Activation of the Renin Angiotensin System in Twin-Twin Transfusion Syndrome","Galea P., Barigye O., Wee L., Jain V., Sullivan M., Fisk N.M.",01434004,"Placenta",29, 8,0,0,0,0,3,3
2008,"Comparison of intact tissues and isolated cells from human fetal membranes","Sullivan M.H.",00029378,"American Journal of Obstetrics and Gynecology",200, 2,0,0,0,0,0,0
2007,"Longitudinal Blood Flow in Shared (Arteriovenous Anastomoses) and Non-Shared Cotyledons in Monochorionic Placentae","Wee L.Y., Sullivan M., Humphries K., Fisk N.M.",01434004,"Placenta",28, 5-6,0,0,4,4,1,5
2007,"Differential Activity of Histidine Decarboxylase in Normal and Pre-eclamptic Placentae","Brew O., Lakasing L., Sullivan M.",01434004,"Placenta",28, 5-6,0,0,2,2,0,2
2007,"The effects of oxygen concentration on in vitro output of prostaglandin E2 and interleukin-6 from human fetal membranes.","Al-Asmakh M., Race H., Tan S., Sullivan M.H.",13609947,"Molecular human reproduction",13, 3,0,0,0,0,0,0
2007,"The effects of oxygen concentration on in vitro output of prostaglandin E2 and interleukin-6 from human fetal membranes","Al-Asmakh M., Race H., Tan S., Sullivan M.H.F.",13609947,"Molecular Human Reproduction",13, 3,0,0,1,1,1,2
2006,"The links between maternal histamine levels and complications of human pregnancy","Brew O., Sullivan M.H.F.",01650378,"Journal of Reproductive Immunology",72, 1-2,1,0,2,2,0,3
2006,"What is the appropriate oxygen tension for in vitro culture?","Sullivan M., Galea P., Latif S.",13609947,"Molecular Human Reproduction",12, 11,0,2,3,5,1,6
2006,"Histomorphometric characterisation of shared and non-shared cotyledonary villus territories of monochorionic placentae in relation to pregnancy complications","Wee L.Y., Sebire N.J., Bhundia J., Sullivan M., Fisk N.M.",01434004,"Placenta",27, 4-5,1,2,4,6,1,8
2006,"Heparin prevents programmed cell death in human trophoblast","Hills F.A., Sullivan M., Lam E.W.-F., Brosens J.J., Abrahams V.M., Gonzalez-Timon B., Francis J., Cloke B., Hinkson L., Rai R., Mor G., Regan L.",13609947,"Molecular Human Reproduction",12, 4,0,6,4,10,3,13
2005,"INRstar: Computerized decision support software for anticoagulation management in primary care","Jones R.T., Sullivan M., Barrett D.",14760320,"Informatics in Primary Care",13, 3,0,0,1,1,0,1
2005,"Universal DNA primers amplify bacterial DNA from human fetal membranes and link Fusobacterium nucleatum with prolonged preterm membrane rupture","Cahill R.J., Tan S., Dougan G., O'Gaora P., Pickard D., Kennea N., Sullivan M.H.F., Feldman R.G., Edwards A.D.",13609947,"Molecular Human Reproduction",11, 10,3,3,3,6,0,9
2005,"Maternal origin of inflammatory leukocytes in preterm fetal membranes, shown by fluorescence in situ hybridisation","Steel J.H., O'Donoghue K., Kennea N.L., Sullivan M.H.F., Edwards A.D.",01434004,"Placenta",26, 8-9,5,0,5,5,1,11
2005,"Bacteria and inflammatory cells in fetal membranes do not always cause preterm labor","Steel J.H., Malatos S., Kennea N., Edwards A.D., Miles L., Duggan P., Reynolds P.R., Feldman R.G., Sullivan M.H.F.",00313998,"Pediatric Research",57, 3,8,4,6,10,6,24
2004,"Endocrine cell lines from the placenta","Sullivan M.H.F.",03037207,"Molecular and Cellular Endocrinology",228, 1-2,3,4,2,6,2,11
2004,"Regulation of human villous trophoblast by insulin-like growth factors and insulin-like growth factor-binding protein-1","Hills F.A., Elder M.G., Chard T., Sullivan M.H.F.",00220795,"Journal of Endocrinology",183, 3,8,5,4,9,3,20
2004,"The role of intrauterine bacteria in brain injury","Sullivan M.H.F., Steel J., Kennea N., Feldman R.G., Edwards A.D.",08035326,"Acta Paediatrica, International Journal of Paediatrics, Supplement",93, 444,4,0,1,1,0,5
2004,"Impaired retrograde transmission of vasodilatory signals via the endothelium in pre-eclampsia: A cause of reduced tissue blood flow?","Anim-Nyame N., Sooranna S.R., Johnson M.R., Sullivan M.H., Gamble J., Steer P.J.",01435221,"Clinical Science",106, 1,4,0,0,0,0,4
2003,"The effects of non-steroidal anti-inflammatory compounds on human myometrial contractility","Sawdy R.J., Sullivan M.H.F., Bennett P.R.",03012115,"European Journal of Obstetrics Gynecology and Reproductive Biology",109, 1,4,1,0,1,0,5
2003,"Effect of selective vs. non-selective cyclo-oxygenase inhibitors on fetal membrane prostaglandin synthesis","Sawdy R., Pan H., Sullivan M., Bennett P.",01443615,"Journal of Obstetrics and Gynaecology",23, 3,0,1,1,2,0,2
2003,"Changes in endometrial blood vessels in the endometrium of women with hormone replacement therapy-related irregular bleeding","Hickey M., Pillai G., Higham J.M., Sullivan M., Horncastle D., Doherty D., Stamp G.",02681161,"Human Reproduction",18, 5,7,5,2,7,3,17
2003,"Evidence of impaired microvascular function in pre-eclampsia: A non-invasive study","Anim-Nyame N., Gamble J., Sooranna S.R., Johnson M.R., Sullivan M.H., Steer P.J.",01435221,"Clinical Science",104, 4,7,1,0,1,1,9
