,"This is a citation overview for a set of 7 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 4 (Of the 7 documents considered for the h-Index, 4 have been cited at least 4 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,41,11,15,26,12,79
2008,"Assessing the validity of an abdominal CT scoring system in the diagnosis of encapsulating peritoneal sclerosis","Tarzi R.M., Lim A., Moser S., Ahmad S., George A., Balasubramaniam G., Clutterbuck E.J., Gedroyc W., Brown E.A.",15559041,"Clinical Journal of the American Society of Nephrology",3, 6,0,0,0,0,4,4
2007,"Increased expression of the pro-apoptotic ATP-sensitive P2X7 receptor in experimental and human glomerulonephritis","Turner C.M., Tam F.W.K., Lai P.-C.Ping-Chin, Tarzi R.M., Burnstock G., Pusey C.D., Cook H.T., Unwin R.J.",09310509,"Nephrology Dialysis Transplantation",22, 2,0,1,1,2,2,4
2006,"Fluorodeoxyglucose positron emission tomography detects the inflammatory phase of scleroring peritonitis","Tarzi R.M., Frank J.W., Ahmad S., Levy J.B., Brown E.A.",08968608,"Peritoneal Dialysis International",26, 2,0,0,1,1,1,2
2004,"Leptin-Deficient Mice Are Protected from Accelerated Nephrotoxic Nephritis","Tarzi R.M., Cook H.T., Jackson I., Pusey C.D., Lord G.M.",00029440,"American Journal of Pathology",164, 2,9,2,4,6,0,15
2003,"Role of Fcgamma receptors in glomerulonephritis.","Tarzi R.M., Cook H.T.",16602129,"Nephron. Experimental nephrology [electronic resource]",95, 1,5,3,2,5,1,11
2003,"Both Fc? receptor I and fc? receptor III mediate disease in accelerated nephrotoxic nephritis","Tarzi R.M., Davies K.A., Claassens J.W.C., Verbeek J.S., Walport M.J., Cook H.T.",00029440,"American Journal of Pathology",162, 5,11,3,2,5,1,17
2002,"Nephrotoxic nephritis is mediated by Fc? Receptors on circulating leukocytes and not intrinsic renal cells","Tarzi R.M., Davies K.A., Robson M.G., Fossati-Jimack L., Saito T., Walport M.J., Cook H.T.",00852538,"Kidney International",62, 6,16,2,5,7,3,26
