,"Author: Taylor, Graham P.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 30 (Of the 150 documents considered for the h-Index, 30 have been cited at least 30 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,3135,583,531,1114,306,4555
2009,Prevention of perinatal transmission,Taylor G.P.,13573039,Medicine,37,7,0,0,0,0,0,0
2009,The avidity and lytic efficiency of the CTL response to HTLV-1.,"Kattan T., MacNamara A., Rowan A.G., Nose H., Mosley A.J., Tanaka Y., Taylor G.P., Asquith B., Bangham C.R.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",182,9,0,0,0,0,1,1
2009,The immune control of HTLV-1 infection: selection forces and dynamics.,"Bangham C.R., Meekings K., Toulza F., Nejmeddine M., Majorovits E., Asquith B., Taylor G.P.",10934715,Frontiers in bioscience : a journal and virtual library,14, ,0,0,0,0,0,0
2009,The neurology of HTLV-1 infection,"Cooper S.A., van der Loeff M.S., Taylor G.P.",14747758,Practical Neurology,9,1,0,0,0,0,0,0
2009,"Definition, prognostic factors, treatment, and response criteria of adult T-cell leukemia-lymphoma: A proposal from an international consensus meeting","Tsukasaki K., Taylor G.P., Yamaguchi K., Utsunomiya A., Tobinai K., Watanabe T., Hermine O., Bazarbachi A., Ratner L., Ramos J.C., Harrington W., O'Mahony D., Janik J.E., Bittencourt A.L.",0732183X,Journal of Clinical Oncology,27,3,0,0,0,0,2,2
2008,Concomitant use of nonnucleoside analogue reverse transcriptase inhibitors and rifampicin in TB/HIV type 1-coinfected patients,"Sathia L., Obiorah I., Taylor G., Kon O., O'Donoghue M., Gibbins S., Walsh J., Winston A.",8892229,AIDS Research and Human Retroviruses,24,7,0,0,0,0,0,0
2008,Human T-Lymphotropic Virus-1 visualized at the virological synapse by electron tomography,"Majorovits E., Nejmeddine M., Tanaka Y., Taylor G.P., Fuller S.D., Bangham C.R.M.",19326203,PLoS ONE,3,5,0,0,1,1,3,4
2008,High frequency of CD4+FoxP3+ cells in HTLV-1 infection: Inverse correlation with HTLV-l-specific CTL response,"Toulza F., Heaps A., Tanaka Y., Taylor G.P., Bangham C.R.M.",64971,Blood,111,10,0,0,3,3,7,10
2008,"Strong induction of 4-1BB, a growth and survival promoting costimulatory receptor, in HTLV-1-infected cultured and patients' T cells by the viral Tax oncoprotein","Pichler K., Kattan T., Gentzsch J., Kress A.K., Taylor G.P., Bangham C.R.M., Grassmann R.",64971,Blood,111,9,0,0,3,3,0,3
2008,HTLV-1 integration into transcriptionally active genomic regions is associated with proviral expression and with HAM/TSP,"Meekings K.N., Leipzig J., Bushman F.D., Taylor G.P., Bangham C.R.M.",15537366,PLoS Pathogens,4,3,0,0,2,2,1,3
2008,Are previous treatment interruptions associated with higher viral rebound rates in patients with viral suppression?,"Anderson J., Hill T., Johnson M., Leen C., Orkin C., Phillips A., Pillay D., Porter K., Sabin C., Schwenk A., Bansi L.K., Babiker A., Benzie A.A., Portsmouth S., Taylor G.P., Walsh J.C., Delpech V., Dunn D., Easterbrook P., Fisher M., Gazzard B., Gilson R., Gompels M.",2699370,AIDS,22,3,0,0,1,1,0,1
2008,"Infant HIV infection despite ""universal"" antenatal testing","Struik S.S., Lyall H., Tudor-Williams G., Taylor G.P., Portsmouth S.D., Foster C.J., Walsh C., Hanley C., Walters S., Smith J.H.",39888,Archives of Disease in Childhood,93,1,0,0,1,1,0,1
2007,Molecular aspects of HTLV-1 infection and adult T-cell leukaemia/lymphoma,Taylor G.P.,219746,Journal of Clinical Pathology,60,12,0,1,1,2,0,2
2007,Increased rates of preterm delivery are associated with the initiation of highly active antiretrovial therapy during pregnancy: A single-center cohort study,"Martin F., Taylor G.P.",221899,Journal of Infectious Diseases,196,4,0,1,5,6,4,10
2007,Increased duration of viral suppression is associated with lower viral rebound rates in patients with previous treatment failures,"Benzie A.A., Fisher M., Orkin C., Dunn D., Delpech V., Taylor G.P., Walsh J.C., Phillips A.N., Bansi L.K., Sabin C.A., Portsmouth S., Hill T., Johnson M., Gilson R., Easterbrook P., Gazzard B.",2699370,AIDS,21,11,0,0,3,3,2,5
2007,Time to undetectable viral load after highly active antiretroviral therapy initiation among HIV-infected pregnant women,"Patel D., Mok J., Dobosz S., Popielska J., Oldakowska A., Malyuta R., Semenenko I., Pilipenko T., Posokhova S., Kaleeva T., Stelmah A., Kiseleva G., De Jose I., Laaru, Bates I., Salas A., Ma Pena J., Gonzalez Garcia J., Arribas Lopez J.R., Garcia-Rodriguez M.C., Asensi-Botet F., Cortina-Borja M., Otero M.C., Perez-Tamarit D., Scherpbier H.J., Kreyenbroek M., Godfried M.H., Nellen F.J.B., Boer K., Bohlin A.B., Lindgren S., Anzen B., Thorne C., Lidman K., Elfgren K., Gyllensten K., Pehrson P.O., Levy J., Barlow P., Manigart Y., Hainaut M., Peltier A., Goetghebuer T., Newell M.-L., Ferrazin A., De Maria A., Bentivoglio G., Ferrero S., Gotta C., Mur A., Paya A., Lopez-Vilchez M.A., Carreras R., Valerius N.H., Giaquinto C., Rosenfeldt V., Jimenez J., Coll O., Suy A., Perez J.M., Fortuny C., Boguna J., Casellas Caro M., Canet Y., Pardi G., Rampon O., Ravizza M., Guerra B., Lanari M., Bianchi S., Bovicelli L., Prati E., Duse M., Scaravelli G., Stegagno M., De Santis M., D'Elia R., Savasi V., Fiore S., Crivelli M., Ferrazzi E., Vigano A., Giacomet V., Frasca D., Zuccotti G., Ravagni Probizer F., Maccabruni A., De Rossi A., Bucceri A., Rancilio L., Alberico S., Rabusin M., Bernardon M., Taylor G.P., Lyall E.G.H., Penn Z., Buffolano W., Tiseo R., Grosch-Worner I., Martinelli P., Sansone M., Maruotti G., Agangi A., Tibaldi C., Marini S., Masuelli G., Benedetto C., Niemiec T., Marczynska M.",10584838,Clinical Infectious Diseases,44,12,0,0,8,8,6,14
