,"This is a citation overview for a set of 112 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 34 (Of the 112 documents considered for the h-Index, 34 have been cited at least 34 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2468,429,436,865,290,3623
2009,"Contemporary treatment principles for early rheumatoid arthritis: A consensus statement","Kiely P.D.W., Conaghan P.G., Brown A.K., Edwards C.J., O'reilly D.T., Ostor A.J.K., Quinn M., Taggart A., Taylor P.C., Wakefield R.J.",14620324,"Rheumatology",48, 7,0,0,0,0,0,0
2009,"British Society for Rheumatology and British Health Professionals in Rheumatology guideline for the management of rheumatoid arthritis (after the first 2 years).","Luqmani R., Fokke C., Goodson N., Homer D., Jackman J., Jeffreson P., Oliver S., Reed M., Sanz L., Stableford Z., Taylor P., Hennell S., Todd N., Warburton L., Washbrook C., Wilkinson M., Estrach C., Basher D., Birrell F., Bosworth A., Burke F., Callaghan C., Candal-Couto J.",14620332,"Rheumatology (Oxford, England)",48, 4,0,0,0,0,1,1
2009,"How do the efficacy and safety of abatacept and infliximab compare in the treatment of active RA?","Taylor P.C.",17458382,"Nature Clinical Practice Rheumatology",5, 3,0,0,0,0,0,0
2008,"Prevalence of subjective voice impairment in rheumatoid arthritis","Fisher B.A., Dolan K., Hastings L., McClinton C., Taylor P.C.",07703198,"Clinical Rheumatology",27, 11,0,0,0,0,0,0
2008,"Combining TMS and EEG to study cognitive function and cortico-cortico interactions","Taylor P.C.J., Walsh V., Eimer M.",01664328,"Behavioural Brain Research",191, 2,0,0,1,1,4,5
2008,"MRI-detected bone marrow edema in early rheumatoid arthritis","Taylor P.C.",17458382,"Nature Clinical Practice Rheumatology",4, 10,0,0,0,0,0,0
2008,"Extracorporeal photopheresis normalizes some lymphocyte subsets (including T regulatory cells) in chronic graft-versus-host-disease","Bladon J., Taylor P.",17449979,"Therapeutic Apheresis and Dialysis",12, 4,0,0,0,0,3,3
2008,"Systemic administration of heparin intraoperatively in patients undergoing open repair of leaking abdominal aortic aneurysm may be beneficial and does not cause problems.","Chinien G., Waltham M., Abisi S., Smith A., Taylor P., Burnand K.G.",17085381,"Vascular",16, 4,0,0,0,0,0,0
2008,"Ultrasound imaging in spondyloathropathies: From imaging to diagnostic intervention","Kelly S., Taylor P., Pitzalis C.",10408711,"Current Opinion in Rheumatology",20, 4,0,0,1,1,0,1
2008,"Synovial Hypoxia as a Cause of Tendon Rupture in Rheumatoid Arthritis","Sivakumar B., Akhavani M.A., Winlove C.P., Taylor P.C., Paleolog E.M., Kang N.",03635023,"Journal of Hand Surgery",33, 1,0,0,1,1,3,4
2007,"QUEST-RA: Quantitative clinical assessment of patients with rheumatoid arthritis seen in standard rheumatology care in 15 countries","Sokka T., Rau R., Cazzato M., Gossec L., Skakic V., Gogus F., Sierakowski S., Bresnihan B., Taylor P., McClinton C., Pincus T., Kautiainen H., Toloza S., Makinen H., Verstappen S.M.M., Hetland M.L., Naranjo A., Baecklund E., Herborn G.",00034967,"Annals of the Rheumatic Diseases",66, 11,0,4,13,17,10,27
2007,"Subsecond changes in top-down control exerted by human medial frontal cortex during conflict and action selection: A combined transcranial magnetic stimulation - Electroencephalography study","Taylor P.C.J., Nobre A.C., Rushworth M.F.S.",02706474,"Journal of Neuroscience",27, 42,0,0,9,9,8,17
2007,"A Paradoxical Role for Inhibition in Initiation","Rushworth M.F.S., Taylor P.C.J.",08966273,"Neuron",54, 5,0,0,1,1,1,2
2007,"The future of TNF-? antagonism","Taylor P.C.",17460816,"Future Rheumatology",2, 3,0,0,0,0,0,0
2007,"Direct, quantitative clinical assessment of hand function: Usefulness and reproducibility","Goodson A., McGregor A.H., Douglas J., Taylor P.",1356689X,"Manual Therapy",12, 2,0,0,0,0,1,1
2007,"Etanercept plus sulfasalazine: Added value in rheumatoid arthritis? Commentay","Fisher B.A.C., Taylor P.C.",17458382,"Nature Clinical Practice Rheumatology",3, 2,0,0,0,0,0,0
2007,"FEF TMS affects visual cortical activity","Taylor P.C.J., Nobre A.C., Rushworth M.F.S.",10473211,"Cerebral Cortex",17, 2,0,11,11,22,11,33
2007,"Rituximab in the treatment of rheumatoid arthritis","Taylor P.C.",1744666X,"Expert Review of Clinical Immunology",3, 1,0,0,1,1,0,1
2006,"Double-blind randomized controlled clinical trial of the interleukin-6 receptor antagonist, tocilizumab, in European patients with rheumatoid arthritis who had an incomplete response to methotrexate","Maini R.N., Smolen J., Thomson D., Kishimoto T., Taylor P.C., Szechinski J., Pavelka K., Broll J., Balint G., Emery P., Raemen F., Petersen J.",00043591,"Arthritis and Rheumatism",54, 9,0,39,64,103,34,137
2006,"Recent evidence for the achievement of remission in rheumatoid arthritis through early aggressive therapy","Taylor P.",1699258X,"Reumatologia Clinica",2, 2,0,0,0,0,0,0
2006,"Novel candidate genes in unstable areas of human atherosclerotic plaques","Papaspyridonos M., Smith A., Burnand K.G., Taylor P., Padayachee S., Suckling K.E., James C.H., Greaves D.R., Patel L.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",26, 8,0,8,10,18,8,26
2006,"Combining correlation and interference methods in the human brain. Focus on ""cortico-cortical interactions in spatial attention: A combined ERP/TMS study""","Taylor P.C.J., Nobre A.C., Rushworth M.F.S.",00223077,"Journal of Neurophysiology",95, 5,0,1,1,2,0,2
