,"Author: Terracciano, Cesare M N",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 15 (Of the 45 documents considered for the h-Index, 15 have been cited at least 15 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,447,64,97,161,58,666
2009,"Donor cell-type specific paracrine effects of cell transplantation for post-infarction heart failure","Shintani Y., Yacoub M.H., Suzuki K., Fukushima S., Varela-Carver A., Lee J., Coppen S.R., Takahashi K., Brouilette S.W., Yashiro K., Terracciano C.M.N.",00222828,"Journal of Molecular and Cellular Cardiology",47, 2,0,0,0,0,0,0
2009,"Chronic treatment with clenbuterol modulates endothelial progenitor cells and circulating factors in a murine model of cardiomyopathy","Rider J.E., Terracciano C.M., Barton P.J.R., Birks E.J., Yacoub M.H., Miller L.W., Hall J.L., Polster S.P., Lee S., Charles N.J., Adhikari N., Mariash A., Tadros G., Stangland J., Smolenski R.T.",19375387,"Journal of Cardiovascular Translational Research",2, 2,0,0,0,0,0,0
2009,"A gene expression profile of the myocardial response to clenbuterol","Lara-Pezzi E., Terracciano C.M.N., Soppa G.K.R., Smolenski R.T., Felkin L.E., Yacoub M.H., Barton P.J.R.",19375387,"Journal of Cardiovascular Translational Research",2, 2,0,0,0,0,0,0
2009,"Protein 4.1 and the control of ion channels","Baines A.J., Bennett P.M., Carter E.W., Terracciano C.",10799796,"Blood Cells, Molecules, and Diseases",42, 3,0,0,0,0,0,0
2009,"Adult progenitor cell transplantation influences contractile performance and calcium handling of recipient cardiomyocytes","Lee J., Stagg M.A., Fukushima S., Soppa G.K.R., Siedlecka U., Youssef S.J., Suzuki K., Yacoub M.H., Terracciano C.M.N.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",296, 4,0,0,0,0,0,0
2008,"Identification of cell-specific soluble mediators and cellular targets during cell therapy for the treatment of heart failure","Lee J., Stagg M.A., Siedlecka U., Latif N., Soppa G.K.R., Yacoub M., Terracciano C.M.N.",17460751,"Regenerative Medicine",3, 6,0,0,0,0,1,1
2008,"Effects of clenbuterol on contractility and Ca2+ homeostasis of isolated rat ventricular myocytes","Siedlecka U., Arora M., Kolettis T., Soppa G.K.R., Lee J., Stagg M.A., Harding S.E., Yacoub M.H., Terracciano C.M.N.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",295, 5,0,0,0,0,1,1
2008,"Cytoskeletal protein 4.1R affects repolarization and regulates calcium handling in the heart.","Stagg M.A., Bennett P., Yacoub M.H., Pinder J.C., Terracciano C.M., Carter E., Sohrabi N., Siedlecka U., Soppa G.K., Mead F., Mohandas N., Taylor-Harris P., Baines A.",15244571,"Circulation research",103, 8,0,0,0,0,2,2
2008,"Role and possible mechanisms of clenbuterol in enhancing reverse remodelling during mechanical unloading in murine heart failure (Cardiovascular Research (2008) 77, 4, (695-706))","Soppa G.K.R., Lee J., Stagg M.A., Felkin L.E., Barton P.J.R., Siedlecka U., Youssef S., Yacoub M.H., Terracciano C.M.N.",00086363,"Cardiovascular Research",80, 1,0,0,0,0,0,0
2008,"Choice of cell-delivery route for skeletal myoblast transplantation for treating post-infarction chronic heart failure in rat","Fukushima S., Coppen S.R., Lee J., Yamahara K., Felkin L.E., Terracciano C.M.N., Barton P.J.R., Yacoub M.H., Suzuki K.",19326203,"PLoS ONE",3, 8,0,0,0,0,3,3
2008,"Prolonged Mechanical Unloading Reduces Myofilament Sensitivity to Calcium and Sarcoplasmic Reticulum Calcium Uptake Leading to Contractile Dysfunction","Soppa G.K.R., Lee J., Stagg M.A., Siedlecka U., Youssef S., Yacoub M.H., Terracciano C.M.N.",10532498,"Journal of Heart and Lung Transplantation",27, 8,0,0,0,0,0,0
2008,"Elevated p53 expression is associated with dysregulation of the ubiquitin-proteasome system in dilated cardiomyopathy","Birks E.J., Barton P.J.R., Yacoub M.H., Evans P.C., Latif N., Enesa K., Folkvang T., Luong L.A., Sarathchandra P., Khan M., Ovaa H., Terracciano C.M.",00086363,"Cardiovascular Research",79, 3,0,0,2,2,3,5
2008,"Left ventricular assist device-induced molecular changes in the failing myocardium","Soppa G.K.R., Barton P.J.R., Terracciano C.M.N., Yacoub M.H.",02684705,"Current Opinion in Cardiology",23, 3,0,0,1,1,1,2
2008,"Role and possible mechanisms of clenbuterol in enhancing reverse remodelling during mechanical unloading in murine heart failure","Soppa G.K.R., Lee J., Stagg M.A., Felkin L.E., Barton P.J.R., Siedlecka U., Youssef S., Yacoub M.H., Terracciano C.M.N.",00086363,"Cardiovascular Research",77, 4,0,0,8,8,2,10
2007,"Response to letter regarding article, ""Direct intramyocardial but not intracoronary injection of bone marrow cells induces ventricular arrhythmias in a rat chronic ischemic heart failure model"" [2]","Suzuki K., Yacoub M.H., Fukushima S., Varela-Carver A., Coppen S.R., Yamahara K., Felkin L.E., Lee J., Barton P.J.R., Terracciano C.M.N.",00097322,"Circulation",116, 23,0,0,0,0,1,1
2007,"Direct effects of apelin on cardiomyocyte contractility and electrophysiology","Farkasfalvi K., Terracciano C.M.N., Stagg M.A., Coppen S.R., Siedlecka U., Lee J., Soppa G.K., Marczin N., Szokodi I., Yacoub M.H.",0006291X,"Biochemical and Biophysical Research Communications",357, 4,0,2,12,14,4,18
2007,"Direct intramyocardial but not intracoronary injection of bone marrow cells induces ventricular arrhythmias in a rat chronic ischemic heart failure model","Fukushima S., Suzuki K., Varela-Carver A., Coppen S.R., Yamahara K., Felkin L.E., Lee J., Barton P.J.R., Terracciano C.M.N., Yacoub M.H.",00097322,"Circulation",115, 17,0,5,17,22,10,32
2007,"The role of the cardiac Na+/Ca2+ exchanger in reverse remodeling: Relevance for LVAD-recovery","Terracciano C.M.N., Koban M.U., Soppa G.K., Siedlecka U., Lee J., Stagg M.A., Yacoub M.H.",00778923,"Annals of the New York Academy of Sciences",1099, ,0,0,3,3,2,5
2006,"Evaluation of frequency, type, and function of gap junctions between skeletal myoblasts overexpressing connexin43 and cardiomyocytes: Relevance to cell transplantation","Stagg M.A., Coppen S.R., Suzuki K., Varela-Carver A., Lee J., Brand N.J., Fukushima S., Yacoub M.H., Terracciano C.M.N.",08926638,"FASEB Journal",20, 6,1,2,4,6,2,9
2005,"Erratum: Effects of chronic administration of clenbuterol on function and metabolism of adult rat cardiac muscle (American Journal of Physiology - Heart and Circulatory Physiology (March 2005) 288 (H1468-H1476))","Soppa G.K.R., Smolenski R.T., Latif N., Yuen A.H.Y., Malik A., Karbowska J., Kochan Z., Terracciano C.M.N., Yacoub M.H.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",288, 5,0,0,0,0,0,0
2005,"Effects of chronic administration of clenbuterol on function and metabolism of adult rat cardiac muscle","Soppa G.K.R., Smolenski R.T., Latif N., Yuen A.H.Y., Malik A., Karbowska J., Kochan Z., Terracciano C.M.N., Yacoub M.H.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",288, 3,5,3,6,9,2,16
