,"Authors: Terzidou, Vasso; Terzidou, Vasiliki",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 6 (Of the 10 documents considered for the h-Index, 6 have been cited at least 6 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,47,29,19,48,9,104
2009,"The cyclopentenone 15-deoxy-?12,14-prostaglandin J 2 delays lipopolysaccharide-induced preterm delivery and reduces mortality in the newborn mouse","Pirianov G., Waddington S.N., Lindstrom T.M., Terzidou V., Mehmet H., Bennett P.R.",00137227,"Endocrinology",150, 2,0,0,0,0,0,0
2007,"Biochemical and endocrinological preparation for parturition","Terzidou V.",15216934,"Best Practice and Research: Clinical Obstetrics and Gynaecology",21, 5,0,0,0,0,1,1
2006,"The role of CCAAT/enhancer-binding protein ? in the transcriptional regulation of COX-2 in human amnion","Lee Y.S., Terzidou V., Lindstrom T., Johnson M., Bennett P.R.",13609947,"Molecular Human Reproduction",11, 12,0,1,1,2,2,4
2006,"Regulation of the human oxytocin receptor by nuclear factor-?B and CCAAT/enhancer-binding protein-?","Terzidou V., Lee Y., Lindstrom T., Johnson M., Thornton S., Bennett P.R.",0021972X,"Journal of Clinical Endocrinology and Metabolism",91, 6,0,4,1,5,2,7
2005,"The mitogen-activated protein kinase dependent expression of prostaglandin H synthase-2 and interleukin-8 messenger ribonucleic acid by myometrial cells: The differential effect of stretch and interleukin-1?","Sooranna S.R., Engineer N., Loudon J.A.Z., Terzidou V., Bennett P.R., Johnson M.R.",0021972X,"Journal of Clinical Endocrinology and Metabolism",90, 6,5,8,7,15,0,20
2005,"Mechanical stretch up-regulates the human oxytocin receptor in primary human uterine myocytes","Terzidou V., Sooranna S.R., Kim L.U., Thornton S., Bennett P.R., Johnson M.R.",0021972X,"Journal of Clinical Endocrinology and Metabolism",90, 1,5,7,5,12,0,17
2002,"Preterm labour","Terzidou V., Bennett P.R.",1040872X,"Current Opinion in Obstetrics and Gynecology",14, 2,13,4,3,7,2,22
2001,"The role of oxytocin and its receptor in human parturition","Terzidou V., Bennett P.R., Thornton S.",11218339,"Italian Journal of Gynaecology and Obstetrics",13, 4,0,0,0,0,0,0
2001,"Maternal risk factors for fetal and neonatal brain damage","Terzidou V., Bennett P.",00063126,"Biology of the Neonate",79, 3-4,10,3,1,4,1,15
1999,"Progesterone metabolite and spontaneous myometrial contractions in vitro","Thornton S., Terzidou V., Clark A., Blanks A.",01406736,"Lancet",353, 9161,14,2,1,3,1,18
