,"Authors: Thom, Simon M C G; Thom, Simon A M; McG Thom, Simon A.; Thom, Simon A McG",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 20 (Of the 117 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1572,557,522,1079,314,2965
2009,"Effects of blood pressure lowering and intensive glucose control on the incidence and progression of retinopathy in patients with type 2 diabetes mellitus: A randomised controlled trial","Beulens J.W.J., Stolk R.P., Patel A., Vingerling J.R., Cruickshank J.K., Hughes A.D., Stanton A., Lu J., McG Thom S.A., Grobbee D.E.",0012186X,"Diabetologia",52, 10,0,0,0,0,0,0
2009,"Differential effects of antihypertensive treatment on the retinal microcirculation: An anglo-scandinavian cardiac outcomes trial substudy","Thom S., Poulter N., O'Brien E., Hughes A., Stettler C., Stanton A., Witt N., Tapp R., Chaturvedi N., Allemann S., Mayet J., Sever P.",0194911X,"Hypertension",54, 2,0,0,0,0,1,1
2009,"Serum amyloid A, C-reactive protein, and retinal microvascular changes in hypertensive diabetic and nondiabetic individuals: An Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT) substudy","Stettler C., Gallimore J.R., Hughes A.D., Chaturvedi N., Witt N., Tapp R.J., Thom S., Allemann S., Tillin T., Stanton A., O'Brien E., Poulter N.",01495992,"Diabetes Care",32, 6,0,0,0,0,0,0
2009,"Analysis of flow patterns in a patient-specific thoracic aortic aneurysm model","Tan F.P.P., Borghi A., Mohiaddin R.H., Wood N.B., Thom S., Xu X.Y.",00457949,"Computers and Structures",87, 11-12,0,0,0,0,0,0
2009,"Ambulatory blood pressure monitoring predicts cardiovascular events in treated hypertensive patients - an Anglo-Scandinavian cardiac outcomes trial substudy","Dolan E., Stanton A.V., Thom S., Caulfield M., Atkins N., Mclnnes G., Collier D., Dicker P., O'Brien E.",02636352,"Journal of Hypertension",27, 4,0,0,0,0,1,1
