,"Author: Toledano, Mireille B.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 10 (Of the 19 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,296,97,108,205,79,580
2009,"Polychlorinated biphenyls in bile of patients with biliary tract cancer","Adenugba A., Beck A.J., Khan S.A., Taylor-Robinson S.D., Jane Cox I., Toledano M.B., Thillainayagam A.V., Bansi D.S., Thomas H.C., Gibson R.W.",00456535,"Chemosphere",76, 6,0,0,0,0,0,0
2009,"Health impacts of long-term exposure to disinfection by-products in drinking water in Europe: HIWATE.","Nieuwenhuijsen M.J., Cordier S., Villanueva C.M., Moreno V., La Vecchia C., Bosetti C., Vartiainen T., Rautiu R., Toledano M., Iszatt N., Grazuleviciene R., Smith R., Kogevinas M., Golfinopoulos S., Best N., Bennett J., Aggazzotti G., Righi E., Fantuzzi G., Bucchini L.",14778920,"Journal of water and health",7, 2,0,0,0,0,1,1
2009,"Endocrine disruptors in the workplace, hair spray, folate supplementation, and risk of hypospadias: Case-control study","Ormond G., Nieuwenhuijsen M.J., Nelson P., Toledano M.B., Iszatt N., Geneletti S., Elliott P.",00916765,"Environmental Health Perspectives",117, 2,0,0,0,0,0,0
2008,"Hepatocellular carcinoma: Epidemiology, risk factors and pathogenesis","Gomaa A.I., Khan S.A., Toledano M.B., Waked I., Taylor-Robinson S.D.",10079327,"World Journal of Gastroenterology",14, 27,0,0,1,1,9,10
2008,"Epidemiology, risk factor, and pathogenesis of cholangiocarcinoma","Khan S.A., Toledano M.B., Taylor-Robinson S.D.",1365182X,"HPB",10, 2,0,0,0,0,3,3
2008,"Chlorination disinfection by-products and risk of congenital anomalies in England and Wales","Nieuwenhuijsen M.J., Dattani N., Fawell J., Briggs D., Jarup L., Elliott P., Toledano M.B., Bennett J., Best N., Hambly P., de Hoogh C., Wellesley D., Boyd P.A., Abramsky L.",00916765,"Environmental Health Perspectives",116, 2,0,0,2,2,1,3
2007,"Male fertility-related disorders: Cause for concern or a stalking horse?","Toledano M.B., Nelson P.D.",00039888,"Archives of Disease in Childhood",92, 7,0,0,0,0,0,0
2006,"Trends in acoustic neuroma and cellular phones: Is there a link?","Nelson P.D., Toledano M.B., McConville J., Quinn M.J., Cooper N., Elliott P.",00283878,"Neurology",66, 2,0,2,0,2,1,3
2005,"p53 mutations in human cholangiocarcinoma: A review","Khan S.A., Thomas H.C., Toledano M.B., Cox I.J., Taylor-Robinson S.D.",14783223,"Liver International",25, 4,0,3,5,8,2,10
2005,"Relation of trihalomethane concentrations in public water supplies to stillbirth and birth weight in three water regions in England","Toledano M.B., Nieuwenhuijsen M.J., Best N., Whitaker H., Hambly P., de Hoogh C., Fawell J., Jarup L., Elliott P.",00916765,"Environmental Health Perspectives",113, 2,7,9,9,18,3,28
2003,"Temporal trends in orchidopexy, Great Britain, 1992-1998.","Toledano M.B., Hansell A.L., Jarup L., Quinn M., Jick S., Elliott P.",00916765,"Environmental health perspectives",111, 1,12,6,3,9,3,24
2002,"Changing international trends in mortality rates for liver, biliary and pancreatic tumours","Khan S.A., Taylor-Robinson S.D., Toledano M.B., Beck A., Elliott P., Thomas H.C.",01688278,"Journal of Hepatology",37, 6,47,25,23,48,18,113
2002,"Geographical epidemiology of prostate cancer in Great Britain","Jarup L., Best N., Toledano M.B., Wakefield J., Elliott P.",00207136,"International Journal of Cancer",97, 5,18,5,4,9,1,28
2001,"Use of routinely collected data on trihalomethane in drinking water for epidemiological purposes","Keegan T., Whitaker H., Nieuwenhuijsen M.J., Toledano M.B., Elliott P., Fawell J., Wilkinson M., Best N.",13510711,"Occupational and Environmental Medicine",58, 7,6,4,5,9,1,16
2001,"Increase in mortality rates from intrahepatic cholangiocarcinoma in England and Wales 1968-1998","Taylor-Robinson S.D., Toledano M.B., Arora S., Keegan T.J., Hargreaves S., Beck A., Khan S.A., Elliott P., Thomas H.C.",00175749,"Gut",48, 6,61,10,23,33,12,106
2001,"Spatial variation and temporal trends of testicular cancer in Great Britain","Toledano M.B., Jarup L., Best N., Wakefield J., Elliott P.",00070920,"British Journal of Cancer",84, 11,11,3,4,7,2,20
2000,"Uptake of chlorination disinfection by-products; a review and a discussion of its implications for exposure assessment in epidemiological studies","Nieuwenhuijsen M.J., Toledano M.B., Elliott P.",10534245,"Journal of Exposure Analysis and Environmental Epidemiology",10, 6 I,34,7,8,15,8,57
2000,"Risk of mortality, cancer incidence, and stroke in a population potentially exposed to cadmium","Elliott P., Toledano M., Tristan E., Wakefield J., Arnold R., Cockings S., Eaton N., Jarup L., Jones J., Quinn M., Rosato M., Thornton I.",13510711,"Occupational and Environmental Medicine",57, 2,12,4,1,5,1,18
2000,"Chlorination disinfection byproducts in water and their association with adverse reproductive outcomes: A review","Nieuwenhuijsen M.J., Toledano M.B., Eaton N.E., Fawell J., Elliott P.",13510711,"Occupational and Environmental Medicine",57, 2,88,19,20,39,13,140
