,"Author: Trapp, Stefan A J",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 20 (Of the 80 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1391,221,185,406,176,1973
2009,"Methods for estimating the bioconcentration factor of ionizable organic chemicals","Fu W., Franco A., Trapp S.",07307268,"Environmental Toxicology and Chemistry",28, 7,0,0,0,0,0,0
2009,"Neuronal preconditioning by inhalational anesthetics: Evidence for the role of plasmalemmal adenosine triphosphate-sensitive potassium channels","Bantel C., Maze M., Trapp S.",00033022,"Anesthesiology",110, 5,0,0,0,0,3,3
2009,"Modeling the exposure of children and adults via diet to chemicals in the environment with crop-specific models","Legind C.N., Trapp S.",02697491,"Environmental Pollution",157, 3,0,0,0,0,0,0
2009,"Influence of soil pH on the sorption of ionizable chemicals: modeling advances.","Franco A., Fu W., Trapp S.",07307268,"Environmental toxicology and chemistry / SETAC",28, 3,0,0,0,0,0,0
2009,"Uptake of polychlorinated biphenyls and organochlorine pesticides from soil and air into radishes (Raphanus sativus)","Mikes O., Cupr P., Trapp S., Klanova J.",02697491,"Environmental Pollution",157, 2,0,0,0,0,0,0
2009,"Insignificant acute toxicity of TiO2 nanoparticles to willow trees","Seeger E.M., Baun A., Kastner M., Trapp S.",14390108,"Journal of Soils and Sediments",9, 1,0,0,0,0,1,1
2008,"Coupled mother-child model for bioaccumulation of POPs in nursing infants","Trapp S., Ma Bomholtz L., Legind C.N.",02697491,"Environmental Pollution",156, 1,0,0,0,0,1,1
2008,"Estimation of the soil-water partition coefficient normalized organic carbon for ionizable organic chemicals","Franco A., Trapp S.",07307268,"Environmental Toxicology and Chemistry",27, 10,0,0,0,0,0,0
2008,"Quantitative modeling of selective lysosomal targeting for drug design","Trapp S., Rosania G.R., Horobin R.W., Kornhuber J.",01757571,"European Biophysics Journal",37, 8,0,0,0,0,3,3
2008,"Plant uptake of NaCl in relation to enzyme kinetics and toxic effects","Trapp S., Feificova D., Rasmussen N.F., Bauer-Gottwein P.",00988472,"Environmental and Experimental Botany",64, 1,0,0,0,0,0,0
2008,"A role for TASK-1 (KCNK3) channels in the chemosensory control of breathing","Trapp S., Aller M.I., Wisden W., Gourine A.V.",02706474,"Journal of Neuroscience",28, 35,0,0,1,1,5,6
2008,"Uptake, removal, accumulation, and phytotoxicity of 4-chlorophenol in willow trees","Ucisik A.S., Trapp S.",00904341,"Archives of Environmental Contamination and Toxicology",54, 4,0,0,0,0,0,0
2008,"Phototoxicity of salt and plant salt uptake: Modeling ecohydrological feedback mechanisms","Bauer-Gottwein P., Rasmussen N.F., Feificova D., Trapp S.",00431397,"Water Resources Research",44, 4,0,0,0,0,0,0
2008,"Using tree core samples to monitor natural attenuation and plume distribution after a PCE spill","Larsen M., Burken J., Machackova J., Karlson U.G., Trapp S.",0013936X,"Environmental Science and Technology",42, 5,0,0,0,0,2,2
2008,"Direct measurement of VOC diffusivities in tree tissues: Impacts on tree-based phytoremediation and plant contamination","Baduru K.K., Trapp S., Burken J.G.",0013936X,"Environmental Science and Technology",42, 4,0,0,0,0,1,1
2007,"Degradation of PCB congeners by bacterial strains","Rein A., Fernqvist M.M., Mayer P., Trapp S., Bittens M., Karlson U.G.",01757598,"Applied Microbiology and Biotechnology",77, 2,0,0,1,1,0,1
2007,"Enhanced diffusion of polycyclic aromatic hydrocarbons in artificial and natural aqueous solutions","Mayer P., Fernqvist M.M., Christensen P.S., Karlson U., Trapp S.",0013936X,"Environmental Science and Technology",41, 17,0,1,3,4,6,10
2007,"Mitochondriotropics: A review of their mode of action, and their applications for drug and DNA delivery to mammalian mitochondria","Horobin R.W., Trapp S., Weissig V.",01683659,"Journal of Controlled Release",121, 3,0,0,4,4,7,11
2007,"Uptake, accumulation, phytotoxicity, and removal of 2,4-dichlorophenol in willow trees","Ucisik A.S., Trapp S., Kusk K.O.",07307268,"Environmental Toxicology and Chemistry",26, 6,0,0,1,1,2,3
2007,"Fruit tree model for uptake of organic compounds from soil and air","Trapp S.",1062936X,"SAR and QSAR in Environmental Research",18, 3-4,0,1,2,3,5,8
2007,"Effect of temperature on the uptake and metabolism of cyanide by weeping willows","Yu X.-Z., Trapp S., Zhou P.-H., Chen L.",15226514,"International Journal of Phytoremediation",9, 3,0,0,1,1,0,1
2007,"Diffusion of PAH in potato and carrot slices and application for a potato model","Trapp S., Cammarano A., Capri E., Reichenberg F., Mayer P.",0013936X,"Environmental Science and Technology",41, 9,0,2,1,3,6,9
2007,"Ionic currents underlying the response of rat dorsal vagal neurones to hypoglycaemia and chemical anoxia","Balfour R.H., Trapp S.",00223751,"Journal of Physiology",579, 3,0,0,3,3,1,4
2006,"Uptake, removal, accumulation, and phytotoxicity of phenol in willow trees (Salix viminalis)","Ucisik A.S., Trapp S.",07307268,"Environmental Toxicology and Chemistry",25, 9,0,2,3,5,0,5
2006,"Response of weeping willows to linear alkylbenzene sulfonate","Yu X., Trapp S., Zhou P., Peng X., Cao X.",00456535,"Chemosphere",64, 1,0,4,3,7,0,7
2006,"Uptake of iron cyanide complexes into willow trees","Larsen M., Trapp S.",0013936X,"Environmental Science and Technology",40, 6,1,4,5,9,2,12
2006,"Neuronal responses to transient hypoglycaemia in the dorsal vagal complex of the rat brainstem","Balfour R.H., Hansen A.M.K., Trapp S.",00223751,"Journal of Physiology",570, 3,1,6,4,10,5,16
2005,"Growth of plants on TBT-contaminated harbour sludge and effect on TBT removal","Novak J., Trapp S.",09441344,"Environmental Science and Pollution Research",12, 6,1,1,0,1,2,4
2005,"A predictive model for the selective accumulation of chemicals in tumor cells","Trapp S., Horobin R.W.",01757571,"European Biophysics Journal",34, 7,8,10,11,21,7,36
2005,"TASK-like K+ channels mediate effects of 5-HT and extracellular pH in rat dorsal vagal neurones in vitro","Hopwood S.E., Trapp S.",00223751,"Journal of Physiology",568, 1,2,5,3,8,1,11
