,"Authors: Tzoulaki, Ionna; Tzoulaki, Ioanna",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 20 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,30,63,97,160,78,268
2009,"Comments: The non-cancer mortality experience of male workers at British Nuclear Fuels plc, 1946-2005","Little M.P., Tawn E.J., Tzoulaki I., Wakeford R., Hildebrandt G., Tapio S., Elliott P.",03005771,"International Journal of Epidemiology",38, 4,0,0,0,0,0,0
2009,"Genetic loci associated with C-reactive protein levels and risk of coronary heart disease","Elliott P., Bennett D., Coin L., Ashby D., Tzoulaki I., Brown I.J., Mt-Isa S., McCarthy M.I., Peltonen L., Freimer N.B., Farrall M., Chambers J.C., Ruokonen A., Hamsten A., Lim N., Froguel P., Waterworth D.M., Vollenweider P., Waeber G., Jarvelin M.-R., Mooser V., Scott J., Zhang W., Hall A.S., Schunkert H., Anand S.S., Collins R., Samani N.J., Watkins H., Kooner J.S., Clarke R., Hopewell J.C., Peden J.F., Erdmann J., Braund P., Engert J.C.",00987484,"JAMA - Journal of the American Medical Association",302, 1,0,0,0,0,1,1
2009,"Salt intakes around the world: Implications for public health","Brown I.J., Tzoulaki I., Candeias V., Elliott P.",03005771,"International Journal of Epidemiology",38, 3,0,0,0,0,1,1
2009,"Erratum: Critical appraisal of CRP measurement for the prediction of coronary heart disease events: New data and systematic review of 31 prospective cohorts (International Journal of Epidemiology (2009) vol. 38 (217-231) 10.1093/ije/dyn217","Shah T., Rumley A., Gerald F., Rowkes R., Humphries S.E., Hingorani A.D., Casas J.P., Cooper J.A., Tzoulaki I., Sofat R., McCormack V., Smeeth L., Deanfield J.E., Lowe G.D.",03005771,"International Journal of Epidemiology",38, 3,0,0,0,0,0,0
2009,"Metabolic syndrome, haemostatic and inflammatory markers, cerebrovascular and peripheral arterial disease: The Edinburgh Artery Study","Wild S.H., Byrne C.D., Tzoulaki I., Lee A.J., Rumley A., Lowe G.D.O., Fowkes F.G.R.",00219150,"Atherosclerosis",203, 2,0,0,0,0,0,0
2009,"Genetic determinants of height growth assessed longitudinally from infancy to adulthood in the northern finland birth cohort 1966","Sovio U., Pillas D., Tzoulaki I., Molitor J., Hoggart C., Coin L.J.M., Whittaker J., Pouta A., Hartikainen A.-L., Freimer N.B., Widen E., Bennett A.J., Peltonen L., Elliott P., I.Mccarthy M., Jarvelin M.-R., Millwood L.Y., Molitor J., O'Reilly P.F., J.Timpson N., Kaakinen M., Laitinen J., Haukka J.",15537390,"PLoS Genetics",5, 3,0,0,0,0,0,0
2009,"Critical appraisal of CRP measurement for the prediction of coronary heart disease events: New data and systematic review of 31 prospective cohorts","Shah T., Rumley A., Fowkes F.G.R., Humphries S.E., Hingorani A.D., Casas J.P., Cooper J.A., Tzoulaki I., Sofat R., McCormack V., Smeeth L., Deanfield J.E., Lowe G.D.",03005771,"International Journal of Epidemiology",38, 1,0,0,0,0,3,3
2008,"Relation of iron and red meat intake to blood pressure: cross sectional epidemiological study.","Tzoulaki I., Brown I.J., Chan Q., Van Horn L., Ueshima H., Zhao L., Stamler J., Elliott P.",14685833,"BMJ (Clinical research ed.)",337, ,0,0,0,0,3,3
2008,"Relationship of dietary linoleic acid to blood pressure: The international study of macro-micronutrients and blood pressure study","Miura K., Dyer A.R., Daviglus M.L., Kesteloot H., Okayama A., David Curb J., Rodriguez B.L., Elmer P.J., Steffen L.M., Robertson C., Zhao L., Stamler J., Nakagawa H., Elliott P., Ueshima H., Chan Q., Brown I.J., Tzoulaki I., Saitoh S.",0194911X,"Hypertension",52, 2,0,0,1,1,2,3
2008,"Relation of iron and red meat intake to blood pressure: Cross sectional epidemiological study","Tzoulaki I., Brown I.J., Chan Q., Van Horn L., Ueshima H., Zhao L., Stamler J., Elliott P.",09598146,"BMJ",337, 7663,0,0,0,0,1,1
2008,"Size at birth, weight gain over the life course, and low-grade inflammation in young adulthood: Northern Finland 1966 birth cohort study","Tzoulaki I., Saikku P., Elliott P., Jarvelin M.-R., Hartikainen A.-L., Leinonen M., Pouta A., Paldanius M., Ruokonen A., Canoy D., Sovio U.",0195668X,"European Heart Journal",29, 8,0,0,1,1,10,11
2008,"A systematic review of epidemiological associations between low and moderate doses of ionizing radiation and late cardiovascular effects, and their possible mechanisms","Little M.P., Tawn E.J., Tzoulaki I., Wakeford R., Hildebrandt G., Paris F., Tapio S., Elliott P.",00337587,"Radiation Research",169, 1,0,0,3,3,4,7
2007,"Ankle brachial index and intima media thickness predict cardiovascular events similarly and increased prediction when combined","Price J.F., Tzoulaki I., Lee A.J., Fowkes F.G.R.",08954356,"Journal of Clinical Epidemiology",60, 10,0,0,2,2,1,3
2007,"Relative value of inflammatory, hemostatic, and rheological factors for incident myocardial infarction and stroke: The Edinburgh artery study","Tzoulaki I., Murray G.D., Lee A.J., Rumley A., Lowe G.D.O., Fowkes F.G.R.",00097322,"Circulation",115, 16,0,2,14,16,5,21
2007,"Inflammatory, haemostatic, and rheological markers for incident peripheral arterial disease: Edinburgh Artery Study","Tzoulaki I., Murray G.D., Lee A.J., Rumley A., Lowe G.D.O., Fowkes F.G.R.",0195668X,"European Heart Journal",28, 3,0,3,6,9,6,15
2006,"Distribution of a subclinical marker of cardiovascular risk, the ankle brachial index, in a rural African population: SASPI study","Fowkes F.G.R., Thorogood M., Connor M.D., Lewando-Hundt G., Tzoulaki I., Tollman S.M.",17418267,"European Journal of Cardiovascular Prevention and Rehabilitation",13, 6,0,2,2,4,2,6
2006,"Reduced lung function in patients with abdominal aortic aneurysm is associated with activation of inflammation and hemostasis, not smoking or cardiovascular disease","Fowkes F.G.R., Anandan C.L.C., Lee A.J., Smith F.B., Tzoulaki I., Rumley A., Powell J.T., Lowe G.D.O.",07415214,"Journal of Vascular Surgery",43, 3,0,3,3,6,4,10
2006,"Hemostatic factors, inflammatory markers, and progressive peripheral atherosclerosis: The Edinburgh Artery Study","Tzoulaki I., Murray G.D., Price J.F., Smith F.B., Lee A.J., Rumley A., Lowe G.D.O., Fowkes F.G.R.",00029262,"American Journal of Epidemiology",163, 4,2,6,9,15,6,23
2005,"C-reactive protein, interleukin-6, and soluble adhesion molecules as predictors of progressive peripheral atherosclerosis in the general population: Edinburgh artery study","Tzoulaki I., Murray G.D., Lee A.J., Rumley A., Lowe G.D.O., Fowkes F.G.R.",00097322,"Circulation",112, 7,25,36,43,79,26,130
2005,"PAX6 mutations: Genotype-phenotype correlations","Tzoulaki I., White I.M.S., Hanson I.M.",14712156,"BMC Genetics",6, ,3,11,13,24,3,30
