,"Author: Underwood, Stephen Richard",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 88 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2799,406,389,795,248,3842
2009,"Myocardial perfusion scintigraphy in Europe 2005: A survey of the European Council on Nuclear Cardiology","Underwood S.R., Wiener S.",16197070,"European Journal of Nuclear Medicine and Molecular Imaging",36, 2,0,0,0,0,0,0
2009,"Clinical management and short-term cost - 64-slice MDCT vs. myocardial perfusion scintigraphy","Nicol E.D., Stirrup J., Leatham E., Roughton M., Underwood S.R., Padley S.P.G., Rubens M.B.",01675273,"International Journal of Cardiology",, ,0,0,0,0,0,0
2008,"High-Dose Adenosine Overcomes the Attenuation of Myocardial Perfusion Reserve Caused by Caffeine","Reyes E., Loong C.Y., Harbinson M., Donovan J., Anagnostopoulos C., Underwood S.R.",07351097,"Journal of the American College of Cardiology",52, 24,0,0,0,0,1,1
2008,"Exercise ECGs in angina. Cost effective investigation of suspected angina.","Underwood S.R.",14685833,"BMJ (Clinical research ed.)",337, ,0,0,0,0,0,0
2008,"Radiation dose from cardiac investigations: A survey of cardiac trainees and specialists","Nicol E.D., Reyes E., Stanbridge K., Latus K., Robinson C., Rubens M.B., Underwood S.R.",09696113,"British Journal of Cardiology",15, 5,0,0,0,0,0,0
2008,"Defining myocardial infarction by cardiac computed tomography","Stirrup J., Nicol E., Underwood S.R.",15695794,"International Journal of Cardiovascular Imaging",24, 8,0,0,0,0,0,0
2008,"CT coronary angiography: The continuing challenges of validating and optimizing a new and rapidly developing technique","Nicol E.D., Stirrup J., Underwood S.R.",15695794,"International Journal of Cardiovascular Imaging",24, 8,0,0,0,0,0,0
2008,"Evaluation of a decision support system for interpretation of myocardial perfusion gated SPECT","Lomsky M., Gjertsson P., Johansson L., Richter J., Ohlsson M., Tout D., Van Aswegen A., Underwood S.R., Edenbrandt L.",16197070,"European Journal of Nuclear Medicine and Molecular Imaging",35, 8,0,0,0,0,1,1
2008,"Comparison of 64-slice cardiac computed tomography with myocardial perfusion scintigraphy for assessment of global and regional myocardial function and infarction in patients with low to intermediate likelihood of coronary artery disease","Nicol E.D., Stirrup J., Reyes E., Roughton M., Padley S.P.G., Rubens M.B., Underwood S.R.",10713581,"Journal of Nuclear Cardiology",15, 4,0,0,2,2,1,3
2008,"Effects of Age, Gender, Obesity, and Diabetes on the Efficacy and Safety of the Selective A2A Agonist Regadenoson Versus Adenosine in Myocardial Perfusion Imaging. Integrated ADVANCE-MPI Trial Results","Cerqueira M.D., Nguyen P., Staehr P., Underwood S.R., Iskandrian A.E.",1936878X,"JACC: Cardiovascular Imaging",1, 3,0,0,0,0,10,10
2008,"Sixty-four-slice computed tomography coronary angiography compared with myocardial perfusion scintigraphy for the diagnosis of functionally significant coronary stenoses in patients with a low to intermediate likelihood of coronary artery disease","Nicol E.D., Stirrup J., Reyes E., Roughton M., Padley S.P.G., Rubens M.B., Underwood S.R.",10713581,"Journal of Nuclear Cardiology",15, 3,0,0,4,4,5,9
2008,"Non-invasive imaging of coronary artery disease","Stirrup J., Underwood S.R.",17508460,"British Journal of Hospital Medicine",69, 3,0,0,0,0,0,0
2008,"The relationship between administered radiopharmaceutical activity in myocardial perfusion scintigraphy and imaging outcome","Robinson C.N., Van Aswegen A., Julious S.A., Nunan T.O., Thomson W.H., Tindale W.B., Tout D.A., Underwood S.R.",16197070,"European Journal of Nuclear Medicine and Molecular Imaging",35, 2,0,0,1,1,1,2
2007,"Side effect profile and tolerability of adenosine myocardial perfusion scintigraphy in patients with mild asthma or chronic obstructive pulmonary disease","Reyes E., Loong C.Y., Wechalekar K., Latus K., Anagnostopoulos C., Underwood S.R.",10713581,"Journal of Nuclear Cardiology",14, 6,0,0,1,1,2,3
2007,"X-ray computed tomography coronary angiography--defining the role of a new technique.","Nicol E.D., Underwood S.R.",15695794,"The international journal of cardiovascular imaging",23, 5,0,0,1,1,0,1
2007,"Adenosine versus regadenoson comparative evaluation in myocardial perfusion imaging: Results of the ADVANCE phase 3 multicenter international trial","Iskandrian A.E., Underwood S.R., Vitola J., Wang W., Bateman T.M., Belardinelli L., Blackburn B., Cerqueira M.D., Hendel R.C., Lieu H., Mahmarian J.J., Olmsted A.",10713581,"Journal of Nuclear Cardiology",14, 5,0,0,5,5,9,14
2007,"Cardiac amyloidosis diagnosed incidentally by bone scintigraphy","Wechalekar K., Ng F.S., Poole-Wilson P.A., Duncan A., Nutting C., Naidoo V.V., Underwood S.R.",10713581,"Journal of Nuclear Cardiology",14, 5,0,0,0,0,1,1
2006,"A comparison of Tl-201, Tc-99m sestamibi, and Tc-99m tetrofosmin myocardial perfusion scintigraphy in patients with mild to moderate coronary stenosis","Reyes E., Loong C.Y., Harbinson M., Rahman S., Prvulovich E., Ell P.J., Anagnostopoulos C., Underwood S.R.",10713581,"Journal of Nuclear Cardiology",13, 4,0,1,2,3,0,3
2006,"Patient gender and radiopharmaceutical tracer is of minor importance for the interpretation of myocardial perfusion images using an artificial neural network","Tagil K., Underwood S.R., Davies G., Latus K.A., Ohlsson M., Gotborg C.W., Edenbrandt L.",14750961,"Clinical Physiology and Functional Imaging",26, 3,0,0,0,0,0,0
2006,"Myocardial perfusion scintigraphy: An important step between clinical assessment and coronary angiography in patients with stable chest pain","Reyes E., Underwood S.R.",0195668X,"European Heart Journal",27, 1,0,3,0,3,1,4
2005,"Myocardial perfusion scintigraphy in the UK: Insights from the British Nuclear Cardiology Society Survey 2000","Kelion A.D., Anagnostopoulos C., Harbinson M., Underwood S.R., Metcalfe M.",13556037,"Heart",91, 4,3,0,6,6,1,10
2005,"Myocardial perfusion scintigraphy in the UK: How much are we doing and how can we do more?","Kelion A.D., Underwood S.R.",13556037,"Heart",91, 4,0,0,0,0,0,0
2005,"Continued axillary sampling is unnecessary and provides no further information to sentinel node biopsy in staging breast cancer","Gui G.P.H., Underwood S.R., Joubert D.J., Reichert R., Ward A., Lakhani S., Osin P., Nerurkar A., A'Hern R., Benson K.",07487983,"European Journal of Surgical Oncology",31, 7,2,1,1,2,2,6
2005,"Radioisotopes and airport security","Iqbal M.B., Sharma R., Underwood S.R., Kaddoura S.",01406736,"Lancet",366, 9482,1,5,1,6,1,8
2005,"Myocardial perfusion scintigraphy - The NICE appraisal","Underwood S.R.",09696113,"British Journal of Cardiology",12, 2,1,0,0,0,0,1
2005,"Adjunctive role of cardiovascular magnetic resonance in the assessment of patients with inferior attenuation on myocardial perfusion SPECT","McCrohon J.A., Lyne J.C., Rahman S.L., Lorenz C.H., Underwood S.R., Pennell D.J.",10976647,"Journal of Cardiovascular Magnetic Resonance",7, 2,1,2,2,4,1,6
2005,"Left ventricular function parameters obtained from gated myocardial perfusion SPECT imaging: A comparison of two data processing systems","Tout D.A., Rogers A., Van Aswegen A., Underwood S.R.",01433636,"Nuclear Medicine Communications",26, 2,0,0,1,1,0,1
2004,"NICE in the United Kingdom: A milestone for nuclear cardiology","Underwood S.R.",10713581,"Journal of Nuclear Cardiology",11, 6,1,0,0,0,0,1
2004,"Imaging techniques in the assessment of myocardial hibernation [2] (multiple letters)","Underwood S.R., Barrington S.F., Chambers J., Hallett W.A., O'Doherty M.J., Roxburgh J.C., Nunan T.O.",16197070,"European Journal of Nuclear Medicine and Molecular Imaging",31, 8,0,0,0,0,0,0
2004,"Myocardial perfusion scintigraphy and cost effectiveness of diagnosis and management of coronary heart disease","Underwood S.R., Shaw L.J.",13556037,"Heart",90, 5,2,0,2,2,0,4
2004,"Imaging techniques for the assessment of myocardial hibernation: Report of a Study Group of the European Society of Cardiology","Underwood S.R., Bax J.J., Vom Dahl J., Henein M.Y., Van Rossum A.C., Schwarz E.R., Vanoverschelde J.-L., Van Der Wall E.E., Wijns W.",0195668X,"European Heart Journal",25, 10,26,5,9,14,10,50
2004,"Myocardial perfusion scintigraphy: The evidence - A consensus conference organised by the British Cardiac Society, the British Nuclear Cardiology Society and the British Nuclear Medicine Society, endorsed by the Royal College of Physicians of London and the Royal College of Radiologists","Underwood S.R., Shaw L.J., Tweddel A.C., Anagnostopoulos C., Cerqueira M., Ell P.J., Flint E.J., Harbinson M., Kelion A.D., Al-Mohammad A., Prvulovich E.M.",16197070,"European Journal of Nuclear Medicine and Molecular Imaging",31, 2,43,25,23,48,20,111
2004,"Procedure guidelines for radionuclide myocardial perfusion imaging","Anagnostopoulos C., Harbinson M., Kelion A., Kundley K., Loong C.Y., Notghi A., Reyes E., Tindale W., Underwood S.R.",13556037,"Heart",90, 1,13,2,4,6,3,22
2004,"Characterization of the generation of radiolabeled monodisperse albuterol particles using the spinning-top aerosol generator","Usmani O.S., Biddiscombe M.F., Underwood S.R., Barnes P.J.",01615505,"Journal of Nuclear Medicine",45, 1,4,0,0,0,0,4
2004,"Acute myocardial infarction during adenosine myocardial perfusion imaging","Reyes E., Wechalekar K., Loong C., Underwood S.R.",10713581,"Journal of Nuclear Cardiology",11, 1,1,1,0,1,0,2
2003,"Effects of bronchodilator particle size in asthmatic patients using monodisperse aerosols","Usmani O.S., Biddiscombe M.F., Nightingale J.A., Underwood S.R., Barnes P.J.",87507587,"Journal of Applied Physiology",95, 5,11,4,2,6,2,19
2003,"Procedure guidelines for radionuclide myocardial perfusion imaging (Adopted by the British Cardiac Society, the British Nuclear Cardiology Society, and the British Nuclear Medicine Society)","Anagnostopoulos C., Van Aswegen A., Hilson A.J.W., Metcalfe M., Nunan T., Prescott M., Prvulovich E.M., Tweddel A.C., Vivian G., Harbinson M., Kelion A., Kundley K., Loong C.Y., Notghi A., Reyes E., Tindale W., Underwood S.R.",01433636,"Nuclear Medicine Communications",24, 10,11,0,1,1,0,12
2003,"Significant inducible perfusion abnormality in an asymptomatic patient with hypertrophic cardiomyopathy demonstrated by radionuclide myocardial perfusion imaging","Loong C.Y., Reyes E., Underwood S.R.",13556037,"Heart",89, 9,0,0,0,0,0,0
