,"This is a citation overview for a set of 17 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 8 (Of the 17 documents considered for the h-Index, 8 have been cited at least 8 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,99,60,58,118,44,261
2009,"Suppression of GATA-3 nuclear import and phosphorylation: A novel mechanism of corticosteroid action in allergic disease","Maneechotesuwan K., Yao X., Ito K., Jazrawi E., Usmani O.S., Adcock I.M., Barnes P.J.",15491277,"PLoS Medicine",6, 5,0,0,0,0,0,0
2008,"Inhaled drug therapy in chronic obstructive pulmonary disease","Macedo P., Usmani O.S.",10680640,"Clinical Pulmonary Medicine",15, 5,0,0,0,0,0,0
2007,"Regulation of Th2 cytokine genes by p38 MAPK-mediated phosphorylation of GATA-3","Maneechotesuwan K., Xin Y., Ito K., Jazrawi E., Lee K.-Y., Usmani O.S., Barnes P.J., Adcock I.M.",00221767,"Journal of Immunology",178, 4,0,0,10,10,5,15
2007,"Chronic cough and Holmes-Adie syndrome","Ford P.A., Barnes P.J., Usmani O.S.",01406736,"Lancet",369, 9558,0,1,1,2,2,4
2006,"Generating monodisperse pharmacological aerosols using the spinning-top aerosol generator","Biddiscombe M.F., Barnes P.J., Usmani O.S.",08942684,"Journal of Aerosol Medicine: Deposition, Clearance, and Effects in the Lung",19, 3,0,0,0,0,0,0
2006,"Intra-cavity right ventricular metastasis","Hull J.H.K., Usmani O.S.",01406736,"Lancet",367, 9508,0,2,0,2,1,3
2005,"Regional lung deposition and bronchodilator response as a function of ?2-agonist particle size","Usmani O.S., Biddiscombe M.F., Barnes P.J.",1073449X,"American Journal of Respiratory and Critical Care Medicine",172, 12,4,12,10,22,11,37
2005,"Erratum: Bigger may be better: Targeted ?2-agonist therapy (American Journal of Respiratory and Critical Care Medicine (September 15, 2005) 172 (656 657))","Usmani O.S., Biddiscombe M.F., Barnes P.J.",1073449X,"American Journal of Respiratory and Critical Care Medicine",172, 12,0,0,0,0,0,0
2005,"Glucocorticoid receptor nuclear translocation in airway cells after inhaled combination therapy","Usmani O.S., Ito K., Maneechotesuwan K., Ito M., Johnson M., Barnes P.J., Adcock I.M.",1073449X,"American Journal of Respiratory and Critical Care Medicine",172, 6,17,15,16,31,9,57
2005,"Intrapulmonary shunting and hepatopulmonary syndrome","Cannon J., Usmani O.S., Chambers J., Thompson R.P., Twort C.H.C.",14623935,"Hospital Medicine",66, 5,0,0,0,0,0,0
2005,"Chronic idiopathic cough: A discrete clinical entity?","Haque R.A., Usmani O.S., Barnes P.J.",00123692,"Chest",127, 5,11,11,5,16,4,31
2005,"Theobromine inhibits sensory nerve activation and cough","Usmani O.S., Belvisi M.G., Patel H.J., Crispino N., Birrell M.A., Korbonits M., Korbonits D., Barnes P.J.",08926638,"FASEB Journal",19, 2,1,7,3,10,2,13
2004,"Characterization of the generation of radiolabeled monodisperse albuterol particles using the spinning-top aerosol generator","Usmani O.S., Biddiscombe M.F., Underwood S.R., Barnes P.J.",01615505,"Journal of Nuclear Medicine",45, 1,4,0,0,0,0,4
2003,"Effects of bronchodilator particle size in asthmatic patients using monodisperse aerosols","Usmani O.S., Biddiscombe M.F., Nightingale J.A., Underwood S.R., Barnes P.J.",87507587,"Journal of Applied Physiology",95, 5,11,4,2,6,2,19
2003,"A system for the production and delivery of monodisperse salbutamol aerosols to the lungs","Biddiscombe M.F., Usmani O.S., Barnes P.J.",03785173,"International Journal of Pharmaceutics",254, 2,4,0,0,0,0,4
2002,"Molecular interactions between glucocorticoids and long-acting ?2-agonists","Adcock I.M., Maneechotesuwan K., Usmani O.",00916749,"Journal of Allergy and Clinical Immunology",110, 6,31,6,6,12,4,47
2002,"Attenuated production of intracellular IL-10 and IL-12 in monocytes from patients with severe asthma","Tomita K., Lim S., Hanazawa T., Usmani O., Stirling R., Chung K.F., Barnes P.J., Adcock I.M.",15216616,"Clinical Immunology",102, 3,16,2,5,7,4,27
