,"Author: Venables, Patrick J W",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 19 (Of the 49 documents considered for the h-Index, 19 have been cited at least 19 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1442,123,132,255,76,1773
2009,"Multiple antibody reactivities to citrullinated antigens in sera from patients with rheumatoid arthritis: Association with HLA-DRB1 alleles","Snir O., Holmdahl R., Klareskog L., Malmstrom V., Widhe M., Von Spee C., Lindberg J., Padyukov L., Lundberg K., Engstrom A., Venables P.J., Lundeberg J.",00034967,"Annals of the Rheumatic Diseases",68, 5,0,0,0,0,0,0
2009,"Evolutionarily conserved antigens in autoimmune disease: Implications for an infective aetiology","Wegner N., Wait R., Venables P.J.",13572725,"International Journal of Biochemistry and Cell Biology",41, 2,0,0,0,0,0,0
2009,"Sinonasal sarcoid","Bakshi J., Venables P., Abraham S.",00223859,"Journal of Postgraduate Medicine",55, 1,0,0,0,0,0,0
2008,"Epitope spreading in animal models: Array of hope in rheumatoid arthritis and multiple sclerosis","Lundberg K., Venables P.J.",14786354,"Arthritis Research and Therapy",10, 6,0,0,0,0,1,1
2008,"Antibodies to citrullinated ?-enolase peptide 1 are specific for rheumatoid arthritis and cross-react with bacterial enolase","Lundberg K., Kinloch A., Fisher B.A., Wegner N., Wait R., Charles P., Mikuls T.R., Venables P.J.",00043591,"Arthritis and Rheumatism",58, 10,0,0,2,2,4,6
2008,"Synovial fluid is a site of citrullination of autoantigens in inflammatory arthritis","Kinloch A., Lundberg K., Wait R., Wegner N., Ngee H.L., Zendman A.J.W., Saxne T., Malmstrom V., Venables P.J.",00043591,"Arthritis and Rheumatism",58, 8,0,0,1,1,6,7
2008,"Is Sjögren myelopathy Devic disease?","Sofat N., Venables P.J.",00034967,"Annals of the Rheumatic Diseases",67, 5,0,0,0,0,0,0
2008,"HERV-K113 is not associated with multiple sclerosis in a large family-based study","Moyes D.L., Goris A., Ban M., Compston A., Griffiths D.J., Sawcer S., Venables P.J.",08892229,"AIDS Research and Human Retroviruses",24, 3,0,0,1,1,1,2
2007,"Insertional polymorphisms: a new lease of life for endogenous retroviruses in human disease","Moyes D., Griffiths D.J., Venables P.J.",01689525,"Trends in Genetics",23, 7,0,2,13,15,3,18
2006,"Management of patients presenting with Sjogren's syndrome","Venables P.J.",15216942,"Best Practice and Research: Clinical Rheumatology",20, 4,1,3,4,7,4,12
2006,"Pathogenic role of antibodies to citrullinated proteins in rheumatoid arthritis","Kinloch A.J., Lundberg K.E., Moyes D., Venables P.J.",1744666X,"Expert Review of Clinical Immunology",2, 3,0,1,3,4,1,5
2006,"Mixed connective tissue disease","Venables P.J.W.",09612033,"Lupus",15, 3,1,5,8,13,2,16
2005,"Identification of citrullinated alpha-enolase as a candidate autoantigen in rheumatoid arthritis.","Kinloch A., Tatzer V., Wait R., Peston D., Lundberg K., Donatien P., Moyes D., Taylor P.C., Venables P.J.",14786362,"Arthritis research & therapy.",7, 6,8,16,21,37,14,59
2005,"The distribution of the endogenous retroviruses HERV-K113 and HERV-K115 in health and disease","Moyes D.L., Martin A., Sawcer S., Temperton N., Worthington J., Griffiths D.J., Venables P.J.",08887543,"Genomics",86, 3,6,4,6,10,2,18
2004,"Sjögren's syndrome","Venables P.J.W.",15216942,"Best Practice and Research: Clinical Rheumatology",18, 3,15,5,2,7,4,26
2004,"Conservation and loss of the ERV3 open reading frame in primates","Herve C.A., Forrest G., Lower R., Griffiths D.J., Venables P.J.W.",08887543,"Genomics",83, 5,5,1,0,1,0,6
2003,"Glucose-6-phosphate isomerase is not a specific autoantigen in rheumatoid arthritis","Herve C.A., Wait R., Venables P.J.",14620324,"Rheumatology",42, 8,13,3,4,7,0,20
2003,"Are blood cultures performed after disco-vertebral biopsy useful in patients with pyogenic infective spondylitis? (multiple letters) [10]","Cherasse A., Martin D., Tavernier C., Maillefert J.F., Price E.J., Venables P.J.W.",14620324,"Rheumatology",42, 7,2,3,1,4,0,6
2003,"Sjögren's syndrome-associated myelopathy: Response to immunosuppressive treatment","Vincent T.L., Richardson M.P., Mackworth-Young C.G., Hawke S.H., Venables P.J.W.",00029343,"American Journal of Medicine",114, 2,7,1,7,8,1,16
2002,"Developmental expression of HERV-R (ERV3) and HERV-K in human tissue","Andersson A.-C., Venables P.J.W., Tonjes R.R., Scherer J., Eriksson L., Larsson E.",00426822,"Virology",297, 2,27,2,2,4,1,32
2002,"Novel endogenous retrovirus in rabbits previously reported as human retrovirus 5","Griffiths D.J., Voisset C., Venables P.J.W., Weiss R.A.",0022538X,"Journal of Virology",76, 14,9,2,1,3,0,12
2002,"Dry eyes and mouth syndrome - A subgroup of patients presenting with sicca symptoms","Price E.J., Venables P.J.W.",14620324,"Rheumatology",41, 4,13,2,4,6,5,24
2002,"Autoantibodies to human endogenous retrovirus-K are frequently detected in health and disease and react with multiple epitopes","Herve C.A., Lugli E.B., Brand A., Griffiths D.J., Venables P.J.W.",00099104,"Clinical and Experimental Immunology",128, 1,15,4,2,6,1,22
2000,"Kaposi's sarcoma in two patients following low-dose corticosteroid treatment for rheumatological disease [6]","Vincent T., Moss K., Colaco B., Venables P.J.W.",14620324,"Rheumatology",39, 11,5,1,0,1,1,7
2000,"Delta 32 deletion of CCR5 gene and association with asthma or atopy","Mitchell T.J., Walley A.J., Pease J.E., Venables P.J.W., Wiltshire S., Williams T.J., Cookson W.O.C.M.",01406736,"Lancet",356, 9240,26,0,2,2,1,29
1999,"Erratum: ERV-3 Envelope expression and congenital heart block: What does a physiological knockout teach us (Autoimmunity 30, 2,(81))","De Parseval N., Forrest G., Venables P.J., Heidmann T.",08916934,"Autoimmunity",31, 2,0,0,0,0,0,0
1999,"Retroviruses: Ancient and modern","Weiss R.A., Griffiths D., Takeuchi Y., Patience C., Venables P.J.W.",09391983,"Archives of Virology, Supplement",, 15,12,0,0,0,0,12
1999,"Absence of human retrovirus 5 in French patients with rheumatoid arthritis: Comment on the article by Griffiths et al [3] (multiple letters)","Gaudin P., Moutet F., Tuke P.W., Garson J.A., Griffiths D.J., Venables P.J.W.",00043591,"Arthritis and Rheumatism",42, 11,4,0,1,1,0,5
1999,"ERV-3 envelope expression and congenital heart block: What does a physiological knockout teach us","De Parseval N., Forrest G., Venables P.J.W., Heidmann T.",08916934,"Autoimmunity",30, 2,5,0,0,0,0,5
1999,"Human retrovirus-5 in rheumatic disease","Brand A., Griffiths D.J., Herve C., Mallon E., Venables P.J.W.",08968411,"Journal of Autoimmunity",13, 1,20,1,1,2,0,22
