,"This is a citation overview for a set of 12 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 12 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,64,28,58,86,28,178
2009,"Fibroblast growth factor 2 is an intrinsic chondroprotective agent that suppresses ADAMTS-5 and delays cartilage degradation in murine osteoarthritis","Chia S.-L., Sawaji Y., Burleigh A., McLean C., Inglis J., Saklatvala J., Vincent T.",00043591,"Arthritis and Rheumatism",60, 7,0,0,0,0,1,1
2009,"Past, present and future insights into the understanding and treatment of osteoarthritis: Molecular and mechanical approaches","Couchman J., Vincent T., Loughlin J., Silman A., Blain E., Saklatvala J., Ngee H.L., Didangelos A., Garvican E., Nagase H., Kadler K., Kraus V., Scott J., Marson A., Huxley-Jones J., Hunziker E., Williams J., Edwards G., Wann A., Harrison R., Tuan R., Van Der Kraan P., Boyde A., Troeberg L., Curtin C., Roberts H., Flannery C., Baker N., Barr E., Lohmander S., Salter D., Poulet B., Webster R.",09599673,"International Journal of Experimental Pathology",90, 1,0,0,0,0,0,0
2008,"Fibroblast growth factor 2 inhibits induction of aggrecanase activity in human articular cartilage","Sawaji Y., Hynes J., Vincent T., Saklatvala J.",00043591,"Arthritis and Rheumatism",58, 11,0,0,0,0,3,3
2008,"Regulation of pain sensitivity in experimental osteoarthritis by the endogenous peripheral opioid system","Inglis J.J., McNamee K.E., Chia S.-L., Essex D., Feldmann M., Williams R.O., Hunt S.P., Vincent T.",00043591,"Arthritis and Rheumatism",58, 10,0,0,0,0,2,2
2008,"Is the response of cartilage to injury relevant to osteoarthritis?","Vincent T.L., Saklatvala J.",00043591,"Arthritis and Rheumatism",58, 5,0,0,0,0,0,0
2007,"FGF-2 is bound to perlecan in the pericellular matrix of articular cartilage, where it acts as a chondrocyte mechanotransducer","Vincent T.L., McLean C.J., Full L.E., Peston D., Saklatvala J.",10634584,"Osteoarthritis and Cartilage",15, 7,0,1,14,15,6,21
2006,"Basic fibroblast growth factor: An extracellular mechanotransducer in articular cartilage?","Vincent T., Saklatvala J.",03005127,"Biochemical Society Transactions",34, 3,0,2,5,7,1,8
2004,"Induction of interleukin-1 in articular cartilage by explantation and cutting","Gruber J., Vincent T.L., Hermansson M., Bolton M., Wait R., Saklatvala J.",00043591,"Arthritis and Rheumatism",50, 8,5,5,5,10,2,17
2004,"Basic Fibroblast Growth Factor Mediates Transduction of Mechanical Signals When Articular Cartilage Is Loaded","Vincent T.L., Hermansson M.A., Hansen U.N., Amis A.A., Saklatvala J.",00043591,"Arthritis and Rheumatism",50, 2,8,9,12,21,4,33
2003,"Sjögren's syndrome-associated myelopathy: Response to immunosuppressive treatment","Vincent T.L., Richardson M.P., Mackworth-Young C.G., Hawke S.H., Venables P.J.W.",00029343,"American Journal of Medicine",114, 2,7,1,7,8,0,15
2002,"Basic FGF mediates an immediate response of articular cartilage to mechanical injury","Vincent T., Hermansson M., Bolton M., Wait R., Saklatvala J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",99, 12,30,9,14,23,9,62
1998,"Increased thrombin generation in women with recurrent miscarriage","Vincent T., Rai R., Regan L., Cohen H.",01406736,"Lancet",352, 9122,14,1,1,2,0,16
