,"This is a citation overview for a set of 99 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 25 (Of the 99 documents considered for the h-Index, 25 have been cited at least 25 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1714,172,172,344,97,2155
2009,"Endo180 expression with cofunctional partners MT1-MMP and uPAR-uPA is correlated with prostate cancer progression","Kogianni G., Walker M.M., Waxman J., Sturge J.",09598049,"European Journal of Cancer",45, 4,0,0,0,0,0,0
2008,"Serum biomarkers provide an accurate method for diagnosis of atrophic gastritis in a general population: The Kalixanda study","Storskrubb T., Walker M., Agreus L., Aro P., Ronkainen J., Sipponen P., Nyhlin H., Talley N.J., Engstrand L., Stolte M., Vieth M.",00365521,"Scandinavian Journal of Gastroenterology",43, 12,0,0,0,0,5,5
2008,"Functional Gastrointestinal Disorders and the Potential Role of Eosinophils","Walker M.M., Talley N.J.",08898553,"Gastroenterology Clinics of North America",37, 2,0,0,1,1,3,4
2008,"Gastric cancer and Helicobacter pylori: The bug, the host or the environment?","Walker M.M., Teare L., McNulty C.",00325473,"Postgraduate Medical Journal",84, 990,0,0,0,0,0,0
2008,"The intercellular adhesion molecule, cadherin-10, is a marker for human prostate luminal epithelial cells that is not expressed in prostate cancer","Walker M.M., Ellis S.M., Auza M.J., Patel A., Clark P.",08933952,"Modern Pathology",21, 2,0,0,0,0,0,0
2007,"Non-ulcer Dyspepsia and Duodenal Eosinophilia: An Adult Endoscopic Population-Based Case-Control Study","Talley N.J., Walker M.M., Aro P., Ronkainen J., Storskrubb T., Hindley L.A., Harmsen W.S., Zinsmeister A.R., Agreus L.",15423565,"Clinical Gastroenterology and Hepatology",5, 10,0,1,11,12,7,19
2007,"TLR9 polymorphisms determine murine lymphocyte responses to Helicobacter: Results from a genome-wide scan","Anderson A.E., Worku M.L., Khamri W., Bamford K.B., Walker M.M., Thursz M.R.",00142980,"European Journal of Immunology",37, 6,0,0,2,2,1,3
2007,"Prevalence of oesophageal eosinophils and eosinophilic oesophagitis in adults: The population-based Kalixanda study","Ronkainen J., Walker M.M., Agreus L., Talley N.J., Aro P., Storskrubb T., Johansson S.-E., Lind T., Bolling-Sternevald E., Vieth M., Stolte M.",00175749,"Gut",56, 5,0,8,23,31,13,44
2007,"Helicobacter infection in the surfactant protein D-deficient mouse","Khamri W., Worku M.L., Anderson A.E., Walker M.M., Hawgood S., Reid K.B.M., Clark H.W., Thursz M.R.",10834389,"Helicobacter",12, 2,0,0,2,2,0,2
