,"This is a citation overview for a set of 38 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 16 (Of the 38 documents considered for the h-Index, 16 have been cited at least 16 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,678,238,253,491,181,1350
2009,"A rare variant in the visfatin gene (nampt/pbef1) is associated with protection from obesity","Blakemore A.I.F., Walley A.J., Meyre D., Delplanque J., Vatin V., Lecoeur C., Marre M., Tichet J., Balkau B., Froguel P.",19307381,"Obesity",17, 8,0,0,0,0,0,0
2009,"The role of ghrelin and ghrelin-receptor gene variants and promoter activity in type 2 diabetes.","Garcia E.A., Grossman A.B., Kojima M., Petersenn S., Froguel P., Korbonits M., King P., Sidhu K., Ohgusu H., Walley A., Lecoeur C., Gueorguiev M., Khalaf S., Davies D.",1479683X,"European journal of endocrinology / European Federation of Endocrine Societies",161, 2,0,0,0,0,0,0
2009,"The genetic contribution to non-syndromic human obesity","Walley A.J., Asher J.E., Froguel P.",14710056,"Nature Reviews Genetics",10, 7,0,0,0,0,0,0
2009,"Regulation of carboxylesterase 1 (CES1) in human adipose tissue","Jernas M., Carlsson L.M.S., Olsson B., Arner P., Jacobson P., Sjostrom L., Walley A., Froguel P., McTernan P.G., Hoffstedt J.",0006291X,"Biochemical and Biophysical Research Communications",383, 1,0,0,0,0,0,0
2009,"ALK7 expression is specific for adipose tissue, reduced in obesity and correlates to factors implicated in metabolic disease","Carlsson L.M.S., Jacobson P., Walley A., Froguel P., Sjostrom L., Svensson P.-A., Sjoholm K.",0006291X,"Biochemical and Biophysical Research Communications",382, 2,0,0,0,0,0,0
2009,"Genome-wide association study for early-onset and morbid adult obesity identifies three new risk loci in European populations","Meyre D., Proenca C., Gaget S., Korner A., Kovacs P., Kiess W., Tichet J., Marre M., Hartikainen A.-L., Horber F., Potoczna N., Delplanque J., Hercberg S., Levy-Marchal C., Pattou F., Heude B., Tauber M., McCarthy M.I., Blakemore A.I.F., Montpetit A., Polychronakos C., Weill J., Chevre J.-C., Coin L.J.M., Asher J., Elliott P., Jarvelin M.-R., Visvikis-Siest S., Balkau B., Sladek R., Balding D., Walley A., Dina C., Lecoeur C., Froguel P., Lobbens S., Gallina S., Durand E., Vatin V., Degraeve F.",10614036,"Nature Genetics",41, 2,0,0,0,0,15,15
2009,"A variant near MTNR1B is associated with increased fasting plasma glucose levels and type 2 diabetes risk","Bouatia-Naji N., Durand E., De Graeve F., Chevre J.-C., Borch-Johnsen K., Hartikainen A.-L., Ruokonen A., Tichet J., Marre M., Weill J., Heude B., Bonnefond A., Tauber M., Lemaire K., Schuit F., Elliott P., Jorgensen T., Charpentier G., Hadjadj S., Cauchi S., Vaxillaire M., Sladek R., Cavalcanti-Proenca C., Visvikis-Siest S., Balkau B., Levy-Marchal C., Pattou F., Meyre D., Blakemore A.I.F., Jarvelin M.-R., Walley A.J., Hansen T., Dina C., Sparso T., Pedersen O., Froguel P., Holmkvist J., Marchand M., Delplanque J., Lobbens S., Rocheleau G.",10614036,"Nature Genetics",41, 1,0,0,0,0,16,16
2008,"Common nonsynonymous variants in PCSK1 confer risk of obesity","Benzinou M., Heude B., Balkau B., Tichet J., Marre M., Potoczna N., Horber F., Le Stunff C., Czernichow S., Sandbaek A., Lauritzen T., Creemers J.W.M., Borch-Johnsen K., Andersen G., Kiess W., Korner A., Kovacs P., Jacobson P., Carlsson L.M.S., Walley A.J., Hansen T., Choquet H., Pedersen O., Meyre D., Froguel P., Lobbens S., Dina C., Durand E., Guerardel A., Boutin P., Jouret B.",10614036,"Nature Genetics",40, 8,0,0,2,2,12,14
2007,"I?B genetic polymorphisms and invasive pneumococcal disease","Chapman S.J., Gillespie S.H., Denny P., Day N.P., Crook D.W., Davies R.J.O., Hill A.V.S., Khor C.C., Vannberg F.O., Frodsham A., Walley A., Maskell N.A., Davies C.W.H., Segal S., Moore C.E.",1073449X,"American Journal of Respiratory and Critical Care Medicine",176, 2,0,0,2,2,3,5
2007,"A Mal functional variant is associated with protection against invasive pneumococcal disease, bacteremia, malaria and tuberculosis","Khor C.C., Khan A., Aucan C., Segal S., Moore C.E., Knox K., Campbell S.J., Lienhardt C., Scott A., Aaby P., Sow O.Y., Chapman S.J., Grignani R.T., Sillah J., Sirugo G., Peshu N., Williams T.N., Maitland K., Davies R.J.O., Kwiatkowski D.P., Day N.P., Yala D., Vannberg F.O., Crook D.W., Marsh K., Berkley J.A., O'Neill L.A.J., Hill A.V.S., Dunne A., Murphy C., Ling E.Y., Frodsham A.J., Walley A.J., Kyrieleis O.",10614036,"Nature Genetics",39, 4,0,19,40,59,24,83
2007,"Leptin receptor genotype at Gln223Arg is associated with body composition, BMD, and vertebral fracture in postmenopausal Danish women","Fairbrother U.L., Tanko L.B., Walley A.J., Christiansen C., Froguel P., Blakemore A.I.F.",08840431,"Journal of Bone and Mineral Research",22, 4,0,0,6,6,7,13
2007,"Single nucleotide polymorphisms in the neuropeptide Y2 receptor (NPY2R) gene and association with severe obesity in French white subjects","Siddiq A., Walley A., Froguel P., Gueorguiev M., Samson C., Hercberg S., Heude B., Levy-Marchal C., Jouret B., Weill J., Meyre D.",0012186X,"Diabetologia",50, 3,0,1,1,2,2,4
2007,"No contribution of angiotensin-converting enzyme (ACE) gene variants to severe obesity: A model for comprehensive case/control and quantitative cladistic analysis of ACE in human diseases","Bell C.G., Mein C.A., Aitman T.J., Froguel P., Walley A.J., Meyre D., Petretto E., Levy-Marchal C., Hercberg S., Charles M.A., Boyle C., Weill J., Tauber M.",10184813,"European Journal of Human Genetics",15, 3,0,0,1,1,0,1
2006,"Genetics of obesity and the prediction of risk for health","Walley A.J., Blakemore A.I.F., Froguel P.",09646906,"Human Molecular Genetics",15, 2,0,6,13,19,5,24
2006,"Bardet-Biedl syndrome gene variants are associated with both childhood and adult common obesity in French Caucasians","Benzinou M., Walley A., Lobbens S., Charles M.-A., Jouret B., Fumeron F., Balkau B., Meyre D., Froguel P.",00121797,"Diabetes",55, 10,1,5,4,9,4,14
2006,"Erratum: ACDC/adiponectin and PPAR-? gene polymorphisms: Implications for features of obesity (obesity (2005) 13:12 (2113-2121))","Tanko L.B., Siddiq A., Lecoeur C., Larsen P.J., Christiansen C., Walley A., Froguel P.",19307381,"Obesity",14, 5,0,0,0,0,0,0
2005,"ACDC/adiponectin and PPAR-? gene polymorphisms: Implications for features of obesity","Tanko L.B., Siddiq A., Lecoeur C., Larsen P.J., Christiansen C., Walley A., Froguel P.",10717323,"Obesity Research",13, 12,4,5,4,9,5,18
