,"Author: Wang, Jayson",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 1 (Of the 4 documents considered for the h-Index, 1 has been cited at least 1 time.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,49,16,19,35,6,90
2009,"Fulvestrant in advanced breast cancer following tamoxifen and aromatase inhibition: A single center experience","Wang J., Jain S., Coombes C.R., Palmieri C.",1075122X,"Breast Journal",15, 3,0,0,0,0,0,0
2007,"HIV-Associated Kaposi Sarcoma and Gender","Wang J., Stebbing J., Bower M.",15508579,"Gender Medicine",4, 3,0,0,0,0,0,0
2007,"Case report: PET/CT, a cautionary tale","Wang J., Cook G., Frank J., Dina R., Livni N., Lynn J., Fleming W., Seckl M.J.",14712407,"BMC Cancer",7, ,0,0,1,1,0,1
2004,"Promyelocytic leukemia nuclear bodies associate with transcriptionally active genomic regions","Wang J., Shiels C., Sasieni P., Wu P.J., Islam S.A., Freemont P.S., Sheer D.",00219525,"Journal of Cell Biology",164, 4,49,16,18,34,6,89
