,"This is a citation overview for a set of 67 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 27 (Of the 67 documents considered for the h-Index, 27 have been cited at least 27 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1737,150,220,370,93,2200
2008,"Dietary prevention of allergic diseases in infants and small children: Amendment to previous published articles in Pediatric Allergy and Immunology 2004, by an expert group set up by the Section on Pediatrics, European Academy of Allergology and Clinical Immunology","Host A., Duschen K., Eigenmann P.A., Hill D., Jones C., Mellon M., Oldeus G., Oranje A., Pascual C., Prescott S., Sampson H., Halken S., Svartengren M., Wahn U., Warner J.A., Warner J.O., Vandenplas Y., Wickman M., Zeiger R.S., Muraro A., Dreborg S., Niggemann B., Aalberse R., Arshad S.H., Von Berg A., Carlsen K.-H.",09056157,"Pediatric Allergy and Immunology",19, 1,0,0,10,10,14,24
2005,"Frequency of detection of picornaviruses and seven other respiratory pathogens in infants","Legg J.P., Warner J.A., Johnston S.L., Warner J.O.",08913668,"Pediatric Infectious Disease Journal",24, 7,3,9,12,21,2,26
2004,"Ovalbumin-specific immunoglobulin G and subclass responses through the first 5 years of life in relation to duration of egg sensitization and the development of asthma","Vance G.H.S., Thornton C.A., Bryant T.N., Warner J.A., Warner J.O.",09547894,"Clinical and Experimental Allergy",34, 10,3,3,1,4,2,9
2004,"Dietary prevention of allergic diseases in infants and small children. Part III: Critical review of published peer-reviewed observational and interventional studies and final recommendations","Muraro A., Duschen K., Eigenmann P., Hill D., Jones C., Mellon M., Oldeus G., Oranje A., Pascual C., Prescott S., Sampson H., Dreborg S., Svartengren M., Vandenplas Y., Wahn U., Warner J.A., Warner J.O., Wickman M., Zeiger R.S., Halken S., Host A., Niggemann B., Aalberse R., Arshad S.H., Von Berg A., Carlsen K.-H.",09056157,"Pediatric Allergy and Immunology",15, 4,37,20,31,51,12,100
