,"Author: Watt, Fiona M.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 41 (Of the 150 documents considered for the h-Index, 41 have been cited at least 41 times.)",,,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,7924,954,1003,640,2597,0,10521
2009,"Genomic gain of 5p15 leads to over-expression of Misu (NSUN2) in breast cancer","Frye M., Teschendorff A., Zouboulis C.C., Caldas C., Watt F.M., Dragoni I., Chin S.-F., Spiteri I., Kurowski A., Provenzano E., Green A., Ellis I.O., Grimmer D.",03043835,"Cancer Letters",, ,0,0,0,0,0,0,0
2009,"Letter from the President","Watt F.M.",19345909,"Cell Stem Cell",5, 3,0,0,0,0,0,0,0
2009,"Sox2-positive dermal papilla cells specify hair follicle type in mammalian epidermis","Driskell R.R., Giangreco A., Jensen K.B., Mulder K.W., Watt F.M.",09501991,"Development",136, 16,0,0,0,0,0,0,0
2009,"Stem cells are dispensable for lung homeostasis but restore airways after injury","Giangreco A., Arwert E.N., Rosewell I.R., Snyder J., Watt F.M., Stripp B.R.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 23,0,0,0,0,0,0,0
2009,"Lrig1 Expression Defines a Distinct Multipotent Stem Cell Population in Mammalian Epidermis","Jensen K.B., Collins C.A., Nascimento E., Tan D.W., Frye M., Itami S., Watt F.M.",19345909,"Cell Stem Cell",4, 5,0,0,0,1,1,0,1
2009,"New JCS editor","Watt F.M., Ahmad S.",00219533,"Journal of Cell Science",122, 7,0,0,0,0,0,0,0
2009,"Autophagy mediates the mitotic senescence transition","Young A.R.J., Watt F.M., Narita M., Narita M., Ferreira M., Kirschner K., Sadaie M., Darot J.F.J., Tavare S., Arakawa S., Shimizu S.",08909369,"Genes and Development",23, 7,0,0,0,8,8,0,8
2009,"PI3-kinase-dependent activation of apoptotic machinery occurs on commitment of epidermal keratinocytes to terminal differentiation","Janes S.M., Ofstad T.A., Campbell D.H., Eddaoudi A., Warnes G., Davies D., Watt F.M.",10010602,"Cell Research",19, 3,0,0,0,0,0,0,0
2009,"An activating ?1 integrin mutation increases the conversion of benign to malignant skin tumors","Ferreira M., Fujiwara H., Morita K., Watt F.M.",00085472,"Cancer Research",69, 4,0,0,0,1,1,0,1
2009,"Integrin special issue","Sonnenberg A., Watt F.M.",00219533,"Journal of Cell Science",122, 2,0,0,0,0,0,0,0
2008,"A stem cell gene expression profile of human squamous cell carcinomas","Jensen K.B., Jones J., Watt F.M.",03043835,"Cancer Letters",272, 1,0,0,0,1,1,0,1
2008,"Dynamic regulation of retinoic acid-binding proteins in developing, adult and neoplastic skin reveals roles for ?-catenin and Notch signalling","Collins C.A., Watt F.M.",00121606,"Developmental Biology",324, 1,0,0,0,1,1,0,1
2008,"Kazrin regulates keratinocyte cytoskeletal networks, intercellular junctions and differentiation","Sevilla L.M., Nachat R., Groot K.R., Watt F.M.",00219533,"Journal of Cell Science",121, 21,0,0,0,0,0,0,0
2008,"The vitamin D receptor is required for mouse hair cycle progression but not for maintenance of the epidermal stem cell compartment","Palmer H.G., Martinez D., Carmeliet G., Watt F.M.",0022202X,"Journal of Investigative Dermatology",128, 8,0,0,1,2,3,0,3
2008,"KazrinA is required for axial elongation and epidermal integrity in Xenopus tropicalis","Sevilla L.M., Rana A.A., Watt F.M., Smith J.C.",10588388,"Developmental Dynamics",237, 6,0,0,1,0,1,0,1
2008,"Characterization of bipotential epidermal progenitors derived from human sebaceous gland: contrasting roles of c-Myc and ?-catenin","Celso C.L., Berta M.A., Braun K.M., Frye M., Lyle S., Zouboulis C.C., Watt F.M.",10665099,"Stem Cells",26, 5,0,0,3,4,7,0,7
2008,"Epidermal Notch signalling: differentiation, cancer and adhesion","Watt F.M., Estrach S., Ambler C.A.",09550674,"Current Opinion in Cell Biology",20, 2,0,0,0,11,11,0,11
2008,"MYC in mammalian epidermis: How can an oncogene stimulate differentiation? (Erratum) (Nature Reviews Cancer (2008) 8, (234-242))","Watt F.M., Frye M., Benitah S.A.",1474175X,"Nature Reviews Cancer",8, 4,0,0,0,0,0,0,0
2008,"Epidermal stem cells are retained in vivo throughout skin aging","Giangreco A., Qin M., Pintar J.E., Watt F.M.",14749718,"Aging Cell",7, 2,0,1,1,5,7,0,7
2008,"Role of the Notch ligand Delta1 in embryonic and adult mouse epidermis","Estrach S., Cordes R., Hozumi K., Gossler A., Watt F.M.",0022202X,"Journal of Investigative Dermatology",128, 4,0,0,3,3,6,0,6
2008,"MYC in mammalian epidermis: How can an oncogene stimulate differentiation?","Watt F.M., Frye M., Benitah S.A.",1474175X,"Nature Reviews Cancer",8, 3,0,0,4,13,17,0,17
2008,"Nanog maintains pluripotency of mouse embryonic stem cells by inhibiting NF?B and cooperating with Stat3","Torres J., Watt F.M.",14657392,"Nature Cell Biology",10, 2,0,0,5,4,9,0,9
2008,"The vitamin D receptor is a Wnt effector that controls hair follicle differentiation and specifies tumor type in adult epidermis","Palmer H.G., Anjos-Afonso F., Carmeliet G., Takeda H., Watt F.M.",19326203,"PLoS ONE",3, 1,0,0,4,3,7,0,7
2008,"Cell biology as the centuries change","Watt F.M., Sever R.",00219533,"Journal of Cell Science",121, 1,0,0,0,0,0,0,0
2007,"Mice deficient in involucrin, envoplakin, and periplakin have a defective epidermal barrier","Sevilla L.M., Nachat R., Groot K.R., Klement J.F., Uitto J., Djian P., Maatta A., Watt F.M.",00219525,"Journal of Cell Biology",179, 7,0,0,4,4,8,0,8
2007,"Severing ties","Watt F.M.",00219533,"Journal of Cell Science",120, 24,0,0,0,0,0,0,0
2007,"The RNA Methyltransferase Misu (NSun2) Mediates Myc-Induced Proliferation and Is Upregulated in Tumors (DOI:10.1016/j.cub.2006.04.027)","Frye M., Watt F.M.",09609822,"Current Biology",17, 22,0,0,0,0,0,0,0
