,"Authors: Waxman, J.; Waxman, Jonathan H Y; Waxman, J.; Waxman, J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 17 (Of the 83 documents considered for the h-Index, 17 have been cited at least 17 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1513,243,217,460,132,2105
2009,"Voodoo dolls and the cancer patient: Patients do trust their doctors","Newsom-Davis T., Kenny L., Al-Shakarchi I., Wong E., Waxman J.",14602725,"QJM",102, 5,0,0,0,0,0,0
2009,"Microarray coupled to quantitative RT-PCR analysis of androgen-regulated genes in human LNCaP prostate cancer cells","Ngan S., Stronach E.A., Photiou A., Waxman J., Ali S., Buluwela L.",09509232,"Oncogene",28, 19,0,0,0,0,0,0
2009,"Secreted Frizzled-related protein-1 is a negative regulator of androgen receptor activity in prostate cancer","Kawano Y., Diez S., Uysal-Onganer P., Darrington R.S., Waxman J., Kypta R.M.",00070920,"British Journal of Cancer",100, 7,0,0,0,0,0,0
2009,"Endo180 expression with cofunctional partners MT1-MMP and uPAR-uPA is correlated with prostate cancer progression","Kogianni G., Walker M.M., Waxman J., Sturge J.",09598049,"European Journal of Cancer",45, 4,0,0,0,0,0,0
2009,"IL15 can reverse the unresponsiveness of wilms' tumor antigen-specific CTL in patients with prostate cancer","King J.W., Waxman J., Thomas S., Corsi F., Gao L., Dina R., Gillmore R., Pigott K., Kaisary A., Stauss H.J.",10780432,"Clinical Cancer Research",15, 4,0,0,0,0,0,0
2009,"Japes and jackanapes: On being a junior hospital doctor in the 1970s","Waxman J.",17508460,"British Journal of Hospital Medicine",70, 2,0,0,0,0,0,0
2009,"Cardiorespiratory effects of intertrigeminal area stimulation in vagotomized rats","Topchiy I., Radulovacki M., Waxman J., Carley D.W.",00068993,"Brain Research",1250, C,0,0,0,0,0,0
2009,"Top-up fees are not the solution","Waxman J., Richards M.",17508460,"British Journal of Hospital Medicine",70, 1,0,0,0,0,0,0
2008,"Chemosensitizing effects of sphingosine kinase-1 inhibition in prostate cancer cell and animal models","Pchejetski D., Doumerc N., Golzio M., Naymark M., Teissie J., Kohama T., Waxman J., Malavaud B., Cuvillier O.",15357163,"Molecular Cancer Therapeutics",7, 7,0,0,0,0,0,0
2008,"Early chemotherapy in prostate cancer","Mazhar D., Waxman J.",17434270,"Nature Clinical Practice Urology",5, 9,0,0,0,0,2,2
2008,"Advances in tumour immunotherapy","King J., Waxman J., Stauss H.",14602725,"QJM",101, 9,0,0,0,0,2,2
2008,"Transcervical gastric tube drainage facilitates patient mobility and reduces the risk of pulmonary complications after esophagectomy","Schuchert M.J., Luketich J.D., Landreneau R.J., Pettiford B.L., Landreneau J.P., Waxman J., Kilic A., Santos R.S., Kent M.S., El-Sherif A., Abbas G.",1091255X,"Journal of Gastrointestinal Surgery",12, 9,0,0,0,0,2,2
2008,"Access to cancer drugs: Local autonomy or local tyranny? [3]","Waxman J.",17508460,"British Journal of Hospital Medicine",69, 9,0,0,0,0,0,0
2008,"New treatments for kidney cancer","Waxman J., Kenny L., Ngan S.",09598146,"BMJ",336, 7646,0,0,0,0,0,0
2008,"Androgen resistance in prostate cancer","Waxman J., Ngan S.",00070920,"British Journal of Cancer",98, 1,0,0,0,0,0,0
2007,"'Time, gentlemen, please' for watchful waiting in prostate cancer?","Kenny L.M., Ngan S., Waxman J.",14644096,"BJU International",100, 2,0,0,0,0,1,1
2007,"Predictive Ability of Preoperative Indices for Esophagectomy","Shende M.R., Waxman J., Luketich J.D.",15474127,"Thoracic Surgery Clinics",17, 3,0,0,0,0,0,0
2007,"Hemodynamic responses in neural circuitries for detection of visual target and novelty: An event-related fMRI study","Gur R.C., Gur R.E., Turetsky B.I., Loughead J., Waxman J., Snyder W., Ragland J.D., Elliott M.A., Bilker W.B., Arnold S.E.",10659471,"Human Brain Mapping",28, 4,0,0,5,5,4,9
2007,"Prohibitin, a protein downregulated by androgens, represses androgen receptor activity","Gamble S.C., Waxman J., Bevan C.L., Chotai D., Odontiadis M., Dart D.A., Brooke G.N., Powell S.M., Reebye V., Varela-Carver A., Kawano Y.",09509232,"Oncogene",26, 12,0,1,8,9,5,14
2006,"Regulation of prostate cell growth and morphogenesis by Dickkopf-3","Kawano Y., Kitaoka M., Hamada Y., Walker M.M., Waxman J., Kypta R.M.",09509232,"Oncogene",25, 49,1,9,11,20,7,28
