,"This is a citation overview for a set of 45 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 13 (Of the 45 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,463,88,131,30,249,0,712
2009,"User involvement in efforts to improve the quality of drug misuse services in England: A national survey","Patterson S., Weaver T., Agath K., Rutter D., Albert E., Crawford M.J.",09687637,"Drugs: Education, Prevention and Policy",16, 4,0,1,1,1,3,0,3
2009,"Dedicated personality disorder services: A qualitative analysis of service structure and treatment process","Price K., Gillespie S., Rutter D., Dhillon K., Gibson S., Faulkner A., Weaver T., Crawford M.J.",09638237,"Journal of Mental Health",18, 6,0,0,1,0,1,0,1
2009,"Ottawa rules, OK? The myth of complexity","Weaver T.D., Patterson S.",17561833,"BMJ (Online)",339, 7720,0,0,0,0,0,0,0
2009,"Prevention of suicidal behaviour among army personnel: a qualitative study.","Crawford M.J., Sharpe D., Rutter D., Weaver T.",00358665,"Journal of the Royal Army Medical Corps",155, 3,0,0,2,0,2,0,2
2009,"Use and perceived utility of structured violence risk assessments in English medium secure forensic units","Khiroya R., Weaver T., Maden T.",09556036,"Psychiatric Bulletin",33, 4,0,1,3,2,6,0,6
2009,"'They can't solve the problem without us': A qualitative study of stakeholder perspectives on user involvement in drug treatment services in England","Patterson S., Weaver T., Agath K., Albert E., Rhodes T., Rutter D., Crawford M.",09660410,"Health and Social Care in the Community",17, 1,0,0,1,0,1,0,1
2008,"Dedicated community-based services for adults with personality disorder: Delphi study","Crawford M.J., Price K., Rutter D., Moran P., Tyrer P., Bateman A., Fonagy P., Gibson S., Weaver T.",00071250,"British Journal of Psychiatry",193, 4,0,8,6,1,15,0,15
2008,"Social functioning of patients with personality disorder in secondary care","Newton-Howes G., Tyrer P., Weaver T.",10752730,"Psychiatric Services",59, 9,2,4,1,1,6,0,8
2008,"Transitions of Care from Child and Adolescent Mental Health Services to Adult Mental Health Services (TRACK Study): A study of protocols in Greater London","Singh S.P., Paul M., Ford T., Kramer T., Weaver T.",14726963,"BMC Health Services Research",8, ,1,3,4,1,8,0,9
2008,"Attitudes of staff towards patients with personality disorder in community mental health teams","Newton-Howes G., Weaver T., Tyrer P.",00048674,"Australian and New Zealand Journal of Psychiatry",42, 7,1,6,5,0,11,0,12
2007,"Role of qualitative research to inform design of epidemiological studies: A cohort study of mental health of migrants from the former Yugoslavia","Djuretic T., Crawford M.J., Weaver T.D.",09638237,"Journal of Mental Health",16, 6,1,1,0,0,1,0,2
2007,"Development of a brief screen for substance misuse amongst people with severe mental health problems living in the community","Ley A., Jeffery D., Shaw S., Weaver T.",09638237,"Journal of Mental Health",16, 5,0,0,0,0,0,0,0
2007,"Contingency management for substance misuse [6]","McQuaid F., Bowden-Jones O., Weaver T.",00071250,"British Journal of Psychiatry",190, ,0,1,0,0,1,0,1
2005,"Children's understanding of a psychiatric in-patient admission","Hepper F., Weaver T., Rose G.",13591045,"Clinical Child Psychology and Psychiatry",10, 4,1,0,1,0,1,0,2
2005,"Intensive case management for severe psychotic illness: Is there a general benefit for patients with complex needs? A secondary analysis of the UK700 trial data","Metcalfe C., White I.R., Weaver T., Ukoumunne O.C., Harvey K., Tattan T., Thompson S.G.",09337954,"Social Psychiatry and Psychiatric Epidemiology",40, 9,3,0,0,0,0,0,3
2005,"A child's admission to hospital: A qualitative study examining the experiences of parents","Diaz-Caneja A., Gledhill J., Weaver T., Nadel S., Garralda E.",03424642,"Intensive Care Medicine",31, 9,12,4,4,0,8,0,20
2004,"Internal vs. external care management in severe mental illness: Randomized controlled trial and qualitative study","Rutter D., Tyrer P., Emmanuel J., Weaver T., Byford S., Hallam A., Simmonds S., Ferguson B.",09638237,"Journal of Mental Health",13, 5,2,0,0,0,0,0,2
2004,"Prevalence of personality disorder in alcohol and drug services and associated comorbidity","Bowden-Jones O., Iqbal M.Z., Tyrer P., Seivewright N., Cooper S., Judd A., Weaver T.",09652140,"Addiction",99, 10,21,5,4,1,10,0,31
2004,"What are the implications for clinical management and service development of prevalent comorbidity in UK mental health and substance misuse treatment populations?","Weaver T., Stimson G., Tyrer P., Barnes T., Renton A.",09687637,"Drugs: Education, Prevention and Policy",11, 4,5,1,1,0,2,0,7
2004,"Patients or partners? Case studies of user involvement in the planning and delivery of adult mental health services in London","Rutter D., Manley C., Weaver T., Crawford M.J., Fulop N.",02779536,"Social Science and Medicine",58, 10,21,3,9,4,16,0,37
2004,"Providing continuity of care for people with severe mental illness - A narrative review","Crawford M.J., de Jonge E., Freeman G.K., Weaver T.",09337954,"Social Psychiatry and Psychiatric Epidemiology",39, 4,14,2,0,1,3,0,17
2004,"Desperately seeking solutions: The search for appropriate treatment for comorbid substance misuse and psychosis","Tyrer P., Weaver T.",09556036,"Psychiatric Bulletin",28, 1,5,0,1,0,1,0,6
