,"Author: Weber, Jonathan N.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 34 (Of the 158 documents considered for the h-Index, 34 have been cited at least 34 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,4532,483,497,980,315,5827
2009,"Reductions in HIV transmission risk behaviour following diagnosis of primary HIV infection: A cohort of high-risk men who have sex with men","Fox J., White P.J., Macdonald N., Weber J., McClure M., Fidler S., Ward H.",14642662,"HIV Medicine",10, 7,0,0,0,0,0,0
2009,"Adaptation of HIV-1 to human leukocyte antigen class I","Kawashima Y., Koizumi H., Kuse N., Oka S., Duda A., Prendergast A., Crawford H., Leslie A., Brumme Z., Brumme C., Allen T., Pfafferott K., Brander C., Kaslow R., Tang J., Hunter E., Allen S., Mulenga J., Branch S., Roach T., John M., Mallal S., Frater J., Ogwu A., Shapiro R., Prado J.G., Fidler S., Weber J., Pybus O.G., Klenerman P., Ndungu T., Phillips R., Heckerman D., Matthews P., Harrigan P.R., Walker B.D., Takiguchi M., Goulder P., Payne R., Addo M., Gatanaga H., Fujiwara M., Hachiya A.",00280836,"Nature",458, 7238,0,0,0,0,8,8
2009,"Re: ""Enhancement of HIV infection by cellulose sulfate,"" by Tao et al","McCormack S., Nunn A., Weber J., Taylor D., Richardson B., Darbyshire J., Sattentau Q., Karim Q.A., Abdool Karim S.S., Kharsany A., Lacey C.",08892229,"AIDS Research and Human Retroviruses",25, 3,0,0,0,0,0,0
2008,"Vaccinia virus strain NYVAC induces substantially lower and qualitatively different human antibody responses compared with strains Lister and Dryvax","Midgley C.M., Putz M.M., Weber J.N., Smith G.L.",00221317,"Journal of General Virology",89, 12,0,0,0,0,1,1
2008,"EV01: A phase I trial in healthy HIV negative volunteers to evaluate a clade C HIV vaccine, NYVAC-C undertaken by the EuroVacc Consortium","Bart P.-A., Wagner R., Liljestrom P., Kraehenbuhl J.-P., Girard M., Goudsmit J., Esteban M., Heeney J., Sattentau Q., McCormack S., Babiker A., Goodall R., Pantaleo G., Weber J., Barber T., Harari A., Guimaraes-Walker A., Khonkarly M., Sheppard N.C., Bangala Y., Frachette M.-J.",0264410X,"Vaccine",26, 25,0,0,1,1,2,3
2008,"EV02: A Phase I trial to compare the safety and immunogenicity of HIV DNA-C prime-NYVAC-C boost to NYVAC-C alone","McCormack S., Gamboni R., Burnet S., Legg K., Brodnicki E., Wolf H., Wagner R., Heeney J., Frachette M.-J., Tartaglia J., Babiker A., Stohr W., Pantaleo G., Weber J., Barber T., Bart P.-A., Harari A., Moog C., Ciuffreda D., Cellerai C., Cowen M.",0264410X,"Vaccine",26, 25,0,0,2,2,4,6
2008,"Participation in two phase II prophylactic HIV vaccine trials in the UK","Gray K., Legg K., Sharp A., Mackie N., Olarinde F., De Souza C., Weber J., Peters B.",0264410X,"Vaccine",26, 23,0,0,0,0,0,0
2008,"Human immunodeficiency virus (HIV)-specific T helper responses fail to predict CD4+ T cell decline following short-course treatment at primary HIV-1 infection","Fox J., Scriba T.J., Robinson N., Weber J.N., Phillips R.E., Fidler S.",00099104,"Clinical and Experimental Immunology",152, 3,0,0,0,0,0,0
2008,"Increasing incidence of acute hepatitis C in individuals diagnosed with primary HIV in the United Kingdom","Fox J., Nastouli E., Thomson E., Muir D., McClure M., Weber J., Fidler S.",02699370,"AIDS",22, 5,0,0,1,1,3,4
2008,"Primary HIV infection: To treat or not to treat?","Fidler S., Fox J., Porter K., Weber J.",09517375,"Current Opinion in Infectious Diseases",21, 1,0,0,2,2,2,4
2008,"An HIV-1 clade C DNA prime, NYVAC boost vaccine regimen induces reliable, polyfunctional, and long-lasting T cell responses","Harari A., Barber T., Moog C., Liljestrom P., Wagner R., Wolf H., Kraehenbuhl J.-P., Esteban M., Heeney J., Frachette M.-J., Tartaglia J., Bart P.-A., McCormack S., Babiker A., Weber J., Pantaleo G., Stohr W., Tapia G., Garcia M., Medjitna-Rais E., Burnet S., Cellerai C., Erlwein O.",00221007,"Journal of Experimental Medicine",205, 1,0,0,22,22,14,36
