,"Author: Wells, Dominic J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 20 (Of the 74 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1334,191,216,407,105,1846
2009,"Local restoration of dystrophin expression with the morpholino oligomer AVI-4658 in Duchenne muscular dystrophy: a single-blind, placebo-controlled, dose-escalation, proof-of-concept study","Kinali M., Nihoyannopoulos P., Garralda M.E., Rutherford M., Mcculley C., Popplewell L., Graham I.R., Dickson G., Wood M.J., Wells D.J., Wilton S.D., Arechavala-Gomeza V., Kole R., Straub V., Bushby K., Sewry C., Morgan J.E., Muntoni F., Feng L., Cirak S., Hunt D., Adkin C., Guglieri M., Ashton E., Abbs S.",14744422,"The Lancet Neurology",8, 10,0,0,0,0,0,0
2009,"Heat shock protein 27 overexpression mitigates cytokine-induced islet apoptosis and streptozotocin-induced diabetes","Dai T., Chuang P., Tong L., De Belleroche J., Wells D.J., Wang Y., Adler S.G., Patel-Chamberlin M., Natarajan R., Todorov I., LaPage J., Phillips L., Nast C.C., Becerra D.",00137227,"Endocrinology",150, 7,0,0,0,0,0,0
2009,"Microbubble Stability is a Major Determinant of the Efficiency of Ultrasound and Microbubble Mediated in vivo Gene Transfer","Alter J., Sennoga C.A., Lopes D.M., Eckersley R.J., Wells D.J.",03015629,"Ultrasound in Medicine and Biology",35, 6,0,0,0,0,1,1
2009,"Mice that overexpress human heat shock protein 27 have increased renal injury following ischemia reperfusion","Chen S.W.C., Lee H.T., Kim M., Kim M., Song J.H., Park S.W., Wells D., Brown K., De Belleroche J., D'Agati V.D.",00852538,"Kidney International",75, 5,0,0,0,0,1,1
2008,"Sustained transgene expression using non-viral enzymatic systems for stable chromosomal integration","Palazzoli F., Carnus E., Wells D.J., Bigot Y.",15665232,"Current Gene Therapy",8, 5,0,0,0,0,1,1
2008,"Peptide-conjugated antisense therapy takes a skip ahead","Wells D.J.",15250016,"Molecular Therapy",16, 9,0,0,0,0,0,0
