,"Author: White, Peter J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 9 (Of the 17 documents considered for the h-Index, 9 have been cited at least 9 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,84,37,38,75,41,200
2009,"Reductions in HIV transmission risk behaviour following diagnosis of primary HIV infection: A cohort of high-risk men who have sex with men","Fox J., White P.J., Macdonald N., Weber J., McClure M., Fidler S., Ward H.",14642662,"HIV Medicine",10, 7,0,0,0,0,0,0
2009,"Two of the authors respond","White P.J., Bernabe-Ortiz A.",08203946,"CMAJ. Canadian Medical Association Journal",180, 11,0,0,0,0,0,0
2009,"Clandestine induced abortion: Prevalence, incidence and risk factors among women in a Latin American country","Bernabe-Ortiz A., White P.J., Carcamo C.P., Hughes J.P., Gonzales M.A., Garcia P.J., Garnett G.P., Holmes K.K.",08203946,"Canadian Medical Association Journal",180, 3,0,0,0,0,3,3
2007,"Appropriate evaluation of HIV prevention interventions: From experiment to full-scale implementation","Hallett T.B., White P.J., Garnett G.P.",13684973,"Sexually Transmitted Infections",83, 1,0,0,7,7,4,11
2007,"Influence of epidemic phase on the cost effectiveness of a prevention intervention for sexually transmitted infection: An exploratory analysis","Chesson H.W., White P.J.",13684973,"Sexually Transmitted Infections",83, 1,0,0,0,0,0,0
2007,"How much do delayed Healthcare seeking, delayed care provision, and diversion from primary care contribute to the transmission of STIs?","Mercer C.H., Jungmann E., Sweeney J., Kinghorn G., Garnett G.G., Stephenson J.M., Cassell J.A., Sutcliffe L., Johnson A.M., White P.J., Brook G., Ross J.D.C., Dhar J., Horner P., Keane F.",13684973,"Sexually Transmitted Infections",83, 5,0,0,6,6,5,11
2006,"Is HIV out of control in the UK? An example of analysing patterns of HIV spreading using incidence-to-prevalence ratios","White P.J., Ward H., Garnett G.P.",02699370,"AIDS",20, 14,0,2,3,5,3,8
2006,"Short term estimates of adult HIV incidence by mode of transmission: Kenya and Thailand as examples","Gouws E., White P.J., Stover J., Brown T.",13684973,"Sexually Transmitted Infections",82, III,1,5,7,12,10,23
2005,"Erratum: Vicious and virtuous circles in the dynamics of infectious disease and the provision of health care: Gonorrhea in Britain as an example (Journal of Infectious Diseases (September 2005) 192 (824-836))","White P.J., Ward H., Cassell J.A.",00221899,"Journal of Infectious Diseases",192, 12,0,0,0,0,0,0
2005,"Vicious and virtuous circles in the dynamics of infectious disease and the provision of health care: Gonorrhea in Britain as an example","White P.J., Ward H., Cassell J.A., Mercer C.H., Garnett G.P.",00221899,"Journal of Infectious Diseases",192, 5,5,3,1,4,2,11
2004,"Informal confidential voting interview methods and temporal changes in reported sexual risk behaviour for HIV transmission in sub-Saharan Africa","Gregson S., Mushati P., White P.J., Mlilo M., Mundandi C., Nyamukapa C.",13684973,"Sexually Transmitted Infections",80, 2,9,6,2,8,2,19
2004,"Epidemiology of rabbit haemorrhagic disease virus in the United Kingdom: Evidence for seasonal transmission by both virulent and avirulent modes of infection","White P.J., Trout R.C., Moss S.R., Desai A., Armesto M., Forrester N.L., Gould E.A., Hudson P.J.",09502688,"Epidemiology and Infection",132, 3,2,2,2,4,1,7
2003,"Long-term survival of New Zealand rabbit haemorrhagic disease virus RNA in wild rabbits, revealed by RT-PCR and phylogenetic analysis","Forrester N.L., Boag B., Moss S.R., Turner S.L., Trout R.C., White P.J., Hudson P.J., Gould E.A.",00221317,"Journal of General Virology",84, 11,5,4,3,7,1,13
2002,"Epidemiological consequences of a pathogen having both virulent and avirulent modes of transmission: The case of rabbit haemorrhagic disease virus","White P.J., Norman R.A., Hudson P.J.",09502688,"Epidemiology and Infection",129, 3,5,1,0,1,0,6
2002,"Molecular epidemiology of Rabbit haemorrhagic disease virus","Moss S.R., Turner S.L., Trout R.C., White P.J., Hudson P.J., Desai A., Armesto M., Forrester N.L., Gould E.A.",00221317,"Journal of General Virology",83, 10,23,10,7,17,7,47
2001,"The emergence of rabbit haemorrhagic disease virus: Will a non-pathogenic strain protect the UK?","White P.J., Norman R.A., Trout R.C., Gould E.A., Hudson P.J.",09628436,"Philosophical Transactions of the Royal Society B: Biological Sciences",356, 1411,15,2,0,2,2,19
1999,"Use of antiviral treatment and prophylaxis is unlikely to have a major impact on the prevalence of herpes simplex virus type 2","White P.J., Garnett G.P.",13684973,"Sexually Transmitted Infections",75, 1,19,2,0,2,1,22
