,"Authors: Wigneshweraraj, Sivaramesh R.; Wigneshweraraj, Siva R.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 14 (Of the 34 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,349,76,109,185,59,593
2009,"Construction and functional analyses of a comprehensive ?54 site-directed mutant library using alanine-cysteine mutagenesis","Xiao Y., Wigneshweraraj S.R., Weinzieri R., Wang Y.-P., Buck M.",03051048,"Nucleic Acids Research",37, 13,0,0,0,0,0,0
2009,"Coupling ? Factor Conformation to RNA Polymerase Reorganisation for DNA Melting","Burrows P.C., Buck M., Joly N., Cannon W.V., Camara B.P., Rappas M., Zhang X., Dawes K., Nixon B.T., Wigneshweraraj S.R.",00222836,"Journal of Molecular Biology",387, 2,0,0,0,0,1,1
2008,"Organization of an Activator-Bound RNA Polymerase Holoenzyme","Bose D., Pape T., Burrows P.C., Rappas M., Wigneshweraraj S.R., Buck M., Zhang X.",10972765,"Molecular Cell",32, 3,0,0,0,0,4,4
2008,"Visualizing the organization and reorganization of transcription complexes for gene expression","Burrows P.C., Buck M., Wigneshweraraj S., Bose D., Joly N., Schumacher J., Rappas M., Pape T., Stockley P.G., Zhang X.",03005127,"Biochemical Society Transactions",36, 4,0,0,0,0,2,2
2008,"Modus operandi of the bacterial RNA polymerase containing the ?54 promoter-specificity factor","Wigneshweraraj S., Severinov K., Buck M., Bose D., Burrows P.C., Joly N., Schumacher J., Rappas M., Pape T., Zhang X., Stockley P.",0950382X,"Molecular Microbiology",68, 3,0,0,1,1,6,7
2008,"Protein-DNA Interactions That Govern AAA+ Activator-Dependent Bacterial Transcription Initiation","Burrows P.C., Wigneshweraraj S.R., Buck M.",00222836,"Journal of Molecular Biology",375, 1,0,0,5,5,2,7
2007,"Studying ?54-dependent transcription at the single-molecule level using alternating-laser excitation (ALEX) spectroscopy","Heilemann M., Lymperopoulos K., Wigneshweraraj S.R., Buck M., Kapanidis A.N.",16057422,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE",6633, ,0,0,0,0,0,0
2007,"Coupling nucleotide hydrolysis to transcription activation performance in a bacterial enhancer binding protein","Joly N., Rappas M., Wigneshweraraj S.R., Zhang X., Buck M.",0950382X,"Molecular Microbiology",66, 3,0,0,7,7,3,10
2007,"Sensor I threonine of the AAA+ ATPase transcriptional activator PspF is involved in coupling nucleotide triphosphate hydrolysis to the restructuring of ?54-RNA polymerase","Schumacher J., Joly N., Rappas M., Bradley D., Wigneshweraraj S.R., Zhang X., Buck M.",00219258,"Journal of Biological Chemistry",282, 13,0,2,2,4,0,4
2007,"A role for the conserved GAFTGA motif of AAA+ transcription activators in sensing promoter DNA conformation","Dago A.E., Wigneshweraraj S.R., Buck M., Morett E.",00219258,"Journal of Biological Chemistry",282, 2,0,2,0,2,0,2
2006,"A second paradigm for gene activation in bacteria","Buck M., Zhang X., Bose D., Burrows P., Cannon W., Joly N., Pape T., Rappas M., Schumacher J., Wigneshweraraj S.",03005127,"Biochemical Society Transactions",34, 6,0,2,2,4,0,4
2006,"Mapping ATP-dependent activation at a ?54 promoter","Leach R.N., Gell C., Wigneshweraraj S., Buck M., Smith A., Stockley P.G.",00219258,"Journal of Biological Chemistry",281, 44,0,3,4,7,2,9
2006,"Interplay between the ?? Clamp and the ?? Jaw Domains during DNA Opening by the Bacterial RNA Polymerase at ?54-dependent Promoters","Wigneshweraraj S.R., Savalia D., Severinov K., Buck M.",00222836,"Journal of Molecular Biology",359, 5,1,2,2,4,2,7
2005,"The Second Paradigm for Activation of Transcription","Wigneshweraraj S.R., Burrows P.C., Bordes P., Schumacher J., Rappas M., Finn R.D., Cannon W.V., Zhang X., Buck M.",00796603,"Progress in Nucleic Acid Research and Molecular Biology",79, ,6,2,6,8,2,16
