,"Author: Wilkinson, Robert John",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 23 (Of the 84 documents considered for the h-Index, 23 have been cited at least 23 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1325,321,394,715,373,2413
2009,"High levels of multidrug resistant tuberculosis in new and treatment-failure patients from the revised national tuberculosis control programme in an urban metropolis (Mumbai) in Western India","D'Souza D.T.B., Mistry N.F., Vira T.S., Dholakia Y., Hoffner S., Pasvol G., Nicol M., Wilkinson R.J.",14712458,"BMC Public Health",9, ,0,0,0,0,0,0
2009,"1?,25-dihydroxyvitamin D3 inhibits matrix metalloproteinases induced by Mycobacterium tuberculosis infection","Coussens A., Griffiths C.J., Wilkinson R.J., Martineau A.R., Timms P.M., Boucher B.J., Venton T.R., Ashcroft A.T., Skolimowska K.H., Newton S.M., Wilkinson K.A., Davidson R.N.",00192805,"Immunology",127, 4,0,0,0,0,1,1
2009,"Management of patients with the immune reconstitution inflammatory syndrome","Meintjes G., Marais S., Wilkinson R.J., Pepper D.J.",15483568,"Current HIV/AIDS Reports",6, 3,0,0,0,0,0,0
2009,"Neurologic manifestations of paradoxical tuberculosis-associated immune reconstitution inflammatory syndrome: A case series","Pepper D.J., Marais S., Maartens G., Rebe K., Morroni C., Rangaka M.X., Oni T., Wilkinson R.J., Meintjes G.",10584838,"Clinical Infectious Diseases",48, 11,0,0,0,0,1,1
2009,"Detection of tuberculosis in HIV-infected children using an enzyme-linked immunospot assay","Davies M.-A., Beatty D., Curtis N., NicoI M.P., Connell T., Johannisen C., Wood K., Pienaar S., Wilkinson K.A., Wilkinson R.J., Zar H.J., Eley B.",02699370,"AIDS",23, 8,0,0,0,0,2,2
2009,"Vitamin D and tuberculosis: New light on a potent biologic therapy?","Wilkinson R.J., Lange C.",1073449X,"American Journal of Respiratory and Critical Care Medicine",179, 9,0,0,0,0,0,0
