,"Authors: Williams, Richard O.; Williams, Richards O.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 22 (Of the 56 documents considered for the h-Index, 22 have been cited at least 22 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2113,263,220,483,125,2721
2009,"Indoleamine 2,3 dioxygenase-mediated tryptophan catabolism regulates accumulation of Th1/Th17 cells in the joint in collagen-induced arthritis","Criado G., Simelyte E., Inglis J.J., Essex D., Williams R.O.",00043591,"Arthritis and Rheumatism",60, 5,0,0,0,0,0,0
2009,"Amphoteric liposomes enable systemic antigen-presenting cell-directed delivery of CD40 antisense and are therapeutically effective in experimental arthritis","Andreakos E., Gaus H., Bennett C.F., Williams R.O., Sideras P., Panzner S., Rauchhaus U., Stavropoulos A., Endert G., Wendisch V., Benahmed A.S., Giaglis S., Karras J., Lee S.",00043591,"Arthritis and Rheumatism",60, 4,0,0,0,0,1,1
2008,"Reduction of cPLA2? overexpression: An efficient anti-inflammatory therapy for collagen-induced arthritis","Raichel L., Berger S., Hadad N., Kachko L., Karter M., Szaingurten-Solodkin I., Williams R.O., Feldmann M., Levy R.",00142980,"European Journal of Immunology",38, 10,0,0,0,0,0,0
2008,"Blockade of tumor necrosis factor in collagen-induced arthritis reveals a novel immunoregulatory pathway for Th1 and Th17 cells","Notley C.A., Inglis J.J., Alzabin S., McCann F.E., McNamee K.E., Williams R.O.",00221007,"Journal of Experimental Medicine",205, 11,0,0,0,0,7,7
2008,"Regulation of pain sensitivity in experimental osteoarthritis by the endogenous peripheral opioid system","Inglis J.J., McNamee K.E., Chia S.-L., Essex D., Feldmann M., Williams R.O., Hunt S.P., Vincent T.",00043591,"Arthritis and Rheumatism",58, 10,0,0,0,0,2,2
2008,"Plasmid DNA as a safe gene delivery vehicle for treatment of chronic inflammatory disease","Clanchy F.I.L., Williams R.O.",14712598,"Expert Opinion on Biological Therapy",8, 10,0,0,0,0,0,0
2008,"Novel approaches to the therapy of rheumatoid arthritis based on an understanding of disease mechanisms","McCann F.E., Williams R.O.",18715222,"Immunology, Endocrine and Metabolic Agents in Medicinal Chemistry",8, 3,0,0,0,0,1,1
2008,"Paradoxical effects of tumour necrosis factor-? in adjuvant-induced arthritis","Williams R.O.",14786354,"Arthritis Research and Therapy",10, 3,0,0,1,1,0,1
2008,"Protocol for the induction of arthritis in C57BL/6 mice","Inglis J.J., Simelyte E., McCann F.E., Criado G., Williams R.O.",17542189,"Nature Protocols",3, 4,0,0,0,0,2,2
2008,"CD200-Fc, a novel antiarthritic biologic agent that targets proinflammatory cytokine expression in the joints of mice with collagen-induced arthritis","Simelyte E., Criado G., Essex D., Uger R.A., Feldmann M., Williams R.O.",00043591,"Arthritis and Rheumatism",58, 4,0,0,1,1,2,3
2007,"Collagen-induced arthritis as a model of hyperalgesia: Functional and cellular analysis of the analgesic actions of tumor necrosis factor blockade","Inglis J.J., Notley C.A., Essex D., Wilson A.W., Feldmann M., Anand P., Williams R.",00043591,"Arthritis and Rheumatism",56, 12,0,0,3,3,6,9
2007,"Collagen-induced arthritis in mice.","Williams R.O.",15431894,"Methods in molecular medicine",136, ,0,0,3,3,5,8
2007,"Prolonged response to anti-tumour necrosis factor treatment with adalimumab (Humira) in relapsing polychondritis complicated by aortitis [3]","Seymour M.W., Home D.M., Williams R.O., Allard S.A.",14620324,"Rheumatology",46, 11,0,0,0,0,2,2
2007,"Collagen-induced arthritis in C57BL/6 mice is associated with a robust and sustained T-cell response to type II collagen","Inglis J.J., Criado G., Medghalchi M., Andrews M., Sandison A., Feldmann M., Williams R.O.",14786354,"Arthritis Research and Therapy",9, 5,0,0,4,4,0,4
2007,"The anti-allergic drug, N -(3?,4?-dimethoxycinnamonyl) anthranilic acid, exhibits potent anti-inflammatory and analgesic properties in arthritis","Inglis J.J., Criado G., Andrews M., Feldmann M., Williams R.O., Selley M.L.",14620324,"Rheumatology",46, 9,0,0,3,3,2,5
2007,"Cytokine inhibitors in rheumatoid arthritis and other autoimmune diseases","Williams R.O., Paleolog E., Feldmann M.",14714892,"Current Opinion in Pharmacology",7, 4,0,0,4,4,6,10
2006,"Pathogenesis and therapy of rheumatoid arthritis.","Williams R.O.",,"Ernst Schering Foundation symposium proceedings",1, ,0,0,0,0,0,0
2006,"Remission of collagen-induced arthritis is associated with high levels of transforming growth factor-? expression in the joint","Marinova-Mutafchieva L., Gabay C., Funa K., Williams R.O.",00099104,"Clinical and Experimental Immunology",146, 2,0,1,1,2,1,3
2006,"Activation of NF-?B by the intracellular expression of NF-?B-inducing kinase acts as a powerful vaccine adjuvant","Andreakos E., Williams R.O., Wales J., Foxwell B.M., Feldmann M.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",103, 39,0,6,9,15,3,18
2005,"Anti-TNF therapy: Where have we got to in 2005?","Feldmann M., Brennan F.M., Foxwell B.M.J., Taylor P.C., Williams R.O., Maini R.N.",08968411,"Journal of Autoimmunity",25, ,7,18,13,31,7,45
2005,"Models of rheumatoid arthritis.","Williams R.O.",09476075,"Ernst Schering Research Foundation workshop.",, 50,2,1,3,4,0,6
2005,"Analysing the effect of novel therapies on cytokine expression in experimental arthritis","Williams R.O., Inglis J.J., Simelyte E., Criado G., Sumariwalla P.F.",09599673,"International Journal of Experimental Pathology",86, 5,1,0,2,2,0,3
2005,"Erratum: RHAMM, a receptor for hyaluronan-mediated motility, compensates for CD44 in inflamed CD44-knockout mice: A different interpretation of redundancy (Proceedings of the National Academy of Sciences of the United States of America (December 28, 2004) 101, 52 (18081-18086))","Nedvetzki S., Turley E.A., Naor D., Gonen E., Assayag N., Reich R., Williams R.O., Thurmond R.L., Huang J.-F., Neudecker B.A., Wang F.-S.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",102, 4,0,0,0,0,0,0
2004,"RHAMM, a receptor for hyaluronan-mediated motility, compensates for CD44 in inflamed CD44-knockout mice: A different interpretation of redundancy","Nedvetzki S., Turley E.A., Naor D., Gonen E., Assayag N., Reich R., Williams R.O., Thurmond R.L., Huang J.-F., Neudecker B.A., Wang F.-S.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",101, 52,8,6,13,19,7,34
2004,"Anti-TNF? therapy of rheumatoid arthritis: What can we learn about chronic disease?","Feldmann M., Brennan F.M., Paleolog E., Cope A., Taylor P., Williams R., Woody J., Maini R.N.",15282511,"Novartis Foundation Symposium",256, ,20,3,2,5,0,25
2004,"Tumour necrosis factor ? as a therapeutic target for immune-mediated inflammatory diseases","Taylor P.C., Williams R.O., Feldmann M.",09581669,"Current Opinion in Biotechnology",15, 6,14,7,4,11,1,26
2004,"Collagen-induced arthritis as a model for rheumatoid arthritis.","Williams R.O.",15431894,"Methods in molecular medicine",98, ,3,7,2,9,2,14
2004,"The transfer of a laboratory based hypothesis to a clinically useful therapy: The development of anti-TNF therapy of rheumatoid arthritis","Feldmann M., Brennan F.M., Williams R.O., Woody J.N., Maini R.N.",15216942,"Best Practice and Research: Clinical Rheumatology",18, 1,15,5,6,11,3,29
2004,"Impact of cAMP on the T-cell response to type II collagen","Ozegbe P., Foey A.D., Ahmed S., Williams R.O.",00192805,"Immunology",111, 1,5,2,0,2,0,7
2003,"Impact of VIP and cAMP on the regulation of TNF-alpha and IL-10 production: implications for rheumatoid arthritis.","Foey A.D., Field S., Ahmed S., Jain A., Feldmann M., Brennan F.M., Williams R.",14786362,"Arthritis research & therapy",5, 6,9,9,3,12,4,25
2003,"Down-regulation of Th1-mediated pathology in experimental arthritis by stimulation of the Th2 arm of the immune response","Mauri C., Feldmann M., Williams R.O.",00043591,"Arthritis and Rheumatism",48, 3,7,3,3,6,2,15
2002,"Cutting edge: A-kinase anchor proteins are involved in maintaining resting T cells in an inactive state","Williams R.O.",00221767,"Journal of Immunology",168, 11,9,1,1,2,2,13
2002,"Inflammation is preceded by tumor necrosis factor-dependent infiltration of mesenchymal cells in experimental arthritis","Marinova-Mutafchieva L., Williams R.O., Funa K., Maini R.N., Zvaifler N.J.",00043591,"Arthritis and Rheumatism",46, 2,29,5,7,12,2,43
2002,"Therapeutic effect of vasoactive intestinal peptide in collagen-induced arthritis","Williams R.O.",00043591,"Arthritis and Rheumatism",46, 1,11,4,1,5,0,16
2001,"Immunotherapy for rheumatoid arthritis","Taylor P.C., Williams R.O., Maini R.N.",09527915,"Current Opinion in Immunology",13, 5,40,4,4,8,3,51
2001,"Chronic relapsing homologous collagen-induced arthritis in DBA/1 mice as a model for testing disease-modifying and remission-inducing therapies","Malfait A.-M., Williams R.O., Malik A.S., Maini R.N., Feldmann M.",00043591,"Arthritis and Rheumatism",44, 5,13,3,5,8,1,22
2001,"Antineutrophil cytoplasmic antibodies reacting with the pro form of proteinase 3 and disease activity in patients with Wegener's granulomatosis and microscopic polyangiitis","Gabay C., Marinova-Mutafchieva L., Williams R.O., Gigley J.P., Butler D.M., Feldmann M., Arend W.P.",00043591,"Arthritis and Rheumatism",44, 2,27,3,1,4,0,31
2000,"Evaluation of TNF-? and IL-1 blockade in collagen-induced arthritis and comparison with combined anti-TNF-?/anti-CD4 therapy","Williams R.O., Marinova-Mutafchieva L., Feldmann M., Maini R.N.",00221767,"Journal of Immunology",165, 12,25,12,6,18,4,47
