,This is a citation overview for a set of 328 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 53 (Of the 328 documents considered for the h-Index, 53 have been cited at least 53 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,9503,631,589,1220,356,11079
2009,Attention-deficit hyperactivity disorder: Treatment discontinuation in adolescents and young adults,"McCarthy S., Williams T., Wong I.C.K., Asherson P., Coghill D., Hollis C., Murray M., Potts L., Sayal K., De Soysa R., Taylor E.",71250,British Journal of Psychiatry,194,3,0,0,0,0,1,1
2008,The chemokine receptor CXCR3 is degraded following internalization and is replenished at the cell surface by de novo synthesis of receptor,"Meiser A., Mueller A., Wise E.L., McDonagh E.M., Petit S.J., Saran N., Clark P.C., Williams T.J., Pease J.E.",221767,Journal of Immunology,180,10,0,0,2,2,2,4
2008,CXCL4-induced migration of activated T lymphocytes is mediated by the chemokine receptor CXCR3,"Mueller A., Meiser A., McDonagh E.M., Fox J.M., Petit S.J., Xanthou G., Williams T.J., Pease J.E.",7415400,Journal of Leukocyte Biology,83,4,0,0,3,3,3,6
2007,Small molecule receptor agonists and antagonists of CCR3 provide insight into mechanisms of chemokine receptor activation,"Wise E.L., Duchesnes C., Da Fonseca P.C.A., Allen R.A., Williams T.J., Pease J.E.",219258,Journal of Biological Chemistry,282,38,0,0,5,5,3,8
2007,Chemotactic action of prostaglandin E2 on mouse mast cells acting via the PGE2 receptor 3,"Weller C.L., Williams T.J., Collington S.J., Hartnell A., Conroy D.M., Kaise T., Barker J.E., Wilson M.S., Taylor G.W., Jose P.J.",278424,Proceedings of the National Academy of Sciences of the United States of America,104,28,0,0,6,6,0,6
2006,Discussion,"Ryffel B., Lambrecht B.N., Schoub B., Finn O.J., Sheehan J.K., Williams T.J., Steinman R., Quesniaux V., Lawn S., Mantovani A., McGreal E., Romani L., Brown G., Speert D.P., Van Helden P., Segal A., Latge J.-P.",15282511,Novartis Foundation Symposium,279, ,0,0,0,0,0,0
