,"Author: Winston, Alan",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 10 (Of the 41 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,115,60,89,46,195,0,310
2009,"Raltegravir: a new choice in HIV and new chances for research","Emery S., Winston A.",01406736,"The Lancet",374, 9692,0,0,0,0,0,0,0
2009,"Fosamprenavir/ritonavir in advanced HIV disease (TRIAD): A randomized study of high-dose, dual-boosted or standard dose fosamprenavir/ritonavir in HIV-1-infected patients with antiretroviral resistance","Molina J.-M., Lou Y., Givens N., Craig C., Nichols G.W., Barbosa I., Yeo J., Cooper D., Clumeck N., Trottier S., Smith G., Ait-Khaled M., Logue K., Conway B., Tsoukas C., Partisiani M.-L., Sereni D., Lafeuillade A., Bergmann J.-F., Khuong-Josses M.-A., Bouchaud O., Plettenberg A., Rinaldi R., Gargalianos-Kakolyris P., Chrysos G., Sighinolfi L., Mazzotta F., Filice G., Caramello P., Blanco F., Domingo P., Estrada V., Pulido F., Penco G., Terron J.A., Gorgolas M., Coll B., Portilla J., Johnson M., Huengsberg M., Easterbrook P., Winston A., Baril J.-G., Cauda R., Soriano V., Pialoux G., Wire M.B.",03057453,"Journal of Antimicrobial Chemotherapy",64, 2,0,0,0,1,1,0,1
2009,"Detectable cerebrospinal fluid HIV RNA with associated neurological deficits, despite suppression of HIV replication in the plasma compartment","Garvey L.J., Everitt A., Winston A., MacKie N.E., Benzie A.",02699370,"AIDS",23, 11,0,0,0,0,0,0,0
2009,"Rilpivirine: A novel non-nucleoside reverse transcriptase inhibitor","Garvey L., Winston A.",13543784,"Expert Opinion on Investigational Drugs",18, 7,0,0,0,0,0,0,0
2009,"Pgp3 antibody enzyme-linked immunosorbent assay, a sensitive and specific assay for seroepidemiological analysis of Chlamydia trachomatis infection","Wills G.S., McClure M.O., Horner P.J., Reynolds R., Johnson A.M., Muir D.A., Brown D.W., Winston A., Broadbent A.J., Parker D.",15566811,"Clinical and Vaccine Immunology",16, 6,0,0,0,0,0,0,0
2008,"Clinical application of the inhibitory quotient: Is there a role in HIV protease inhibitor therapy?","Winston A., Khoo S.",1746630X,"Current Opinion in HIV and AIDS",3, 6,0,0,0,0,0,0,0
2008,"Factors influencing efavirenz and nevirapine plasma concentration: Effect of ethnicity, weight and co-medication","Stohr W., Pozniak A., Leen C., Bansi L., Fisher M., Orkin C., Anderson J., Johnson M., Easterbrook P., Gibbons S., Khoo S.H., Back D., Dunn D., Sabin C., Winston A., Gilson R., Pillay D., Hill T., Ainsworth J.",13596535,"Antiviral Therapy",13, 5,0,0,0,4,4,0,4
2008,"An unusual abacavir reaction","Fox J., Newton P., Daly R., Blume A., Marett B., Greene L., Winston A.",02699370,"AIDS",22, 12,0,0,1,1,2,0,2
2008,"Concomitant use of nonnucleoside analogue reverse transcriptase inhibitors and rifampicin in TB/HIV type 1-coinfected patients","Sathia L., Obiorah I., Taylor G., Kon O., O'Donoghue M., Gibbins S., Walsh J., Winston A.",08892229,"AIDS Research and Human Retroviruses",24, 7,0,0,0,0,0,0,0
2007,"Response to ""Persistence of neuropsychologic deficits despite long-term highly active antiretroviral therapy in patients with HIV-related neurocognitive impairment"" [2]","Garvey L., Thomson E.C., Main J., Winston A.",15254135,"Journal of Acquired Immune Deficiency Syndromes",46, 5,0,0,0,0,0,0,0
2007,"Polymorphisms at position 245 of HIV reverse transcriptase do not accurately predict the presence of human leukocyte antigen B*5701 [4]","Waters L.J., Mackie N.E., Pozniak A., Winston A.",10584838,"Clinical Infectious Diseases",45, 9,0,0,0,2,2,0,2
2007,"Pharyngeal gonorrhoea - Is dual therapy the way forward?","Sathia L., Ellis B., Phillip S., Winston A., Smith A.",09564624,"International Journal of STD and AIDS",18, 9,0,0,0,4,4,0,4
2007,"Are disulfiram-like reactions associated with abacavir-containing antiretroviral regimens in clinical practice?","Barber T.J., Marett B., Waldron S., Portsmouth S., MacKie N.E., Weston R., Winston A.",02699370,"AIDS",21, 13,0,0,3,0,3,0,3
2007,"Pharmacokinetics and antiretroviral response to darunavir/ritonavir and etravirine combination in patients with high-level viral resistance","Boffito M., Miralles D., Gazzard B., Winston A., Jackson A., Fletcher C., Pozniak A., Nelson M., Moyle G., Tolowinska I., Hoetelmans R.",02699370,"AIDS",21, 11,0,4,18,12,34,0,34
2007,"The safety, efficacy and pharmacokinetic profile of a switch in antiretroviral therapy to saquinavir, ritonavir, and atazanavir alone for 48 weeks and a switch in the saquinavir formulation","Winston A., Mallon P.W.G., Satchell C., MacRae K., Williams K.M., Schutz M., Law M., Cooper D.A., Emery S.",10584838,"Clinical Infectious Diseases",44, 11,0,1,6,1,8,0,8
2007,"Combining resistance and pharmacology for optimum patient care","Khoo S.H., Winston A., Back D.J.",1746630X,"Current Opinion in HIV and AIDS",2, 3,0,1,1,1,3,0,3
