,"Author: Wise, Richard J S",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 30 (Of the 72 documents considered for the h-Index, 30 have been cited at least 30 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,7266,689,667,1356,543,9165
2009,"An efficient automated z-shim based method to correct through-slice signal loss in EPI at 3T","Marshall H., Hajnal J.V., Warren J.E., Wise R.J., Larkman D.J.",09685243,"Magnetic Resonance Materials in Physics, Biology and Medicine",22, 3,0,0,0,0,0,0
2007,"A common system for the comprehension and production of narrative speech","Awad M., Warren J.E., Scott S.K., Turkheimer F.E., Wise R.J.S.",02706474,"Journal of Neuroscience",27, 43,0,0,4,4,4,8
2007,"Optokinetic therapy improves text reading in patients with hemianopic alexia: A controlled trial","Spitzyna G.A., Wise R.J.S., McDonald S.A., Plant G.T., Kidd D., Crewes H., Leff A.P.",00283878,"Neurology",68, 22,0,1,4,5,7,12
2007,"Erratum: Disrupted temporal lobe connections in semantic dementia (Brain (1999) 122, PART 1, (61-73) DOI: 10.1093/brain/122.1.61)","Mummery C.J., Patterson K., Wise R., Vandenbergh R., Price C.J., Hodges J.",00068950,"Brain",130, 3,0,0,0,0,0,0
2007,"Functional integration across brain regions improves speech perception under adverse listening conditions","Obleser J., Wise R.J.S., Dresner M.A., Scott S.K.",02706474,"Journal of Neuroscience",27, 9,0,3,11,14,8,22
2006,"Positive emotions preferentially engage an auditory-motor ""mirror"" system","Warren J.E., Sauter D.A., Eisner F., Wiland J., Dresner M.A., Wise R.J.S., Rosen S., Scott S.K.",02706474,"Journal of Neuroscience",26, 50,0,1,9,10,10,20
2006,"Patterning strategies for gate level tip-tip distance reduction in SRAM cell for 45nm and beyond","Zhuang H., Halle S., Herold K., Haffner H., Lee H.K., Rovedo N., Chang C., Ng H., Shum D., Wise R., Hierlemann M., Wang H., Ieong M., Yap C.C., Gutmann A., Lian J., Sarma C., Tsou L., Gabor A.H., Schroeder U.P.",,"Semiconductor Technology, ISTC2007 - Proceedings of the 6th International Conference on Semiconductor Technology",, ,0,0,0,0,0,0
2006,"The neural correlates of declining performance with age: Evidence for age-related changes in cognitive control","Sharp D.J., Scott S.K., Mehta M.A., Wise R.J.S.",10473211,"Cerebral Cortex",16, 12,0,0,5,5,4,9
2006,"The role of semantics and grammatical class in the neural representation of words","Vigliocco G., Warren J., Siri S., Arciuli J., Scott S., Wise R.",10473211,"Cerebral Cortex",16, 12,1,2,9,11,3,15
2006,"Converging language streams in the human temporal lobe","Spitsyna G., Warren J.E., Scott S.K., Turkheimer F.E., Wise R.J.S.",02706474,"Journal of Neuroscience",26, 28,1,10,9,19,13,33
2006,"Structural anatomy of pure and hemianopic alexia","Leff A.P., Spitsyna G., Plant G.T., Wise R.J.S.",00223050,"Journal of Neurology, Neurosurgery and Psychiatry",77, 9,0,3,5,8,1,9
2006,"Listening to narrative speech after aphasic stroke: The role of the left anterior temporal lobe","Crinion J.T., Warburton E.A., Lambon-Ralph M.A., Howard D., Wise R.J.S.",10473211,"Cerebral Cortex",16, 8,2,5,3,8,2,12
2006,"Neural correlates of intelligibility in speech investigated with noise vocoded speech - A positron emission tomography study","Scott S.K., Rosen S., Lang H., Wise R.J.S.",00014966,"Journal of the Acoustical Society of America",120, 2,0,6,5,11,9,20
2006,"Patients with hemianopic alexia adopt an inefficient eye movement strategy when reading text","McDonald S.A., Spitsyna G., Shillcock R.C., Wise R.J.S., Leff A.P.",00068950,"Brain",129, 1,1,3,4,7,8,16
2005,"Sounds do-able: Auditory-motor transformations and the posterior temporal plane","Warren J.E., Wise R.J.S., Warren J.D.",01662236,"Trends in Neurosciences",28, 12,9,10,8,18,15,42
