,"Author: Ying, Liming Ming",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 59 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,697,166,192,358,123,1178
2009,"Probing nanosecond motions of plasminogen activator inhibitor-1 by time-resolved fluorescence anisotropy","Ko C.W., Wei Z., Marsh R.J., Armoogum D.A., Nicolaou N., Bain A.J., Zhou A., Ying L.",1742206X,"Molecular BioSystems",5, 9,0,0,0,0,0,0
2009,"Sensitivity analysis of low frequency oscillation eigenvalue to excitation system model and parameter","Liao Q., Liu D., Dang J., Ying L., Cui X., Pan X.",10066047,"Dianli Zidonghua Shebei / Electric Power Automation Equipment",29, 3,0,0,0,0,0,0
2008,"Economic incentive mechanism of renewable energy generation","Ying L., Yin C., Yuan R., Yong H.",,"Proceedings of the 11th International Conference on Electrical Machines and Systems, ICEMS 2008",, ,0,0,0,0,0,0
2008,"Maximum wind capture based on fuzzy PD control strategy","Le L., Ying L., Tian P., Li P.",,"Proceedings of the 11th International Conference on Electrical Machines and Systems, ICEMS 2008",, ,0,0,0,0,0,0
2008,"Eigenvalue sensitivities of excitation system model and parameters","Liao Q., Liu D., Zeng C., Ying L., Cui X.",,"2008 3rd IEEE Conference on Industrial Electronics and Applications, ICIEA 2008",, ,0,0,0,0,0,0
2008,"Characterization and application of controllable local chemical changes produced by reagent delivery from a nanopipet","Piper J.D., Li C., Lo C.-J., Berry R., Korchev Y., Ying L., Klenerman D.",00027863,"Journal of the American Chemical Society",130, 31,0,0,0,0,1,1
2008,"A compact functional quantum dot-DNA conjugate: Preparation, hybridization, and specific label-free DNA detection","Zhou D., Ying L., Hong X., Hall E.A., Abell C., Klenerman D.",07437463,"Langmuir",24, 5,0,0,1,1,10,11
2007,"Parameter identification of excitation systems based on hopfield neural network","Liao Q.F., Liu D.C., Ying L.M., Cui X., Li Y., He W.T.",,"2006 International Conference on Power System Technology, POWERCON2006",, ,0,0,0,0,0,0
2007,"Stator flux observation and speed estimation of a doubly fed induction generator","Ying L.M., Cui X., Liao Q.F., Tang C.H., Le L.C., Chen Z.",,"2006 International Conference on Power System Technology, POWERCON2006",, ,0,0,0,0,0,0
2007,"Multi-level fuzzy comprehensive evaluation of power supply service quality","Cui X., Liu H.J., Ying L.M., Liao Q.F.",,"2006 International Conference on Power System Technology, POWERCON2006",, ,0,0,0,0,0,0
2007,"Control of an asynchronized synchronous generator without position sensors","Ying L., Chen Y., Liao Q., Cui X.",10006753,"Diangong Jishu Xuebao/Transactions of China Electrotechnical Society",22, 11,0,0,0,0,0,0
2007,"Single-molecule conformational analysis of G-quadruplex formation in the promoter DNA duplex of the proto-oncogene C-kit","Shirude P.S., Okumus B., Ying L., Ha T., Balasubramanian S.",00027863,"Journal of the American Chemical Society",129, 24,0,2,13,15,6,21
2007,"Single molecule biology: Coming of age","Ying L.",1742206X,"Molecular BioSystems",3, 6,0,0,0,0,1,1
2007,"Surface conductivity of biological macromolecules measured by nanopipette dielectrophoresis","Clarke R.W., Piper J.D., Ying L., Klenerman D.",00319007,"Physical Review Letters",98, 19,0,1,4,5,2,7
2007,"Distinguishing between cooperative and unimodal downhill protein folding","Huang F., Sato S., Sharpe T.D., Ying L., Fersht A.R.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 1,0,9,19,28,9,37
2006,"A renewable nanosensor based on a glass nanopipette","Piper J.D., Clarke R.W., Korchev Y.E., Ying L., Klenerman D.",00027863,"Journal of the American Chemical Society",128, 51,0,0,3,3,3,6
2006,"A simple nanomixer for single-molecule kinetics measurements","White S.S., Balasubramanian S., Klenerman D., Ying L.",14337851,"Angewandte Chemie - International Edition",45, 45,1,0,4,4,2,7
