,"Authors: Young, D. B.; Young, Douglas Brownlie",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 30 (Of the 130 documents considered for the h-Index, 30 have been cited at least 30 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,4251,478,409,887,294,5432
2009,"Virulence, immunopathology and transmissibility of selected strains of Mycobacterium tuberculosis in a murine model","Marquina-Castillo B., Robertson B., Young D., Small P., Schoolnik G., Sifuentes-Osornio J., Hernandez-Pando R., Garcia-Garcia L., Ponce-De-Leon A., Jimenez-Corona M.-E., Bobadilla-Del Valle M., Cano-Arellano B., Canizales-Quintero S., Martinez-Gamboa A., Kato-Maeda M.",00192805,"Immunology",128, 1,0,0,0,0,0,0
2009,"Identification of small RNAs in Mycobacterium tuberculosis","Arnvig K.B., Young D.B.",0950382X,"Molecular Microbiology",73, 3,0,0,0,0,0,0
2009,"Animal models of tuberculosis.","Young D.",15214141,"European journal of immunology",39, 8,0,0,0,0,0,0
2009,"Genetic determination of the effect of post-translational modification on the innate immune response to the 19 kDa lipoprotein of Mycobacterium tuberculosis","Wilkinson K.A., Wilkinson R.J., Newton S.M., Stewart G.R., Martineau A.R., Patel J., Sullivan S.M., Herrmann J.-L., Neyrolles O., Young D.B.",14712180,"BMC Microbiology",9, ,0,0,0,0,0,0
2009,"Eliminating latent tuberculosis","Young D.B., Gideon H.P., Wilkinson R.J.",0966842X,"Trends in Microbiology",17, 5,0,0,0,0,1,1
2009,"The burden of mycobacterial disease in Ethiopian cattle: Implications for public health","Berg S., Smith N.H., Engers H., Young D., Hewinson R.G., Aseffa A., Gordon S.V., Firdessa R., Habtamu M., Gadisa E., Mengistu A., Yamuah L., Ameni G., Vordermeier M., Robertson B.D.",19326203,"PLoS ONE",4, 4,0,0,0,0,0,0
2008,"Molecular Analysis of Mycobacterium tuberculosis Strains with an Intact pks15/1 Gene in a Rural Community of Mexico","Martinez-Gamboa A., Ponce-de-Leon A., Galindo-Fraga A., Bobadilla-del-Valle M., Kato-Maeda M., Robertson B.D., Young D.B., Small P.M., Sifuentes-Osornio J.",01884409,"Archives of Medical Research",39, 8,0,0,0,0,0,0
2008,"Appraisal of interpretation criteria for the comparative intradermal tuberculin test for diagnosis of tuberculosis in cattle in central Ethiopia","Ameni G., Hewinson G., Aseffa A., Young D., Vordermeier M.",15566811,"Clinical and Vaccine Immunology",15, 8,0,0,0,0,1,1
2008,"The effect of ultraviolet B-induced vitamin D levels on host resistance to Mycobacterium tuberculosis: A pilot study in immigrant Asian adults living in the United Kingdom","Yesudian P.D., Berry J.L., Wiles S., Hoyle S., Young D.B., Haylett A.K., Rhodes L.E., Davies P.",09054383,"Photodermatology Photoimmunology and Photomedicine",24, 2,0,0,0,0,2,2
2008,"Use of short tandem repeat sequences to study Mycobacterium leprae in leprosy patients in Malawi and India","Young S.K., Ponnighaus J.M., Jain S., Lucas S., Suneetha S., Lockwood D.N.J., Young D.B., Fine P.E.M.",,"PLoS Neglected Tropical Diseases",2, 4,0,0,1,1,1,2
2008,"Confronting the scientific obstacles to global control of tuberculosis","Young D.B., Perkins M.D., Duncan K., Barry III C.E.",00219738,"Journal of Clinical Investigation",118, 4,0,0,8,8,19,27
2007,"Effect of skin testing and segregation on the prevalence of bovine tuberculosis, and molecular typing of Mycobacterium bovis, in Ethiopia","Ameni G., Aseffa A., Sirak A., Engers H., Young D.B., Hewinson R.G., Vordermeier M.H., Gordon S.V.",00424900,"Veterinary Record",161, 23,0,0,0,0,3,3
2007,"Systems biology and its impact on anti-infective drug development","Stumpf M.P., Robertson B.D., Duncan K., Young D.B.",0071786X,"Progress in Drug Research",64, ,0,0,0,0,0,0
2007,"A mutant of Mycobacterium tuberculosis lacking the 19-kDa lipoprotein Rv3763 is highly attenuated in vivo but retains potent vaccinogenic properties","Henao-Tamayo M., Junqueira-Kipnis A.P., Ordway D., Gonzales-Juarrero M., Stewart G.R., Young D.B., Wilkinson R.J., Basaraba R.J., Orme I.M.",0264410X,"Vaccine",25, 41,0,0,1,1,1,2
2007,"High prevalence and increased severity of pathology of bovine tuberculosis in holsteins compared to zebu breeds under field cattle husbandry in central Ethiopia","Amerri G., Aseffa A., Engers H., Young D., Gordon S., Hewinson G., Vordermeier M.",15566811,"Clinical and Vaccine Immunology",14, 10,0,0,1,1,3,4
2007,"Unusual features of the cell cycle in mycobacteria: Polar-restricted growth and the snapping-model of cell division","Thanky N.R., Young D.B., Robertson B.D.",14729792,"Tuberculosis",87, 3,0,1,2,3,1,4
2007,"Changes in the Journal: Introduction of Deputy Editor, Dr. Brian Robertson","Brennan P.J., Young D.B.",14729792,"Tuberculosis",87, 2,0,0,0,0,0,0
2006,"Cattle husbandry in Ethiopia is a predominant factor affecting the pathology of bovine tuberculosis and gamma interferon responses to mycobacterial antigens","Ameni G., Aseffa A., Engers H., Young D., Hewinson G., Vordermeier M.",15566811,"Clinical and Vaccine Immunology",13, 9,1,3,2,5,2,8
2006,"Comparative investigation of the pathogenicity of three Mycobacterium tuberculosis mutants defective in the synthesis of p-hydroxybenzoic acid derivatives","Stadthagen G., Nigou J., Brando T., Puzo G., Daffe M., Benjamin P., Coade S., Buxton R.S., Tascon R.E., Rae A., Robertson B.D., Jackson M., Lowrie D.B., Young D.B., Gicquel B., Griffin R., Charles P., Boudou F., Barilone N., Huerre M., Constant P., Liav A., Bottova I.",12864579,"Microbes and Infection",8, 8,0,0,2,2,1,3
