,"Author: Zacharakis, Emmanouil",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 41 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,48,24,43,67,31,146
2009,Economic analysis of esophageal stenting for management of malignant dysphagia,"Rao C., Haycock A., Zacharakis E., Krasopoulos G., Yakoub D., Protopapas A., Darzi A., Hanna G.B., Athanasiou T.",11208694,Diseases of the Esophagus,22,4,0,0,0,0,0,0
2009,Natural orifice translumenal thoracoscopic surgery: Does the slow progress and the associated risks affect feasibility and potential clinical applications?,"Clark J., Sodergren M., Correia-Pinto J., Zacharakis E., Teare J., Yang G.-Z., Darzi A., Athanasiou T.",15533506,Surgical Innovation,16,1,0,0,0,0,1,1
2009,Mirizzi syndrome with a fistula at the confluence of the hepatic ducts,"Tsalis K., Zacharakis E., Kirou L.E., Sapidis N., Vagios L., Kalfadis S., Betsis D.",12341010,Medical Science Monitor,15,3,0,0,0,0,0,0
2009,"The morbidity surrounding reversal of defunctioning ileostomies: A systematic review of 48 studies including 6,107 cases","Chow A., Tilney H.S., Paraskeva P., Jeyarajah S., Zacharakis E., Purkayastha S.",1791958,International Journal of Colorectal Disease,24,6,0,0,0,0,0,0
2009,A case of Meigs syndrome mimicking metastatic breast carcinoma,"Lanitis S., Sivakumar S., Behranwala K., Zacharakis E., Al Mufti R., Hadjiminas D.J.",14777819,World Journal of Surgical Oncology,7, ,0,0,0,0,0,0
2008,Does the presence of circulating tumor cells in the venous drainage of curative colorectal cancer resections determine prognosis? A meta-analysis,"Katsuno H., Zacharakis E., Aziz O., Rao C., Deeba S., Paraskeva P., Ziprin P., Athanasiou T., Darzi A.",10689265,Annals of Surgical Oncology,15,11,0,0,0,0,0,0
2008,Peritoneal cytology in colorectal cancer: incidence and prognostic value,"Rekhraj S., Aziz O., Zacharakis E., Ziprin P.",29610,American Journal of Surgery,196,4,0,0,0,0,0,0
2008,Revisional laparoscopic parastomal hernia repair.,"Zacharakis E., Shalhoub J., Selvapatt N., Darzi A., Ziprin P.",10868089,JSLS : Journal of the Society of Laparoendoscopic Surgeons / Society of Laparoendoscopic Surgeons,12,4,0,0,0,0,0,0
2008,Healing of colonic anastomoses after immediate postoperative intraperitoneal administration of oxaliplatin,"Kanellos D., Koliakos G., Galovatsea K., Lazaridis H., Pramateftakis M.-G., Demetriades H., Zacharakis E., Angelopoulos S., Mantzoros I., Kanellos I., Despoudi K., Zaraboukas T.",1791958,International Journal of Colorectal Disease,23,12,0,0,0,0,0,0
2008,Off-pump coronary artery bypass surgery may reduce the incidence of stroke in patients with significant left main stem disease,"Panesar S.S., Athanasiou T., Chikwe J., Mirza S.B., Rahman M.S., Warren O., Rao C., Negus J., Zacharakis E., Darzi A.",1716425,Thoracic and Cardiovascular Surgeon,56,5,0,0,0,0,1,1
2008,Natural orifices translumenal endoscopic surgery (NOTES)- Who should perform it?,"Zacharakis E., Purkayastha S., Teare J., Yang G.-Z., Darzi A.",396060,Surgery,144,1,0,0,0,0,4,4
2008,Laparoscopic parastomal hernia repair: A description of the technique and initial results,"Zacharakis E., Hettige R., Purkayastha S., Aggarwal R., Athanasiou T., Darzi A., Ziprin P.",15533506,Surgical Innovation,15,2,0,0,0,0,0,0
2008,Surgical intervention for gastrointestinal foreign bodies in adults: A case series,"Syrakos T., Zacharakis E., Antonitsis P., Zacharakis EV., Spanos C., Georgantis G., Kiskinis D.",10117571,Medical Principles and Practice,17,4,0,0,0,0,0,0
2008,Surgical repair of idiopathic scrotal elephantiasis.,"Zacharakis E., Dudderidge T., Zacharakis EV., Ioannidis E.",15418243,Southern medical journal,101,2,0,0,0,0,0,0
