,"This is a citation overview for a set of 31 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 14 (Of the 31 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,626,69,66,23,158,0,784
2009,"Inhibition of SOC/Ca 2+/NFAT pathway is involved in the anti-proliferative effect of sildenafil on pulmonary artery smooth muscle cells","Wang C., Li J.-F., Zhao L., Liu J., Wan J., Wang Y.X., Wang J., Wang C.",14659921,"Respiratory Research",10, ,0,3,5,3,11,0,11
2009,"Simvastatin and sildenafil combine to attenuate pulmonary hypertension","Zhao L., Sebkhi A., Ali O., Wojciak-Stothard B., Mamanova L., Yang Q., Wharton J., Wilkins M.R.",09031936,"European Respiratory Journal",34, 4,0,6,7,1,14,0,14
2009,"Effects of a novel tripeptide, tyroserleutide (YSL), on cell cycle progression of human hepatocellular carcinoma","Wang C., Lin G., Yao Z., Wang S., Lu R., Zhao L., Zhu Z.-F., Xu Q., Lv J.-Q., Wang L.-L., Fu Z.",09594973,"Anti-Cancer Drugs",20, 7,0,0,0,0,0,0,0
2009,"Future treatment of pulmonary arterial hypertension","Wilkins M.R., Zhao L.",03762491,"Zhonghua yi xue za zhi",89, 30,0,0,0,0,0,0,0
2009,"Influence of nonassociativity on the bearing capacity factors of a circular footing","Zhao L., Wang J.-H.",10071172,"Journal of Shanghai Jiaotong University (Science)",14, 4,0,0,0,1,1,0,1
2009,"Modulation of racl activity by ADMA/DDAH regulates pulmonary endothelial barrier function","Wojciak-Stothard B., Torondel B., Zhao L., Renne T., Leiper J.M.",10591524,"Molecular Biology of the Cell",20, 1,3,6,5,1,12,0,15
2009,"Pharmacogenetic effect of an endothelin-1 haplotype on response to bucindolol therapy in chronic heart failure","Taylor M.R.G., Lazzeroni L.C., Slavov D., Humphrey K., Zhao L., Cockroft J., Zhu X., Lavori P., Bristow M.R., Mestroni L.",17446872,"Pharmacogenetics and Genomics",19, 1,3,3,2,2,7,0,10
2008,"Synergy between natriuretic peptides and phosphodiesterase 5 inhibitors ameliorates pulmonary arterial hypertension","Baliga R.S., Zhao L., Madhani M., Lopez-Torondel B., Visintin C., Selwood D., Wilkins M.R., MacAllister R.J., Hobbs A.J.",1073449X,"American Journal of Respiratory and Critical Care Medicine",178, 8,3,3,4,1,8,0,11
2008,"Sildenafil inhibits human pulmonary artery smooth muscle cell proliferation by decreasing capacitative Ca2+ entry","Wang C., Wang J., Zhao L., Wang Y., Liu J., Shi L., Xu M., Wang C.",13478613,"Journal of Pharmacological Sciences",108, 1,1,6,5,0,11,0,12
2008,"Vertical bearing capacity for ring footings","Zhao L., Wang J.H.",0266352X,"Computers and Geotechnics",35, 2,0,2,3,1,6,0,6
2008,"Effects of tyroserleutide on gene expression of calmodulin and PI3K in hepatocellular carcinoma","Zhao L., Zhao Q., Lu R., Fu Z., Zhu Z., Jia J., Wang S., Shi L., Jian X., Yao Z.",07302312,"Journal of Cellular Biochemistry",103, 2,0,0,0,1,1,0,1
2007,"Inhibition of five xenografted human cancers and two murine cancers by the tripeptide tyroservatide","Fu Z., Lu R., Jia J., Zhao L., Ma R., Lv J.-Q., Li X.-L., Chen L.-J., Zhang H.-L., Wang L., Yao Z.",09594973,"Anti-Cancer Drugs",18, 4,0,0,0,0,0,0,0
2006,"Gene-chip analysis of the effect of tripeptide tyroservatide (YSV) on gene-expression in human hepatocarcinoma BEL-7402 tumors transplanted to nude mice","Jia J., Lu R., Zhou C., Zhao L., Fu Z., Zhu Z., Wang L., Zheng M., Yang J., Zhang Y., Yao Z.",08991987,"Molecular Carcinogenesis",45, 3,3,0,1,1,2,0,5
2005,"Tyroserleutide tripeptide affects calcium homeostasis of human hepatocarcinoma BEL-7402 cells","Fu Z., Lu R., Li G., Zhao L., Gao W., Che X., Jian X., Zhou C., Yao Z.",10069305,"Science in China, Series C: Life Sciences",48, 5,3,0,0,1,1,0,4
2005,"Pivotal role for endothelial tetrahydrobiopterin in pulmonary hypertension","Khoo J.P., Zhao L., Alp N.J., Bendall J.K., Nicoli T., Rockett K., Wilkins M.R., Channon K.M.",00097322,"Circulation",111, 16,43,8,11,3,22,0,65
2003,"Beneficial effects of phosphodiesterase 5 inhibition in pulmonary hypertension are influenced by natriuretic peptide activity","Zhao L., Mason N.A., Strange J.W., Walker H., Wilkins M.R.",00097322,"Circulation",107, 2,51,5,1,0,6,0,57
2001,"Sildenafil inhibits hypoxia-induced pulmonary hypertension","Zhao L., Mason N.A., Morrell N.W., Kojonazarov B., Sadykov A., Maripov A., Mirrakhimov M.M., Aldashev A., Wilkins M.R.",00097322,"Circulation",104, 4,257,18,15,2,35,0,292
2001,"Right ventricular hypertrophy secondary to pulmonary hypertension is linked to rat chromosome 17: Evaluation of cardiac ryanodine Ryr2 receptor as a candidate","Zhao L., Sebkhi A., Nunez D.J.R., Long L., Haley C.S., Szpirer J., Szpirer C., Williams A.J., Wilkins M.R.",00097322,"Circulation",103, 3,17,1,1,0,2,0,19
2000,"Sildenafil inhibits hypoxia-induced pulmonary hypertension in mice","Zhao L., Mason N.A., Wilkins M.R.",00406376,"Thorax",55, 3,0,0,0,0,0,0,0
1999,"Genetic determination of cardiac mass in normotensive rats results from an F344 x WKY cross","Sebkhi A., Zhao L., Lu L., Haley C.S., Nunez D.J.R., Wilkins M.R.",0194911X,"Hypertension",33, 4,26,1,1,0,2,0,28
1999,"NPR-A-deficient mice show increased susceptibility to hypoxia-induced pulmonary hypertension","Zhao L., Long L., Morrell N.W., Wilkins M.R.",00097322,"Circulation",99, 5,42,4,2,0,6,0,48
1996,"Angiotensin II receptor expression and inhibition in the chronically hypoxic rat lung","Zhao L., Al-Tubuly R., Sebkhi A., Owji A.A., Nunez D.J.R., Wilkins M.R.",00071188,"British Journal of Pharmacology",119, 6,33,0,1,2,3,0,36
1996,"Adrenomedullin activity in chronically hypoxic rat lungs","Zhao L., Brown L.A., Owji A.A., Nunez D.J.R., Smith D.M., Ghatei M.A., Bloom S.R., Wilkins M.R.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",40, 2,4,1,0,0,1,0,5
1996,"Adrenomedullin activity in chronically hypoxic rat lungs","Zhao L., Brown L.A., Owji A.A., Nunez D.J.R., Smith D.M., Ghatei M.A., Bloom S.R., Wilkins M.R.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",271, 2,27,1,1,0,2,0,29
1996,"The regulation of pulmonary vascular tone","Wilkins M.R., Zhao L., Al-Tubuly R.",03065251,"British Journal of Clinical Pharmacology",42, 1,10,1,0,0,1,0,11
1994,"Reversal of pulmonary vascular remodelling following hypoxic exposure: No effect of infusion of atrial natriuretic factor and neutral endopeptidase inhibitor","Zhao L., Hughes J.M.B., Winter R.J.D.",00086363,"Cardiovascular Research",28, 4,3,0,0,0,0,0,3
1993,"Early changes in the calcitonin gene-related peptide (CGRP) content of pulmonary endocrine cells concomitant with vascular remodeling in the hypoxic rat","Roncalli M., Springall D.R., Maggiioni M., Moradoghlihaftvani A., Winter R.J.D., Zhao L., Coggi G., Polak J.M.",10441549,"AM.J.RESPIR.CELL MOL.BIOL.",9, 5,14,0,0,2,2,0,16
1993,"Endothelium-derived relaxing factor activity in rat lung during hypoxic pulmonary vascular remodeling","Zhao L., Crawley D.E., Hughes J.M.B., Evans T.W., Winter R.J.D.",87507587,"Journal of Applied Physiology",74, 3,22,0,0,1,1,0,23
1992,"CGRP-immunoreactive endocrine cell proliferation in normal and hypoxic rat lung studied by immunocytochemical detection of incorporation of 5'-bromodeoxyuridine","Montuenga L.M., Springall D.R., Gaer J., Winter R.J.D., Zhao L., McBride J.T., Taylor K.M., Barer G., Polak J.M.",0302766X,"Cell and Tissue Research",268, 1,19,0,0,0,0,0,19
1992,"Effects of natriuretic peptides and neutral endopeptidase 24.11 inhibition in isolated perfused rat lung","Zhao L., Hughes J.M.B., Winter R.J.D.",00030805,"American Review of Respiratory Disease",146, 5,18,0,1,0,1,0,19
1991,"Neutral endopeptidase 24.11 inhibition reduces pulmonary vascular remodeling in rats exposed to chronic hypoxia","Winter R.J.D., Zhao L., Krausz T., Hughes J.M.B.",00030805,"American Review of Respiratory Disease",144, 6,24,0,0,0,0,0,24
