,"This is a citation overview for a set of 45 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 10 (Of the 45 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,144,53,55,108,51,303
2009,"Development of a virtual reality training curriculum for laparoscopic cholecystectomy","Aggarwal R., Crochet P., Dias A., Ziprin P., Darzi A.",00071323,"British Journal of Surgery",96, 9,0,0,0,0,0,0
2009,"Response to Letter","Shalhoub J., Naughton P., Ziprin P.",10785884,"European Journal of Vascular and Endovascular Surgery",38, 1,0,0,0,0,0,0
2009,"Diagnostic precision of carcinoembryonic antigen in the detection of recurrence of colorectal cancer","Gouvas N., Nicholls R.J., Ziprin P., Xynos E.",09607404,"Surgical Oncology",18, 1,0,0,0,0,1,1
2008,"Treatment of primary rectal squamous cell carcinoma by primary chemoradiotherapy: Should surgery still be considered a standard of care?","Clark J., Cleator S., Goldin R., Lowdell C., Darzi A., Ziprin P.",09598049,"European Journal of Cancer",44, 16,0,0,0,0,0,0
2008,"Does the presence of circulating tumor cells in the venous drainage of curative colorectal cancer resections determine prognosis? A meta-analysis","Katsuno H., Zacharakis E., Aziz O., Rao C., Deeba S., Paraskeva P., Ziprin P., Athanasiou T., Darzi A.",10689265,"Annals of Surgical Oncology",15, 11,0,0,0,0,0,0
2008,"Peritoneal cytology in colorectal cancer: incidence and prognostic value","Rekhraj S., Aziz O., Zacharakis E., Ziprin P.",00029610,"American Journal of Surgery",196, 4,0,0,0,0,0,0
2008,"Revisional laparoscopic parastomal hernia repair.","Zacharakis E., Shalhoub J., Selvapatt N., Darzi A., Ziprin P.",10868089,"JSLS : Journal of the Society of Laparoendoscopic Surgeons / Society of Laparoendoscopic Surgeons",12, 4,0,0,0,0,0,0
2008,"Transabdominal preperitoneal laparoscopic approach for the treatment of sportsman's hernia","Ziprin P., Prabhudesai S.G., Abrahams S., Chadwick S.J.",10926429,"Journal of Laparoendoscopic and Advanced Surgical Techniques",18, 5,0,0,0,0,0,0
2008,"Laparoscopic parastomal hernia repair: A description of the technique and initial results","Zacharakis E., Hettige R., Purkayastha S., Aggarwal R., Athanasiou T., Darzi A., Ziprin P.",15533506,"Surgical Innovation",15, 2,0,0,0,0,0,0
2008,"Artificial neural networks: Useful aid in diagnosing acute appendicitis","Prabhudesai S.G., Gould S., Rekhraj S., Tekkis P.P., Glazer G., Ziprin P.",03642313,"World Journal of Surgery",32, 2,0,0,1,1,0,1
2008,"Local excisiona and transanal endoscopic microsurgery in the management of rectal cancer with a focus on early carcinoma","Clark J., Ziprin P.",14796694,"Future Oncology",4, 1,0,0,1,1,0,1
2008,"An unusual presentation of Meckel diverticulum as strangulated femoral hernia","Zacharakis E., Papadopoulos V., Athanasiou T., Ziprin P., Zacharakis E.",00384348,"Southern Medical Journal",101, 1,0,0,0,0,0,0
2008,"Can intra-operative intraperitoneal free cancer cell detection techniques identify patients at higher recurrence risk following curative colorectal cancer resection: A meta-analysis","Rekhraj S., Aziz O., Prabhudesai S., Zacharakis E., Mohr F., Athanasiou T., Darzi A., Ziprin P.",10689265,"Annals of Surgical Oncology",15, 1,0,0,1,1,4,5
2007,"Transanal endoscopic microsurgery for rectal tumors: the St. Mary's experience","Zacharakis E., Freilich S., Rekhraj S., Athanasiou T., Paraskeva P., Ziprin P., Darzi A.",00029610,"American Journal of Surgery",194, 5,0,0,3,3,1,4
2007,"Apoptosis and chemo-resistance in colorectal cancer","Prabhudesai S.G., Rekhraj S., Roberts G., Darzi A.W., Ziprin P.",00224790,"Journal of Surgical Oncology",96, 1,0,0,0,0,5,5
2007,"Major abdominal surgery increases plasma levels of vascular endothelial growth factor: Open more so than minimally invasive methods [1]","Prabhudesai S.G., Leong J., Ziprin P.",00034932,"Annals of Surgery",246, 1,0,0,0,0,0,0
