Sourcerecord id 	ISSN	E-ISSN	CSA Source Title (publications from CSA databases only available for entitled users)	CSA databases to which CSA-unique journals belong (see second tab for explanation of abbreviations)	Added since last version	Source Type	Active or Inactive	Coverage	"Open Acces status, i.e., registered in DOAJ (www.doaj.org)"	Title history indication	Related title 1	Related title 2	Related title 3	Related title 4	Publisher's Name 	Country 	Region	Classification Top Level	Classification (Primary) Level 1	Classification 2	Classification 3	Classification 4	Classification 5						
5900153114			20:20	"CSAART, CSADAA"		Journal	Inactive	"1995-1996, 1989-1990 "	Not OA									Social Sciences	Arts and Humanities										
5900152714	13269631 		(inside)	CSADAA		Journal	Active	"2007-ongoing, 2005 "	Not OA						Niche Media Pty Ltd	Australia	Australia/New Zealand	Social Sciences	Arts and Humanities										
14000155249	01482076 	15338606 	19th Century Music	CSABHI		Journal	Active	2007-ongoing	Not OA						University of California Press	United States	North America	Social Sciences	Arts and Humanities										
6500153141	17466512		20th Century History Review	CSABHI		Journal	Active	2006-ongoing 	Not OA	Formerly known as	Modern History Review				Partisan Review	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
5700155666	10749144		21st Century Afro Review	"CSASSA, CSASA"		Journal	Inactive	1994-1997 	Not OA						International Association of Africanist Scholars			Social Sciences	Psychology	Social Sciences									
5900152768	14704382		3D World	CSADAA		Journal	Active	2006-ongoing 	Not OA	Incorporating	CGI - Computer Generated Imaging				Future Publishing Ltd.	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
11600153683	13028324 		A|Z ITU Journal of Faculty of Architecture	CSADAA		Journal	Active	2004-ongoing 	Not OA						Orhan Hacihasanoglu ITU Faculty of Architecture	Turkey	"Middle East, Africa"	Social Sciences	Arts and Humanities										
5700160315	15450317 		AAPI Nexus	"CSASSA, CSAWPS, CSASA"		Journal	Inactive	2003-2005	Not OA						UCLA Asian American Studies Center Press	United States	North America	Social Sciences	Psychology	Social Sciences	Health Professions								
5800209363	01788515		Abhandlungen zur Sprache und Literatur	CSALLB		Journal	Inactive	1992-2001 	Not OA						Romanist Verlag	Germany	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities									
5900152707	00013218		Abitare	CSADAA		Journal	Active	1987-ongoing 	Not OA						Editrice Segesta	Italy	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
14000155811	00013218 		"Abitare, suppl. The Reader"	CSADAA		Journal	Active	2008-ongoing 	Not OA						Editrice Segesta	Italy	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
5900152734	09591591		Access by Design	CSADAA		Journal	Active	1990-ongoing 	Not OA						Centre for Accessible Environments	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
5700161288	14299732		ACME: An International E-Journal for Critical Geographies	"CSAWPS, CSASA"		Journal	Active	2003-2004 	Not OA						Okanagan University College	Canada	North America	Social Sciences	Social Sciences										
5800207671	00651044		Acta Baltico-Slavica	CSALLB		Journal	Active	"2003-2004, 1999-2001, 1996, 1994 "	Not OA						Bialostockie Towarzystwo Naukowe	Poland	Eastern Europe (incl. Russia and CIS)	Social Sciences	Psychology	Arts and Humanities									
5700169412	01888145		Acta Comportamentalia	"CSALLB, CSASA"		Journal	Active	"2004, 1993-2002 "	Not OA						Universidad de Guadalajara	Mexico	Central & South America	Social Sciences	Psychology	Mathematics	Arts and Humanities	Social Sciences							
5700167259	10128093		Acta Criminologica	"CSASSA, CSAWPS, CSASA"		Journal	Active	"2004-2005, 1968-1975 "	Not OA	Continued as	Criminologie				Presses de l'Universite de Montreal	Canada	North America	Social Sciences	Psychology	Social Sciences	Health Professions								
5700168470			"Acta Iadertina: Casopis odjela za filozofiju, odjela za pedagogiju i odjela za sociologiju"	"CSALLB, CSAWPS, CSASA"		Journal	Active	2004	Not OA	Formerly known as	"Radovi - Filozofski Fakultet Zadar - Radzio Filozofije Psihologije, Sociologijei Pedagogije"				Sveuilite u Zadru	Croatia	Eastern Europe (incl. Russia and CIS)	Social Sciences	Psychology	Arts and Humanities	Social Sciences								
5600153982	15207412		Acta Koreana	"CSALLB, CSAWPS, CSASA"		Journal	Active	1998-ongoing 	Not OA						"Keimyung University, Academia Koreana"	"Korea, Republic of"	Asia Pacific (without Russia/CIS and Middle East)	Social Sciences	Psychology	Arts and Humanities	Social Sciences								
5800209323	03740463		Acta Linguistica Hafniensia	CSALLB		Journal	Inactive	"1996-2001, 1992-1994, 1987-1990, 1985-1985, 1982-1983, 1978-1978, 1976-1976, 1973-1974 "	Not OA						Nordisk Sprog- og Kulturforlag	Denmark	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities	Social Sciences	Computer Science							
5800209507	16484444		Acta Linguistica Lithuanica	CSALLB		Journal	Inactive	2000-2002 	Not OA						Lietuviu Kalbos Institutas	Lithuania	Eastern Europe (incl. Russia and CIS)	Social Sciences	Psychology	Arts and Humanities	Computer Science								
5700160326	16797361		Acta Scientiarum: Human and Social Sciences	"CSALLB, CSAWPS, CSASA"		Journal	Active	2003-2004 	Not OA	Formerly part of	Acta Scientiarum - Biological and Health Sciences				Universidade Estadual de Maringa	Brazil	Central & South America	Social Sciences	Psychology	Arts and Humanities	Social Sciences								
5800207850	11017430		"Acta Universitatis Upsaliensis, Studia Uralica Upsaliensia"	CSALLB		Journal	Active	"2005 2003 2001, 1996-1999, 1991-1992 "	Not OA						Acta Universitatis Upsaliensis/University Publications from Uppsala	Sweden	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities									
5800207413	15890317 		Addiktologia	"CSASSA, CSASA"		Journal	Active	2002-ongoing 	Not OA						Uj Mandatum	Hungary	Eastern Europe (incl. Russia and CIS)	Social Sciences	Social Sciences										
5700165078	0567932X	14785145	Adelphi Papers	"CSAWPS, CSASA"		Journal	Active	2000-2005 	Not OA						International Institute for Strategic Studies	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Social Sciences										
5800208547	01487639		ADFL Bulletin	CSALLB		Journal	Active	"2005, 1999-2003 "	Not OA						Association of Departments of Foreign Languages	United States	North America	Social Sciences	Psychology	Arts and Humanities	Social Sciences								
17600155321	10841806		Administrative Theory & Praxis	"CSAWPS, CSASA"		Journal	Active	2007-ongoing 							Public Administration Theory Network	United States	North America	Social Sciences	Social Sciences										
5700168544	03085759	1740469X	Adoption & Fostering	"CSASSA, CSASA"		Journal	Active	"2001-2005, 1997 "	Not OA						British Association for Adoption & Fostering	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Psychology	Social Sciences	Health Professions								
5900152927			Ads International	"CSAART, CSADAA"		Journal	Inactive	1993-1998 	Not OA									Social Sciences	Arts and Humanities										
