Sourcerecord id 	ISSN	Proceedings Titles not in Scopus Source Browse list	Coverage
110421	00012505 	ASHRAE Transactions	"1989-2007, 1969-1987 "
29362	0003018X 	Transactions of the American Nuclear Society	"2001-2006, 1988-1988, 1984-1985, 1980-1982, 1973-1973 "
28954	00078328 	CERN (Report)	"1985-1985, 1983-1983 "
12895	00102199 	"Western States Section, Combustion Institute (Paper)"	"1981-1985, 1977-1978, 1975-1975 "
27571	00150193 	Ferroelectrics	"1992-2007, 1971-1984 "
35976	00188476 	IATUL Proceedings	"2002-2002, 1982-1983, 1980-1980 "
66228	00260665 	Audio Engineering Society Preprint	"1991-1991, 1985-1986, 1978-1983 "
26452	00323934 	Papers presented at the ... meeting. American Chemical Society. Division of Polymer Chemistry	"2008-2008, 1996-2000, 1974-1991, 1969-1970 "
93792	00345180 	"Alberta Research Council, Information Series"	1989-1989 
33874	00652539 	Advances in Electronics and Electron Physics	"1985-1985, 1974-1983, 1969-1969 "
33984	00652814 	"Advances in Instrumentation, Proceedings"	"1992-1992, 1973-1990, 1969-1971 "
12376	00653438 	Advances in the Astronautical Sciences	"1996-2007, 1991-1994, 1987-1987, 1978-1985, 1974-1975, 1971-1971 "
56286	00655961 	"University of Alaska, Mineral Industry Research Laboratory, MIRL Report"	1983-1984 
34879	00657158 	Transactions of the American Association of Cost Engineers	"1991-1992, 1983-1985, 1981-1981, 1978-1978 "
60277	00657727 	ACS National Meeting Book of Abstracts	"2004-2007, 1999-2001 "
24669	00658006 	Transactions of the American Crystallographic Association	"1988-1991, 1984-1984, 1982-1982, 1978-1978, 1976-1976 "
30872	00658375 	Transactions of the American Foundrymen's Society	"1982-1983, 1980-1980, 1977-1977, 1974-1975, 1971-1971, 1968-1969 "
110734	00658812 	AIChE Symposium Series	"2002-2002, 1972-1992 "
110389	00661198 	Proceedings - Annual Meeting of the American Wood-Preservers' Association	"1982-1984, 1978-1980, 1973-1975 "
62774	00661538 	Analytical Calorimetry	1984-1984 
27922	00669814 	Bulletin de l'Association Technique Maritime et Aeronautique	"1983-1983, 1980-1981, 1977-1977, 1973-1974 "
38089	00695807 	"COLLOQ METALL 24TH, LES TRAIT THERMOMECH, ASPECTS THEOR ET APPL"	"1983-1984, 1980-1981 "
18018	00698644 	Conference on Robotics and Remote Systems- Proceedings	"2004-2004, 1996-1996, 1990-1991, 1986-1987, 1979-1984, 1976-1977 "
95456	00710318 	Proceedings of the Annual Engineering Geology and Soils Engineering Symposium	"1982-1983, 1979-1980 "
12267	00731129 	Proceedings of the Hawaii International Conference on System Science	"2004-2004, 1997-2001, 1994-1995, 1992-1992, 1977-1990 "
25831	00737682 	Proceedings of the Industrial Waste Conference	"1997-1997, 1989-1989, 1980-1985 "
40767	00739227 	"Institute of Environmental Sciences - Proceedings, Annual Technical Meeting"	"1995-1998, 1992-1993, 1989-1990, 1978-1986 "
32153	00740551 	"Instrumentation in the Chemical and Petroleum Industries, Proceedings"	"1996-1996, 1990-1992, 1986-1988, 1979-1980, 1977-1977 "
99585	00746843 	Digests of the Intermag Conference	"2002-2003, 1999-2000, 1984-1984 "
85070	00748587 	Digest of Papers - IEEE Microwave and Millimeter-Wave Monolithic Circuits Symposium	"1994-1996, 1989-1991, 1983-1987 "
99471	00749575 	Annual Meeting - International Water Conference	"1992-1992, 1985-1985, 1979-1983 "
76948	00765201 	Materials Science Research	"1983-1984, 1980-1981, 1978-1978, 1974-1975 "
24075	00768642 	"Mikrochimica Acta, Supplementum"	1983-1983 
33523	00774413 	Proceedings of the National Electronics Conference	"1984-1987, 1977-1982, 1974-1975 "
18628	00775401 	Proceedings - Relay Conference	1980-1987 
25651	00781576 	Miscellaneous Series - North Dakota Geological Survey	"1986-1987, 1981-1984, 1979-1979 "
96126	00784893 	Proceedings of the Ontario Industrial Waste Conference	1978-1986 
30711	00793205 	Polska Akademia Nauk--Prace Instytutu Maszyn Prezeplywowych	"1983-1983, 1969-1969 "
88327	00793949 	Proceedings of the Porcelain Enamel Institute Technical Forum	"1983-1984, 1981-1981 "
89263	00794457 	Proceedings of the Power Sources Symposium	"1984-1984, 1982-1982 "
57187	00796719 	Progress in Powder Metallurgy	"1986-1986, 1982-1984 "
