Source Title	Print-ISSN
A.M.A. American Journal of Diseases of Children	968994
A.M.A. archives of dermatology	965359
A.M.A. Archives of Dermatology and Syphilology	965979
A.M.A. archives of industrial health	5673933
A.M.A. Archives of Industrial Hygiene and Occupational Medicine	966703
A.M.A. archives of internal medicine	8882479
A.M.A. archives of neurology	3758540
A.M.A. archives of neurology and psychiatry	966886
A.M.A. archives of ophthalmology	966339
A.M.A. archives of otolaryngology	966894
A.M.A. archives of pathology	966711
A.M.A. archives of surgery	966908
AAC: Augmentative and Alternative Communication	7434618
AACN Advanced Critical Care	15597768
AACN clinical issues	10790713
AACN clinical issues in critical care nursing	10467467
AANA Journal	946354
AANNT journal / the American Association of Nephrology Nurses and Technicians	7441479
AAO Journal	
AAOHN Journal	8910162
AAPPO journal : the journal of the American Association of Preferred Provider Organizations	10545913
AARN news letter	10197
AB bookman's weekly : for the specialist book world	10340
Abdominal Imaging	9428925
Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften	0174870X
Abstracts of Health Care Management Studies	1944908
Abstracts of Hospital Management Studies	13595
Academia Peruana de Cirugia	13854
Academic Emergency Medicine	10696563
Academic Journal of Cancer Research	19958943
Academic Journal of Second Military Medical University	0258879X
Academic Journal of Xi'an Jiaotong University	16718267
Academic Medicine	10402446
Academic Pediatrics	18762859
Academic Psychiatry	10429670
Academic Radiology	10766332
ACC Cardiosource Review Journal	15568571
ACC Current Journal Review	10621458
Accident Analysis and Prevention	14575
Accident and Emergency Nursing	9652302
ACIMED	10249435
ACOG Clinical Review	10856862
ACOG committee opinion	1074861X 
ACORN	14487535
ACP journal club	10568751
ACSM's Health and Fitness Journal	10915397
Acta - Unio Internationalis Contra Cancrum	3653056
Acta Academiae Medicinae Hubei	1000243X
Acta Academiae Medicinae Primae Shanghai	2533650
Acta Academiae Medicinae Sichuan	2534290
Acta Allergologica	15148
Acta allergologica. Supplementum	0065096X 
Acta anaesthesiologica	15156
Acta Anaesthesiologica Belgica	15164
Acta Anaesthesiologica Italica	3744965
Acta Anaesthesiologica Italica / Anaesthesia and Intensive Care in Italy	11248882
Acta Anaesthesiologica Scandinavica	15172
"Acta Anaesthesiologica Scandinavica, Supplement"	5152720
Acta Anaesthesiologica Sinica	5295769
Acta Anaesthesiologica Taiwanica	2541319
Acta Anatomica	15180
Acta Anatomica Sinica	5291356
Acta Angiologica	1234950X
Acta Belgica de Arte Medicinali et Pharmaceutica Militari	4003977
Acta Belgica historiae medicinae : official journal of the Belgian Association for the History of Medicine / Societas Belgica Historiae Medicinae	7760353
Acta Belgica Medica Physica	7715684
Acta Biochimica et Biophysica Academiae Scientiarum Hungaricae	15253
Acta Bioethica	7175906
Acta Biologiae Experimentalis	3650820
Acta Biologica et Medica Germanica	15318
Acta Biomedica de l'Ateneo Parmense	3924203
"Acta brevia Neerlandica de physiologia, pharmacologia, microbiologia e.a"	3650766
Acta Cardiologica	15385
Acta Cardiologica Sinica	10116842
Acta Cardiomiologica	11248874
Acta Chemica Scandinavica	15393
Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry	3024369
Acta Chimica Academiae Scientiarum Hungaricae	15407
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca	15415
Acta Chirurgiae Plasticae	15423
Acta Chirurgiae Plasticae	3230414
Acta Chirurgica Academiae Scientiarum Hungaricae	15431
