,"Author: Emerson, Michael",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 8 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,52,75,36,111,36,199
2009,"The cardiovascular phenotype of a mouse model of acromegaly","Izzard A.S., Emerson M., Prehar S., Neyses L., Trainer P., List E.O., Kopchick J.J., Heagerty A.M.",10966374,"Growth Hormone and IGF Research",, ,0,0,0,0,0,0
2007,"Neuronal nitric oxide synthase signaling in the heart is regulated by the sarcolemmal calcium pump 4b","Oceandy D., Williams J.C., Armesilla A.L., Neyses L., Cartwright E.J., Emerson M., Prehar S., Baudoin F.M., Zi M., Alatwi N., Venetucci L., Schuh K.",00097322,"Circulation",115, 4,0,3,3,6,7,13
2006,"The sarcolemmal calcium pump, ?-1 syntrophin, and neuronal nitric-oxide synthase are parts of a macromolecular protein complex","Williams J.C., Buch M.H., Emerson M., Neyses L., Armesilla A.L., Mohamed T.M.A., Hagarty C.L., McIntyre F.H., Schomburg S., Zaki A.O., Oceandy D., Cartwright E.J.",00219258,"Journal of Biological Chemistry",281, 33,0,12,10,22,6,28
2006,"Absence of ?7 integrin in dystrophin-deficient mice causes a myopathy similar to Duchenne muscular dystrophy","Guo C., Willem M., Werner A., Raivich G., Emerson M., Neyses L., Mayer U.",09646906,"Human Molecular Genetics",15, 6,1,7,6,13,8,22
2005,"The sarcolemmal calcium pump inhibits the calcineurin/nuclear factor of activated T-cell pathway via interaction with the calcineurin A catalytic subunit","Bucht M.H., Redondo J.M., Neyses L., Armesilla A.L., Pickard A., Rodriguez A., Gillies S., Maass A.H., Emerson M., Cartwright E.J., Williams J.C., Oceandy D.",00219258,"Journal of Biological Chemistry",280, 33,6,13,3,16,4,26
2004,"Novel functional interaction between the plasma membrane Ca2+ pump 4b and the proapoptotic tumor suppressor Ras-associated factor 1 (RASSF1)","Armesilla A.L., Clark G.J., Neyses L., Williams J.C., Buch M.H., Pickard A., Emerson M., Cartwright E.J., Oceandy D., Vos M.D., Gillies S.",00219258,"Journal of Biological Chemistry",279, 30,13,16,5,21,4,38
2004,"Plasma membrane Ca2+ ATPase 4 is required for sperm motility and male fertility","Schuh K., Knobeloch K.-P., Neyses L., Cartwright E.J., Jankevics E., Bundschu K., Liebermann J., Williams J.C., Armesilla A.L., Emerson M., Oceandy D.",00219258,"Journal of Biological Chemistry",279, 27,21,19,7,26,4,51
2003,"Transfection efficiency and toxicity following delivery of naked plasmid DNA and cationic lipid-DNA complexes to ovine lung segments","Emerson M., Cheng S.H., Gill D.R., Hyde S.C., Baker A., Alton E.W., Porteous D.J., Collie D.D.S., Renwick L., Tate S., Rhind S., Milne E., Painter H., Boyd A.C., McLachlan G., Griesenbach U.",15250016,"Molecular Therapy",8, 4,11,5,2,7,3,21
