NumberAuthors	Author1	Author2	AuthorLast	AuthorPenUltimate
5	Aggarwal R.	 Crochet P.	 Darzi A.	 Ziprin P.	
4	Chow A.	 Mayer E.K.	 Athanasiou T.	 Darzi A.W.	
5	Ahmed K.	 Ashrafian H.	 Athanasiou T.	 Darzi A.	
7	Sevdalis N.	 Undre S.	 Vincent C.A.	 Darzi A.	
5	Sodergren M.H.	 Orihuela-Espina F.	 Yang G.-Z.	 Darzi A.	
7	Kinross J.	 von Roon A.C.	 Darzi A.	 Nicholson J.K.	
1	Darzi A.	NOAUTHOR	NOAUTHOR	NOAUTHOR	
7	Kinross J.	 Warren O.	 Nicholson J.K.	 Darzi A.	
7	Arora S.	 Aggarwal R.	 Darzi A.	 Kneebone R.	
14	Epstein D.	 Lilford R.	 Krukowski Z.	 Jankowski J.	
7	Jones C.M.	 Ashrafian H.	 Athanasiou T.	 Dimopoulos K.	
8	Van Herzeele I.	 Aggarwal R.	 Vermassen F.	 Cheshire N.	
2	Darzi A.	 Kibasi T.	NOAUTHOR	NOAUTHOR	
5	Karimyan V.	 Sodergren M.	 Darzi A.	 Yang G.-Z.	
4	Panesar S.S.	 Bhandari M.	 Athanasiou T.	 Darzi A.	
3	Sugden C.	 Aggarwal R.	 Darzi A.	NOAUTHOR	
9	Rao C.	 Haycock A.	 Athanasiou T.	 Hanna G.B.	
7	Warren O.J.	 Watret A.L.	 Athanasiou T.	 Darzi A.W.	
6	Lee S.-L.	 Tan E.	 Yang G.-Z.	 Darzi A.	
6	Sevdalis N.	 Lyons M.	 Vincent C.A.	 Darzi A.	
6	Naughton P.	 Lau N.	 Darzi A.W.	 Cheshire N.J.W.	
8	Clark J.	 Sodergren M.	 Athanasiou T.	 Darzi A.	
5	Clark J.	 Sodergren M.	 Yang G.-Z.	 Darzi A.	
6	Sodergren M.H.	 Clark J.	 Darzi A.	 Yang G.-Z.	
5	Antcliffe D.	 Nanidis T.G.	 Papalois V.E.	 Tekkis P.P.	
8	Warren O.J.	 Smith A.J.	 Athanasiou T.	 Darzi A.W.	
11	Nestel D.	 Ahluwalia G.	 Neequaye S.	 Lau J.	
5	Mayer E.K.	 Bottle A.	 Athanasiou T.	 Darzi A.W.	
6	Vecht J.A.	 Athanasiou T.	 von Segesser L.K.	 Darzi A.	
5	Warren O.J.	 Leff D.R.	 Darzi A.	 Kennard C.	
5	Noonan D.P.	 Elson D.S.	 Yang G.-Z.	 Darzi A.	
6	Patel V.	 Aggarwal R.	 Darzi A.	 Davies R.	
9	Ezra D.G.	 Aggarwal R.	 Sullivan P.	 Darzi A.	
5	Mayer E.K.	 Purkayastha S.	 Vale J.A.	 Darzi A.	
6	Vecht J.A.	 Athanasiou T.	 von Segesser L.K.	 Darzi A.	
4	Ashrafian H.	 Salih C.	 Athanasiou T.	 Darzi A.	
4	Jacklin R.	 Sevdalis N.	 Vincent C.A.	 Darzi A.	
2	Aggarwal R.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	Gogalniceanu P.	 Madani H.	 Darzi A.	 Paraskeva P.A.	
9	Kneebone R.	 Bello F.	 Darzi A.	 Wilcockson D.	
5	Murtuza B.	 Pepper J.R.	 Athanasiou T.	 Darzi A.	
5	Leff D.R.	 Orihuela-Espina F.	 Yang G.Z.	 Darzi A.	
4	Tilney H.S.	 Purkayastha S.	 Tekkis P.P.	 Darzi A.W.	
5	Leff D.R.	 Orihuela-Espina F.	 Yang G.-Z.	 Darzi A.	
5	Mei L.	 Figl M.	 Edwards P.	 Rueckert D.	
4	Mylonas G.P.	 Kwok K.-W.	 Yang G.-Z.	 Darzi A.	
4	Mylonas G.P.	 Kwok K.W.	 Yang G.Z.	 Darzi A.	
5	Kinross J.M.	 Roon A.C.	 Nicholson J.K.	 Darzi A.	
5	Mei L.	 Figl M.	 Edwards P.	 Darzi A.	
5	Mei L.	 Figl M.	 Edwards P.	 Darzi A.	
4	Noonan D.P.	 Mylonas G.P.	 Yang G.-Z.	 Darzi A.	
4	Ashrafian H.	 Le Roux C.W.	 Athanasiou T.	 Darzi A.	
4	Floume T.	 Syms R.R.	 Hanna G.B.	 Darzi A.W.	
7	Deeba S.	 Corcoles E.P.	 Darzi A.	 Boutelle M.G.	
8	Faiz O.	 Clark J.	 Aylin P.	 Darzi A.	
6	Clark J.	 Cleator S.	 Ziprin P.	 Darzi A.	
6	Van Herzeele I.	 Aggarwal R.	 Cheshire N.J.	 Vermassen F.	
7	Leff D.R.	 Orihuela-Espina F.	 Yang G.-Z.	 Darzi A.W.	
9	Katsuno H.	 Zacharakis E.	 Darzi A.	 Athanasiou T.	
6	Aziz O.	 Lo B.	 Darzi A.	 Yang G.-Z.	
6	Kroeze S.G.C.	 Mayer E.K.	 Patel A.	 Darzi A.	
10	Koutantji M.	 Darzi A.	 Vincent C.	 Thomas P.	
3	Aggarwal R.	 Darzi A.	 Grantcharov T.P.	NOAUTHOR	
5	Zacharakis E.	 Shalhoub J.	 Ziprin P.	 Darzi A.	
6	Tilney H.S.	 Purkayastha S.	 Tekkis P.P.	 Darzi A.W.	
5	Mei L.	 Figl M.	 Edwards P.	 Darzi A.	
7	Yakoub D.	 Fahmy R.	 Hanna G.B.	 Darzi A.	
7	Leong J.J.H.	 Atallah L.	 Yang G.-Z.	 Darzi A.W.	
7	Deeba S.	 Corcoles E.P.	 Darzi A.	 Boutelle M.G.	
5	Mayer E.K.	 Bottle A.	 Vale J.A.	 Darzi A.W.	
4	Gogalniceanu P.	 Madani H.	 Darzi A.	 Paraskeva P.A.	
9	Aziz O.	 Skapinakis P.	 Athanasiou T.	 Foale R.	
10	Panesar S.S.	 Athanasiou T.	 Darzi A.	 Zacharakis E.	
3	Aggarwal R.	 Cheshire N.	 Darzi A.	NOAUTHOR	
4	Purkayastha S.	 Tilney H.S.	 Tekkis P.P.	 Darzi A.W.	
6	Sevdalis N.	 Davis R.	 Vincent C.A.	 Darzi A.	
5	Sevdalis N.	 Forrest D.	 Vincent C.	 Darzi A.	
4	Lim C.B.B.	 Goldin R.D.	 Hanna G.B.	 Darzi A.	
7	Nestel D.F.	 Black S.A.	 Darzi A.W.	 Wolfe J.H.N.	
2	Aziz O.	 Darzi A.W.	NOAUTHOR	NOAUTHOR	
9	Knowles C.H.	 Veress B.	 Lindberg G.	 Nyberg B.	
8	Leong J.J.H.	 Leff D.R.	 Darzi A.W.	 Emery R.J.	
4	Deeba S.	 Aziz O.	 Darzi A.	 Sains P.S.	
5	Zacharakis E.	 Purkayastha S.	 Darzi A.	 Yang G.-Z.	
5	Tan E.K.	 Vaizey C.	 Tekkis P.P.	 Darzi A.	
6	Jones C.M.	 Chin K.Y.	 Athanasiou T.	 Darzi A.	
7	Zacharakis E.	 Hettige R.	 Ziprin P.	 Darzi A.	
45	Phitayakorn R.	 Billingham R.P.	 Bailey C.	 Ambrosetti P.	
6	Jones C.M.	 Chin K.Y.	 Athanasiou T.	 Darzi A.	
5	Nestel D.	 Bello F.	 Darzi A.	 Akhtar K.	
3	Balasundaram I.	 Aggarwal R.	 Darzi A.	NOAUTHOR	
1	Darzi A.	NOAUTHOR	NOAUTHOR	NOAUTHOR	
4	Jacklin R.	 Sevdalis N.	 Vincent C.	 Darzi A.	
4	Thomas G.P.	 Purkayastha S.	 Darzi A.	 Athanasiou T.	
8	Van Herzeele I.	 Aggarwal R.	 Gaines P.	 Cheshire N.	
9	Rao C.	 Hart J.	 Athanasiou T.	 Wells F.C.	
6	Leff D.R.	 Leong J.J.H.	 Darzi A.	 Yang G.-Z.	
10	Rao C.	 Athanasiou T.	 Darzi A.	 Rahman S.	
5	Leff D.R.	 Leong J.J.	 Darzi A.	 Yang G.Z.	
2	Ashrafian H.	 Darzi A.	NOAUTHOR	NOAUTHOR	
9	Leff D.R.	 Warren O.J.	 Darzi A.	 Yang G.Z.	
4	Kneebone R.	 Nestel D.	 Darzi A.	 Bello F.	
8	Athanasiou T.	 Chow A.	 Wells F.	 Darzi A.	
7	Leff D.R.	 Aggarwal R.	 Darzi A.W.	 Khullar V.	
7	Murtuza B.	 Pepper J.R.	 Athanasiou T.	 Darzi A.	
3	Aggarwal R.	 Balasundaram I.	 Darzi A.	NOAUTHOR	
5	Athanasiou T.	 Kapetanakis E.I.	 Darzi A.	 Salvador L.	
8	Rao C.	 Stanbridge R.D.L.	 Athanasiou T.	 Darzi A.	
8	Warren O.J.	 Alcock E.M.H.	 Cheshire N.J.W.	 Athanasiou T.	
5	Aggarwal R.	 Grantcharov T.	 Darzi A.	 Milland T.	
6	Aggarwal R.	 Leong J.	 Darzi A.	 Yang G.-Z.	
2	Aggarwal R.	 Darzi A.	NOAUTHOR	NOAUTHOR	
9	Aggarwal R.	 Hodgson L.	 Johnston D.	 Darzi A.	
5	Jacklin R.	 Sevdalis N.	 Vincent C.	 Darzi A.	
7	Leff D.R.	 Elwell C.E.	 Yang G.Z.	 Darzi A.W.	
4	Leff D.R.	 Leong J.	 Darzi A.W.	 Yang G.-Z.	
9	Warren O.J.	 Tunnicliffe C.R.	 Athanasiou T.	 Vincent C.A.	
7	Tilney H.S.	 Heriot A.G.	 Tekkis P.P.	 Darzi A.W.	
7	Simillis C.	 Yamamoto T.	 Tekkis P.P.	 Darzi A.W.	
7	Nanidis T.G.	 Antcliffe D.	 Papalois V.E.	 Tekkis P.P.	
8	Rekhraj S.	 Aziz O.	 Ziprin P.	 Darzi A.	
5	Leff D.R.	 Orihuela-Espina F.	 Yang G.Z.	 Darzi A.	
3	Lim C.B.B.	 Darzi A.	 Goldin R.D.	NOAUTHOR	
5	Leff D.R.	 Orihuela-Espina F.	 Yang G.-Z.	 Darzi A.	
5	Tan E.K.	 Cornish J.	 Tekkis P.P.	 Papagrigoriadis S.	
4	King R.C.	 Atallah L.	 Yang G.Z.	 Darzi A.	
5	James A.	 Vieira D.	 Yang G.-Z.	 Darzi A.	
4	Mylonas G.P.	 Stoyanov D.	 Yang G.Z.	 Darzi A.	
4	Mylonas G.P.	 Stoyanov D.	 Yang G.-Z.	 Darzi A.	
3	Darzi A.	 Oborn E.	 Howitt P.	NOAUTHOR	
5	James A.	 Vieira D.	 Yang G.Z.	 Darzi A.	
3	Warren O.J.	 Darzi A.W.	 Athanasiou T.	NOAUTHOR	
6	Aggarwal R.	 Ward J.	 Darzi A.	 Athanasiou T.	
6	Leong J.J.H.	 Nicolaou M.	 Yang G.-Z.	 Darzi A.W.	
5	Leong J.J.H.	 Nicolaou M.	 Yang G.-Z.	 Darzi A.W.	
5	Neequaye S.K.	 Aggarwal R.	 Cheshire N.J.	 Darzi A.	
7	Zacharakis E.	 Freilich S.	 Darzi A.	 Ziprin P.	
1	Darzi A.	NOAUTHOR	NOAUTHOR	NOAUTHOR	
6	Simillis C.	 Purkayastha S.	 Tekkis P.P.	 Darzi A.W.	
3	Warren O.	 Darzi A.	 Athanasiou T.	NOAUTHOR	
2	Zacharakis E.	 Darzi A.	NOAUTHOR	NOAUTHOR	
10	Undre S.	 Vincent C.	 Darzi A.	 McCulloch P.	
4	Khan M.S.	 Bann S.D.	 Butler P.E.M.	 Darzi A.W.	
3	Leff D.	 Aziz O.	 Darzi A.	NOAUTHOR	
6	Purkayastha S.	 Tilney H.S.	 Darzi A.W.	 Tekkis P.P.	
4	Kneebone R.L.	 Nestel D.	 Darzi A.	 Vincent C.	
7	Brenton H.	 Hernandez J.	 Darzi A.	 Firth T.	
9	Cornish J.A.	 Tan E.	 Tekkis P.P.	 Clark S.K.	
5	Undre S.	 Sevdalis N.	 Vincent C.A.	 Darzi A.	
5	Prabhudesai S.G.	 Rekhraj S.	 Ziprin P.	 Darzi A.W.	
9	Warren O.	 Wallace S.	 Athanasiou T.	 Darzi A.	
2	Aggarwal R.	 Darzi A.	NOAUTHOR	NOAUTHOR	
8	Massey R.M.	 Warren O.J.	 Athanasiou T.	 Darzi A.	
7	Aziz O.	 Atallah L.	 Darzi A.	 Yang G.Z.	
8	Mangoush O.	 Purkayastha S.	 Athanasiou T.	 Darzi A.	
3	Aggarwal R.	 Warren O.	 Darzi A.	NOAUTHOR	
6	Munz Y.	 Almoudaris A.M.	 Darzi A.W.	 Liddle A.D.	
8	Aggarwal R.	 Grantcharov T.	 Darzi A.	 Bello F.	
6	Von Roon A.C.	 Reese G.	 Tekkis P.P.	 Darzi A.W.	
4	Kinross J.	 Warren O.	 Darzi A.	 Silk D.	
6	Purkayastha S.	 Tekkis P.P.	 Heriot A.G.	 Darzi A.W.	
5	Kneebone R.	 Bello F.	 Darzi A.	 Yadollahi F.	
5	Rekhraj S.	 Kinross J.	 Ziprin P.	 Darzi A.	
5	Rekhraj S.	 Kinross J.	 Ziprin P.	 Darzi A.	
6	Kokkinos C.	 Antcliffe D.	 Papalois V.	 Tekkis P.	
6	Neequaye S.K.	 Aggarwal R.	 Cheshire N.J.W.	 Darzi A.	
8	Lovegrove R.E.	 Heriot A.G.	 Tekkis P.P.	 Nicholls R.J.	
6	Tan E.	 Tekkis P.P.	 Khullar V.	 Darzi A.W.	
9	Kokkinos C.	 Athanasiou T.	 Darzi A.	 Tekkis P.P.	
8	Bailey C.	 Negus R.	 Darzi A.	 Peck D.	
8	Von Roon A.C.	 Karamountzos L.	 Tekkis P.P.	 Paraskeva P.	
4	Alkhamesi N.A.	 Peck D.H.	 Darzi A.W.	 Lomax D.	
8	Warren O.	 Alexiou C.	 Athanasiou T.	 Darzi A.	
3	Purkayastha S.	 Alkhamesi N.A.	 Darzi A.W.	NOAUTHOR	
3	Aggarwal R.	 Grantcharov T.P.	 Darzi A.	NOAUTHOR	
7	Aziz O.	 Rao C.	 Athanasiou T.	 Darzi A.	
7	Rao C.	 Aziz O.	 Athanasiou T.	 Darzi A.	
4	Mayer E.K.	 Purkayastha S.	 Darzi A.W.	 Athanasiou T.	
2	Undre S.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	Datta V.	 Bann S.	 Darzi A.	 Hernandez J.	
3	Neale G.	 Vincent C.	 Darzi A.S.	NOAUTHOR	
7	Nestel D.	 Sains P.	 Darzi A.W.	 Kneebone R.L.	
4	Aggarwal R.	 Dosis A.	 Darzi A.	 Bello F.	
6	Purkayastha S.	 Athanasiou T.	 Darzi A.W.	 Teare J.	
8	Warren O.	 Mandal K.	 Athanasiou T.	 Darzi A.	
8	Tilney H.S.	 Lovegrove R.E.	 Heriot A.G.	 Tekkis P.P.	
7	Simillis C.	 Constantinides V.A.	 Antoniou A.	 Jiao L.	
3	Purkayastha S.	 Paraskevas P.	 Darzi A.	NOAUTHOR	
3	Tan E.K.	 Darzi A.W.	 Tekkis P.P.	NOAUTHOR	
6	Kokkinos C.	 Nanidis T.	 Papalois V.	 Tekkis P.	
7	Constantinides V.A.	 Heriot A.	 Tekkis P.P.	 Fazio V.W.	
10	Jones C.M.	 Darzi A.	 Purkayastha S.	 Constantinides V.	
7	Martin S.	 Purkayastha S.	 Darzi A.	 Kneebone R.	
6	Aggarwal R.	 Boza C.	 Darzi A.	 Lacy A.	
2	Aggarwal R.	 Darzi A.	NOAUTHOR	NOAUTHOR	
7	Panesar S.S.	 Athanasiou T.	 Darzi A.	 Nicolaou M.	
8	Mayer E.K.	 Winkler M.H.	 Vale J.A.	 Darzi A.W.	
7	Aggarwal R.	 Tully A.	 Darzi A.	 Farthing A.	
2	Sains P.S.	 Darzi A.	NOAUTHOR	NOAUTHOR	
10	Constantinides V.A.	 Athanasiou T.	 Darzi A.	 Stanbridge R.	
4	Warren O.	 Kinross J.	 Darzi A.	 Paraskeva P.	
6	Leong J.J.	 Nicolaou M.	 Yang G.Z.	 Darzi A.W.	
3	Kinross J.	 Warren O.	 Darzi A.	NOAUTHOR	
5	Aziz O.	 Lo B.	 Yang G.-Z.	 Darzi A.	
10	Kneebone R.	 Darzi A.	 Archer J.	 Moulton C.	
7	Sains P.S.	 Tilney H.S.	 Heriot A.G.	 Tekkis P.P.	
6	Tilney H.S.	 Constantinides V.	 Haddad M.J.	 Darzi A.W.	
6	Tekkis P.P.	 Smith J.J.	 Stamatakis J.D.	 Thompson M.R.	
4	Heriot A.G.	 Tekkis P.P.	 Mackay J.	 Darzi A.	
6	Leong J.J.H.	 Nicolaou M.	 Yang G.-Z.	 Darzi A.W.	
8	Heald R.J.	 O'Neill B.D.P.	 Tait D.M.	 Cunningham D.	
9	Leff D.	 Koh P.H.	 Yang G.-Z.	 Darzi A.	
6	Nicolaou M.	 Atallah L.	 Yang G.-Z.	 Darzi A.	
10	Kneebone R.	 Darzi A.	 Vincent C.	 Wolfe J.	
7	Reese G.E.	 Constantinides V.A.	 Tekkis P.P.	 Fazio V.W.	
4	Undre S.	 Healey A.N.	 Vincent C.A.	 Darzi A.	
5	Kneebone R.L.	 Nestel D.	 Darzi A.	 Barnet A.E.	
7	Kneebone R.	 Nestel D.	 Darzi A.	 Burgess A.	
5	Saleh G.M.	 Voyazis Y.	 Darzi A.	 Ratnasothy J.	
3	Mylonas G.P.	 Darzi A.	 Zhong Yang G.	NOAUTHOR	
4	Datta V.	 Bann S.	 Darzi A.	 Mandalia M.	
8	Purkayastha S.	 Chow A.	 Darzi A.	 Tekkis P.	
8	Jones C.M.	 Athanasiou T.	 Darzi A.	 Purkayastha S.	
3	Wang Y.	 Butner S.E.	 Darzi A.R.A.	NOAUTHOR	
8	Smith J.J.	 Tilney H.S.	 Tekkis P.P.	 Stamatakis J.D.	
6	Datta V.	 Bann S.	 Darzi A.	 Hance J.	
7	Aggarwal R.	 Grantcharov T.P.	 Darzi A.	 Funch-Jensen P.	
2	Purkayastha S.	 Darzi A.	NOAUTHOR	NOAUTHOR	
8	Tilney H.S.	 Constantinides V.A.	 Tekkis P.P.	 Darzi A.W.	
10	Constantinides V.A.	 Senapati A.	 Darzi A.	 Aydin N.	
5	Moorthy K.	 Munz Y.	 Darzi A.	 Pandey V.	
9	Lovegrove R.E.	 Constantinides V.A.	 Tekkis P.P.	 Fazio V.W.	
7	Moorthy K.	 Munz Y.	 Darzi A.	 Vincent C.	
9	Black S.A.	 Nestel D.F.	 Darzi A.W.	 Kneebone R.L.	
6	Tilney H.S.	 Lovegrove R.E.	 Tekkis P.P.	 Darzi A.W.	
5	Aggarwal R.	 Black S.A.	 Cheshire N.J.W.	 Darzi A.	
7	Aggarwal R.	 Hance J.	 Darzi A.	 Chang A.	
1	Darzi A.	NOAUTHOR	NOAUTHOR	NOAUTHOR	
6	Jacklin R.K.	 Ridgway P.F.	 Darzi A.	 Hadjiminas D.	
4	Nicolaou M.	 Yang G.Z.	 Butler P.E.	 Darzi A.	
4	Wang D.A.	 Faraci A.	 Darzi A.	 Bello F.	
6	Gupta N.	 Bello F.	 Darzi A.	 Hoult S.	
2	Aggarwal R.	 Darzi A.	NOAUTHOR	NOAUTHOR	
8	Purkayastha S.	 Constantinides V.A.	 Heriot A.G.	 Darzi A.W.	
5	Undre S.	 Sevdalis N.	 Vincent C.A.	 Darzi A.	
6	Paraskeva P.A.	 Ridgway P.F.	 Darzi A.W.	 Peck D.H.	
8	Aziz O.	 Athanasiou T.	 Tekkis P.P.	 Phillips R.K.S.	
5	Sarker S.K.	 Hutchinson R.	 Darzi A.W.	 Vincent C.	
7	Purkayastha S.	 Bhangoo P.	 Henry J.A.	 Darzi A.W.	
