NumberAuthors	Author1	Author2	AuthorLast	AuthorPenUltimate
5	Aggarwal R.	 Crochet P.	 Darzi A.	 Ziprin P.	
4	Chow A.	 Mayer E.K.	 Athanasiou T.	 Darzi A.W.	
5	Ahmed K.	 Ashrafian H.	 Athanasiou T.	 Darzi A.	
7	Sevdalis N.	 Undre S.	 Vincent C.A.	 Darzi A.	
5	Sodergren M.H.	 Orihuela-Espina F.	 Yang G.-Z.	 Darzi A.	
7	Kinross J.	 von Roon A.C.	 Darzi A.	 Nicholson J.K.	
1	Darzi A.	NOAUTHOR	NOAUTHOR	NOAUTHOR	
7	Kinross J.	 Warren O.	 Nicholson J.K.	 Darzi A.	
7	Arora S.	 Aggarwal R.	 Darzi A.	 Kneebone R.	
14	Epstein D.	 Lilford R.	 Krukowski Z.	 Jankowski J.	
7	Jones C.M.	 Ashrafian H.	 Athanasiou T.	 Dimopoulos K.	
8	Van Herzeele I.	 Aggarwal R.	 Vermassen F.	 Cheshire N.	
2	Darzi A.	 Kibasi T.	NOAUTHOR	NOAUTHOR	
5	Karimyan V.	 Sodergren M.	 Darzi A.	 Yang G.-Z.	
