File	Author	ListedPapers	Papers	Warnings	Errors	General	Life Sciences	Social Sciences	Physical Sciences	Health Sciences	Unknown	Uniformity
0	Professor Abel, P.D.	100	99	0	0	 0.000	0.1347	0.03535	0.008418	0.7811	0.04040	0.6313
1	Professor Aboagye, E.O.	87	86	0	0	0.01163	0.4663	 0.000	0.04167	0.4572	0.02326	0.4288
2	Dr Abraham, S.M.	8	7	0	0	 0.000	0.4286	 0.000	 0.000	0.5714	 0.000	0.5102
3	Adcock, I.M.	250	249	0	0	0.004016	0.3629	 0.000	0.001606	0.2902	0.3414	0.3324
4	Agarwal, R.	19	18	0	0	 0.000	0.2870	 0.000	 0.000	0.7130	 0.000	0.5907
5	Aggarwal, R.	127	126	0	0	 0.000	0.04233	0.007937	0.01587	0.6561	0.2778	0.5097
6	Dr Agranoff, D.D.	22	21	0	0	 0.000	0.2937	 0.000	 0.000	0.6111	0.09524	0.4688
7	Alberti, K.G.M.M.A.	733	732	0	0	 0.000	0.1148	0.002049	0.003142	0.4648	0.4153	0.4017
8	Professor Ali, S.	40	39	0	0	0.05128	0.6912	 0.000	 0.000	0.2575	 0.000	0.5467
9	Allday, M.J.	55	54	0	0	0.01852	0.8009	 0.000	 0.000	0.1806	 0.000	0.6744
10	Allen Mersh, T.G.	128	127	0	0	 0.000	0.03937	 0.000	0.003937	0.5709	0.3858	0.4763
11	Professor Altmann, D.M.	94	93	0	0	0.05376	0.4480	0.01613	 0.000	0.4606	0.02151	0.4165
12	Professor Alton, E.W.F.W.	229	228	0	0	 0.000	0.3619	 0.000	0.01930	0.1890	0.4298	0.3518
13	Professor Anand, P.	159	158	0	0	0.01899	0.3318	 0.000	0.01424	0.6097	0.02532	0.4830
14	Dr Anstee, Q.M.	10	9	0	0	 0.000	0.1296	 0.000	 0.000	0.8704	 0.000	0.7743
15	Professor Apperley, J.F.	299	298	0	0	0.003356	0.2932	 0.000	 0.000	0.7034	 0.000	0.5808
16	Ariff, B.B.	29	28	2	0	 0.000	0.1464	 0.000	0.1786	0.6393	0.03571	0.4633
17	Ashby, D.R.	8	7	0	0	 0.000	0.1429	 0.000	 0.000	0.8571	 0.000	0.7551
18	Ashby, D.	79	78	0	0	 0.000	0.05342	0.01282	0.06731	0.6229	0.2436	0.4548
19	Ashcroft, F.M.	257	256	0	0	0.03516	0.5667	0.001953	 0.000	0.2243	0.1719	0.4022
20	Ashton Rickardt, P.G.	45	44	0	0	0.1136	0.6212	 0.000	 0.000	0.2652	 0.000	0.4691
21	Asquith, R.E.	40	39	0	0	0.07692	0.4238	 0.000	0.03810	0.1791	0.2821	0.2986
22	Mr Athanasiou, T.	185	184	0	0	 0.000	0.009420	 0.000	0.008333	0.9170	0.06522	0.8454
23	Aylin, P.	72	71	0	0	 0.000	 0.000	0.02817	0.01408	0.7042	0.2535	0.5612
24	Dr Azuara, V.	17	16	0	0	 0.000	0.7500	 0.000	 0.000	0.2500	 0.000	0.6250
25	Dr Azzopardi, D.V.	63	62	0	0	 0.000	0.05108	 0.000	0.05914	0.8575	0.03226	0.7425
26	Dr Bain, P.G.	110	109	1	0	 0.000	0.2905	0.1070	0.02752	0.5749	 0.000	0.4272
