Author	Full Name	ID	Time Period	h index	Number of publications 	Number of citations 	Degree 	Betweenness 	Closeness 	Eigenvector 	Clustering Coefficient	Strength	Constraint	Effective Size	Efficiency	Academic Tenure 0 = lecturer, 1 = senior lecturer, 2 = reader, 3 = professor	Clinical Activity(1=clinician, 0=non clinician)	Department 1 = Clinical Sciences, 2 = Kennedy Institue of Rheumatology, 3 = Medicine, 4 = NHLI, 5 = School of Public Health, 6 = Surgery and Cancer	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max	 Team.Mean	  Team.Min	   Team.Q1	   Team.Q2	   Team.Q3	  Team.Max	  All.1st	 All.Last	  All.2nd	 All.PenU	All.Other	All.Total	     All.1st%	     All.Last%	     All.2nd%	     All.PenU%	     All.Other%	     All.Total%	Solo.Total	     Solo.Total%	  Team.1st	 Team.Last	  Team.2nd	 Team.PenU	Team.Other	Team.Total	     Team.1st%	     Team.Last%	     Team.2nd%	     Team.PenU%	     Team.Other%	     Team.Total%	  NAlphaTeam.1st	 NAlphaTeam.Last	  NAlphaTeam.2nd	 NAlphaTeam.PenU	NAlphaTeam.Other	NAlphaTeam.Total	     NAlphaTeam.1st%	     NAlphaTeam.Last%	     NAlphaTeam.2nd%	     NAlphaTeam.PenU%	     NAlphaTeam.Other%	     NAlphaTeam.Total%	  AlphaTeam.1st	 AlphaTeam.Last	  AlphaTeam.2nd	 AlphaTeam.PenU	AlphaTeam.Other	AlphaTeam.Total	     AlphaTeam.1st%	     AlphaTeam.Last%	     AlphaTeam.2nd%	     AlphaTeam.PenU%	     AlphaTeam.Other%	     AlphaTeam.Total%
Professor Abel, P.D.		         4.55	            1	            3	            4	            6	           11	      4.71	         2	         3	         4	         6	        11	       15	        0	       15	       19	       20	       69	         0.22	          0.00	         0.22	          0.28	           0.29	           1.00	         3	                 0.04	        12	         0	        15	        19	        20	        66	          0.17	           0.00	          0.22	           0.28	            0.29	            0.96	               5	               0	              15	              19	              20	              59	                0.07	                 0.00	                0.22	                 0.28	                  0.29	                  0.86	              7	              0	              0	              0	              0	              7	               0.10	                0.00	               0.00	                0.00	                 0.00	                 0.10
Professor Abel, P.D.	Abel, Professor Paul David	313.0	1.0	9.0	12.0	206.0	0.0106287063031893	0.00976523564192867	0.00860013140629942	0.00261259497823493	0.243842364532019	84.0	0.167996996272971	24.2268398268398	0.835408269891028	3.0	1.0	6.0	         5.70	            2	            5	            6	            7	            9	      5.70	         2	         5	         6	         7	         9	        0	        0	        7	        1	        2	       10	         0.00	          0.00	         0.70	          0.10	           0.20	           1.00	         0	                 0.00	         0	         0	         7	         1	         2	        10	          0.00	           0.00	          0.70	           0.10	            0.20	            1.00	               0	               0	               7	               1	               2	              10	                0.00	                 0.00	                0.70	                 0.10	                  0.20	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Abel, P.D.	Abel, Professor Paul David	313.0	2.0	12.0	22.0	333.0	0.00282580778855422	0.00281840391958513	0.00524486951306378	5.27003196488759E-8	0.379084967320261	41.0	0.233060922565545	13.3666666666666	0.742592592592592	3.0	1.0	6.0	         7.46	            3	            5	            6	            7	           28	      7.46	         3	         5	         6	         7	        28	        0	        0	        1	        4	        8	       13	         0.00	          0.00	         0.08	          0.31	           0.62	           1.00	         0	                 0.00	         0	         0	         1	         4	         8	        13	          0.00	           0.00	          0.08	           0.31	            0.62	            1.00	               0	               0	               1	               4	               8	              13	                0.00	                 0.00	                0.08	                 0.31	                  0.62	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Abel, P.D.	Abel, Professor Paul David	313.0	3.0	12.0	28.0	347.0	0.00239327263658029	0.0199994153602652	0.0038386192822662	1.19072341813197E-7	0.444444444444444	20.0	0.154381291370487	11.8583333333333	0.624122807017543	3.0	1.0	6.0	         5.29	            2	            2	            5	            8	           12	      5.29	         2	         2	         5	         8	        12	        0	        0	        2	        2	        3	        7	         0.00	          0.00	         0.29	          0.29	           0.43	           1.00	         0	                 0.00	         0	         0	         2	         2	         3	         7	          0.00	           0.00	          0.29	           0.29	            0.43	            1.00	               0	               0	               2	               2	               3	               7	                0.00	                 0.00	                0.29	                 0.29	                  0.43	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Aboagye, E.O.		         5.24	            2	            4	            5	            6	            9	      5.24	         2	         4	         5	         6	         9	       13	        0	        1	        0	        3	       17	         0.76	          0.00	         0.06	          0.00	           0.18	           1.00	         0	                 0.00	        13	         0	         1	         0	         3	        17	          0.76	           0.00	          0.06	           0.00	            0.18	            1.00	               9	               0	               1	               0	               3	              13	                0.53	                 0.00	                0.06	                 0.00	                  0.18	                  0.76	              4	              0	              0	              0	              0	              4	               0.24	                0.00	               0.00	                0.00	                 0.00	                 0.24
Professor Aboagye, E.O.	Aboagye, Professor Eric Ofori	314.0	1.0	16.0	26.0	765.0	0.0278545406566341	0.0894153020794619	0.00952314091547864	0.0162863290904413	0.149824561403508	133.0	0.0682731548767784	69.4434268543698	0.913729300715392	3.0	0.0	6.0	         6.53	            1	            3	            6	            9	           12	      6.83	         3	         5	         7	         9	        12	        5	        0	        3	        3	        8	       19	         0.26	          0.00	         0.16	          0.16	           0.42	           1.00	         1	                 0.05	         4	         0	         3	         3	         8	        18	          0.21	           0.00	          0.16	           0.16	            0.42	            0.95	               4	               0	               3	               3	               8	              18	                0.21	                 0.00	                0.16	                 0.16	                  0.42	                  0.95	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Aboagye, E.O.	Aboagye, Professor Eric Ofori	314.0	2.0	22.0	47.0	1244.0	0.00957634861676708	0.0729772889352278	0.00627981742751357	0.00117642605819202	0.168306010928961	112.0	0.0715562209817004	54.6727413211788	0.896274447888177	3.0	0.0	6.0	         8.79	            1	            6	            8	           12	           20	      9.13	         2	         6	         8	        12	        20	        2	        0	        5	        7	       10	       24	         0.08	          0.00	         0.21	          0.29	           0.42	           1.00	         1	                 0.04	         1	         0	         5	         7	        10	        23	          0.04	           0.00	          0.21	           0.29	            0.42	            0.96	               0	               0	               5	               7	              10	              22	                0.00	                 0.00	                0.21	                 0.29	                  0.42	                  0.92	              1	              0	              0	              0	              0	              1	               0.04	                0.00	               0.00	                0.00	                 0.00	                 0.04
Professor Aboagye, E.O.	Aboagye, Professor Eric Ofori	314.0	3.0	23.0	66.0	1424.0	0.0119663631829014	0.121010637853501	0.00480390135562768	1.01874652702208E-5	0.124524076147816	145.0	0.0411940810928069	87.4697961200394	0.920734696000415	3.0	0.0	6.0	         8.73	            1	            6	            9	           11	           15	      9.29	         4	         7	        10	        11	        15	        1	        0	        1	        7	        6	       15	         0.07	          0.00	         0.07	          0.47	           0.40	           1.00	         1	                 0.07	         0	         0	         1	         7	         6	        14	          0.00	           0.00	          0.07	           0.47	            0.40	            0.93	               0	               0	               1	               7	               6	              14	                0.00	                 0.00	                0.07	                 0.47	                  0.40	                  0.93	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Abraham, S.M.		             	             	             	             	             	             	          	          	          	          	          	          	        0	        0	        0	        0	        0	        0	             	              	             	              	               	               	         0	                     	         0	         0	         0	         0	         0	         0	              	               	              	               	                	                	               0	               0	               0	               0	               0	               0	                    	                     	                    	                     	                      	                      	              0	              0	              0	              0	              0	              0	                   	                    	                   	                    	                     	                     
Dr Abraham, S.M.	Abraham, Dr Sonya Marie	112.0	1.0	1.0	1.0	175.0	0.00329856402512772	0.00116042572657575	0.00806575391058192	0.00314007625952867	0.444444444444444	13.0	0.205153307212093	6.6051282051282	0.733903133903134	1.0	1.0	2.0	         5.00	            5	            5	            5	            5	            5	      5.00	         5	         5	         5	         5	         5	        0	        0	        1	        0	        0	        1	         0.00	          0.00	         1.00	          0.00	           0.00	           1.00	         0	                 0.00	         0	         0	         1	         0	         0	         1	          0.00	           0.00	          1.00	           0.00	            0.00	            1.00	               0	               0	               1	               0	               0	               1	                0.00	                 0.00	                1.00	                 0.00	                  0.00	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Abraham, S.M.	Abraham, Dr Sonya Marie	112.0	2.0	3.0	6.0	313.0	0.00109892525110442	0.0	0.0044623371562546	3.80335700843007E-10	1.0	14.0	0.401751130498728	2.22789115646258	0.31827016520894	1.0	1.0	2.0	         3.00	            2	            2	            3	            4	            4	      3.00	         2	         2	         3	         4	         4	        2	        0	        0	        0	        1	        3	         0.67	          0.00	         0.00	          0.00	           0.33	           1.00	         0	                 0.00	         2	         0	         0	         0	         1	         3	          0.67	           0.00	          0.00	           0.00	            0.33	            1.00	               0	               0	               0	               0	               1	               1	                0.00	                 0.00	                0.00	                 0.00	                  0.33	                  0.33	              2	              0	              0	              0	              0	              2	               0.67	                0.00	               0.00	                0.00	                 0.00	                 0.67
Dr Abraham, S.M.	Abraham, Dr Sonya Marie	112.0	3.0	3.0	9.0	314.0	7.55770306288512E-4	0.0100013449418015	0.0033576574576489	4.29647646371095E-10	0.266666666666666	6.0	0.350235821759259	4.77777777777777	0.796296296296296	1.0	1.0	2.0	         4.33	            2	            2	            3	            8	            8	      4.33	         2	         2	         3	         8	         8	        2	        0	        1	        0	        0	        3	         0.67	          0.00	         0.33	          0.00	           0.00	           1.00	         0	                 0.00	         2	         0	         1	         0	         0	         3	          0.67	           0.00	          0.33	           0.00	            0.00	            1.00	               2	               0	               1	               0	               0	               3	                0.67	                 0.00	                0.33	                 0.00	                  0.00	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Adcock, I.M.		         4.77	            1	            3	            5	            6	           11	      4.88	         2	         3	         5	         6	        11	       25	        0	       18	        4	       27	       74	         0.34	          0.00	         0.24	          0.05	           0.36	           1.00	         2	                 0.03	        23	         0	        18	         4	        27	        72	          0.31	           0.00	          0.24	           0.05	            0.36	            0.97	              19	               0	              18	               4	              27	              68	                0.26	                 0.00	                0.24	                 0.05	                  0.36	                  0.92	              4	              0	              0	              0	              0	              4	               0.05	                0.00	               0.00	                0.00	                 0.00	                 0.05
Professor Adcock, I.M.	Adcock, Professor Ian Michael	315.0	1.0	31.0	51.0	3056.0	0.059374152452299	0.179163724703519	0.0102264024340091	0.0397670982938659	0.108120542903151	332.0	0.0345935283372806	151.997451820267	0.938255875433752	3.0	0.0	4.0	         5.59	            1	            2	            6	            8	           14	      6.32	         2	         3	         7	         9	        14	       10	        0	        8	       10	       16	       44	         0.23	          0.00	         0.18	          0.23	           0.36	           1.00	         6	                 0.14	         4	         0	         8	        10	        16	        38	          0.09	           0.00	          0.18	           0.23	            0.36	            0.86	               0	               0	               8	              10	              16	              34	                0.00	                 0.00	                0.18	                 0.23	                  0.36	                  0.77	              4	              0	              0	              0	              0	              4	               0.09	                0.00	               0.00	                0.00	                 0.00	                 0.09
Professor Adcock, I.M.	Adcock, Professor Ian Michael	315.0	2.0	42.0	121.0	5673.0	0.0171118360529116	0.113761989934493	0.00600371466631938	3.12469900434048E-6	0.0929323819232076	244.0	0.0883496748629511	103.472057666832	0.949284932723232	3.0	0.0	4.0	         6.41	            1	            3	            5	            9	           30	      6.58	         2	         3	         6	         9	        30	       10	        0	       11	       20	       23	       64	         0.16	          0.00	         0.17	          0.31	           0.36	           1.00	         2	                 0.03	         8	         0	        11	        20	        23	        62	          0.13	           0.00	          0.17	           0.31	            0.36	            0.97	               3	               0	              11	              20	              23	              57	                0.05	                 0.00	                0.17	                 0.31	                  0.36	                  0.89	              5	              0	              0	              0	              0	              5	               0.08	                0.00	               0.00	                0.00	                 0.00	                 0.08
Professor Adcock, I.M.	Adcock, Professor Ian Michael	315.0	3.0	43.0	172.0	6253.0	0.0156192529966292	0.0726093228849233	0.00487920152944337	1.72078272255848E-5	0.0987411487018096	263.0	0.0581718437121407	116.77715613495	0.941751259152829	3.0	0.0	4.0	         5.23	            1	            3	            5	            7	           16	      5.51	         2	         3	         5	         7	        16	       13	        0	        5	       12	       18	       48	         0.27	          0.00	         0.10	          0.25	           0.38	           1.00	         3	                 0.06	        10	         0	         5	        12	        18	        45	          0.21	           0.00	          0.10	           0.25	            0.38	            0.94	               4	               0	               5	              12	              18	              39	                0.08	                 0.00	                0.10	                 0.25	                  0.38	                  0.81	              6	              0	              0	              0	              0	              6	               0.13	                0.00	               0.00	                0.00	                 0.00	                 0.13
Dr Agarwal, R.		             	             	             	             	             	             	          	          	          	          	          	          	        0	        0	        0	        0	        0	        0	             	              	             	              	               	               	         0	                     	         0	         0	         0	         0	         0	         0	              	               	              	               	                	                	               0	               0	               0	               0	               0	               0	                    	                     	                    	                     	                      	                      	              0	              0	              0	              0	              0	              0	                   	                    	                   	                    	                     	                     
Dr Agarwal, R.	Agarwal, Dr Roshan	113.0	1.0	4.0	5.0	223.0	0.018325355695154	0.0850398390677217	0.00908234719840061	0.0128672335214212	0.101950354609929	 	 	 	 	1.0	1.0	6.0	         6.00	            4	            4	            6	            8	            8	      6.00	         4	         4	         6	         8	         8	        2	        0	        1	        0	        0	        3	         0.67	          0.00	         0.33	          0.00	           0.00	           1.00	         0	                 0.00	         2	         0	         1	         0	         0	         3	          0.67	           0.00	          0.33	           0.00	            0.00	            1.00	               2	               0	               1	               0	               0	               3	                0.67	                 0.00	                0.33	                 0.00	                  0.00	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
