Author	Period	Full Name	ID	Time Period	h index	Number of publications 	Number of citations 	Degree 	Betweenness 	Closeness 	Eigenvector 	Clustering Coefficient	Strength	Constraint	Effective Size	Efficiency	Academic Tenure 0 = lecturer, 1 = senior lecturer, 2 = reader, 3 = professor	Clinical Activity(1=clinician, 0=non clinician)	Department 1 = Clinical Sciences, 2 = Kennedy Institue of Rheumatology, 3 = Medicine, 4 = NHLI, 5 = School of Public Health, 6 = Surgery and Cancer	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max	 Team.Mean	  Team.Min	   Team.Q1	   Team.Q2	   Team.Q3	  Team.Max	  All.1st	 All.Last	  All.2nd	 All.PenU	All.Other	All.Total	     All.1st%	     All.Last%	     All.2nd%	     All.PenU%	     All.Other%	     All.Total%	Solo.Total	     Solo.Total%	  Team.1st	 Team.Last	  Team.2nd	 Team.PenU	Team.Other	Team.Total	     Team.1st%	     Team.Last%	     Team.2nd%	     Team.PenU%	     Team.Other%	     Team.Total%	  NAlphaTeam.1st	 NAlphaTeam.Last	  NAlphaTeam.2nd	 NAlphaTeam.PenU	NAlphaTeam.Other	NAlphaTeam.Total	     NAlphaTeam.1st%	     NAlphaTeam.Last%	     NAlphaTeam.2nd%	     NAlphaTeam.PenU%	     NAlphaTeam.Other%	     NAlphaTeam.Total%	  AlphaTeam.1st	 AlphaTeam.Last	  AlphaTeam.2nd	 AlphaTeam.PenU	AlphaTeam.Other	AlphaTeam.Total	     AlphaTeam.1st%	     AlphaTeam.Last%	     AlphaTeam.2nd%	     AlphaTeam.PenU%	     AlphaTeam.Other%	     AlphaTeam.Total%
Professor Abel, P.D.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         4.60	            1	            3	            4	            6	           11	      4.75	         2	         3	         4	         6	        11	       15	       23	       14	       11	        9	       72	         0.21	          0.32	         0.19	          0.15	           0.13	           1.00	         3	                 0.04	        12	        23	        14	        11	         9	        69	          0.17	           0.32	          0.19	           0.15	            0.13	            0.96	               5	              23	              14	              11	               9	              62	                0.07	                 0.32	                0.19	                 0.15	                  0.13	                  0.86	              7	              0	              0	              0	              0	              7	               0.10	                0.00	               0.00	                0.00	                 0.00	                 0.10
Professor Abel, P.D.	1	Abel, Professor Paul David	313.0	1.0	9.0	12.0	206.0	0.0106287063031893	0.00976523564192867	0.00860013140629942	0.00261259497823493	0.243842364532019	84.0	0.167996996272971	24.2268398268398	0.835408269891028	3.0	1.0	6.0	         5.83	            2	            5	            6	            7	            9	      5.83	         2	         5	         6	         7	         9	        0	        3	        4	        1	        4	       12	         0.00	          0.25	         0.33	          0.08	           0.33	           1.00	         0	                 0.00	         0	         3	         4	         1	         4	        12	          0.00	           0.25	          0.33	           0.08	            0.33	            1.00	               0	               3	               4	               1	               4	              12	                0.00	                 0.25	                0.33	                 0.08	                  0.33	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Abel, P.D.	2	Abel, Professor Paul David	313.0	2.0	12.0	22.0	333.0	0.00282580778855422	0.00281840391958513	0.00524486951306378	5.27003196488759E-8	0.379084967320261	41.0	0.233060922565545	13.3666666666666	0.742592592592592	3.0	1.0	6.0	         7.50	            3	            4	            5	            7	           28	      7.50	         3	         4	         5	         7	        28	        0	        5	        0	        1	        4	       10	         0.00	          0.50	         0.00	          0.10	           0.40	           1.00	         0	                 0.00	         0	         5	         0	         1	         4	        10	          0.00	           0.50	          0.00	           0.10	            0.40	            1.00	               0	               5	               0	               1	               4	              10	                0.00	                 0.50	                0.00	                 0.10	                  0.40	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Abel, P.D.	3	Abel, Professor Paul David	313.0	3.0	12.0	28.0	347.0	0.00239327263658029	0.0199994153602652	0.0038386192822662	1.19072341813197E-7	0.444444444444444	20.0	0.154381291370487	11.8583333333333	0.624122807017543	3.0	1.0	6.0	         5.80	            2	            2	            5	            8	           12	      5.80	         2	         2	         5	         8	        12	        0	        2	        0	        1	        2	        5	         0.00	          0.40	         0.00	          0.20	           0.40	           1.00	         0	                 0.00	         0	         2	         0	         1	         2	         5	          0.00	           0.40	          0.00	           0.20	            0.40	            1.00	               0	               2	               0	               1	               2	               5	                0.00	                 0.40	                0.00	                 0.20	                  0.40	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Abel, P.D.	4	
Professor Aboagye, E.O.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         5.35	            2	            4	            5	            7	            9	      5.35	         2	         4	         5	         7	         9	       13	        1	        2	        2	        2	       20	         0.65	          0.05	         0.10	          0.10	           0.10	           1.00	         0	                 0.00	        13	         1	         2	         2	         2	        20	          0.65	           0.05	          0.10	           0.10	            0.10	            1.00	               9	               1	               2	               2	               2	              16	                0.45	                 0.05	                0.10	                 0.10	                  0.10	                  0.80	              4	              0	              0	              0	              0	              4	               0.20	                0.00	               0.00	                0.00	                 0.00	                 0.20
Professor Aboagye, E.O.	1	Aboagye, Professor Eric Ofori	314.0	1.0	16.0	26.0	765.0	0.0278545406566341	0.0894153020794619	0.00952314091547864	0.0162863290904413	0.149824561403508	133.0	0.0682731548767784	69.4434268543698	0.913729300715392	3.0	0.0	6.0	         7.35	            1	            5	            7	           11	           12	      7.60	         2	         5	         7	        11	        12	        6	        5	        3	        1	       11	       26	         0.23	          0.19	         0.12	          0.04	           0.42	           1.00	         1	                 0.04	         5	         5	         3	         1	        11	        25	          0.19	           0.19	          0.12	           0.04	            0.42	            0.96	               4	               5	               3	               1	              11	              24	                0.15	                 0.19	                0.12	                 0.04	                  0.42	                  0.92	              1	              0	              0	              0	              0	              1	               0.04	                0.00	               0.00	                0.00	                 0.00	                 0.04
Professor Aboagye, E.O.	2	Aboagye, Professor Eric Ofori	314.0	2.0	22.0	47.0	1244.0	0.00957634861676708	0.0729772889352278	0.00627981742751357	0.00117642605819202	0.168306010928961	112.0	0.0715562209817004	54.6727413211788	0.896274447888177	3.0	0.0	6.0	         8.62	            1	            6	            8	           10	           20	      9.42	         3	         6	         8	        11	        20	        2	        6	        4	        0	        9	       21	         0.10	          0.29	         0.19	          0.00	           0.43	           1.00	         2	                 0.10	         0	         6	         4	         0	         9	        19	          0.00	           0.29	          0.19	           0.00	            0.43	            0.90	               0	               6	               4	               0	               9	              19	                0.00	                 0.29	                0.19	                 0.00	                  0.43	                  0.90	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Aboagye, E.O.	3	Aboagye, Professor Eric Ofori	314.0	3.0	23.0	66.0	1424.0	0.0119663631829014	0.121010637853501	0.00480390135562768	1.01874652702208E-5	0.124524076147816	145.0	0.0411940810928069	87.4697961200394	0.920734696000415	3.0	0.0	6.0	         8.79	            2	            6	            8	           11	           17	      8.79	         2	         6	         8	        11	        17	        0	       12	        2	        1	        4	       19	         0.00	          0.63	         0.11	          0.05	           0.21	           1.00	         0	                 0.00	         0	        12	         2	         1	         4	        19	          0.00	           0.63	          0.11	           0.05	            0.21	            1.00	               0	              12	               2	               1	               4	              19	                0.00	                 0.63	                0.11	                 0.05	                  0.21	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Aboagye, E.O.	4	
