Author	Full Name	ID	Time Period	h index	Number of publications 	Number of citations 	Degree 	Betweenness 	Closeness 	Eigenvector 	Clustering Coefficient	Strength	Constraint	Effective Size	Efficiency	Academic Tenure 0 = lecturer, 1 = senior lecturer, 2 = reader, 3 = professor	Clinical Activity(1=clinician, 0=non clinician)	Department 1 = Clinical Sciences, 2 = Kennedy Institue of Rheumatology, 3 = Medicine, 4 = NHLI, 5 = School of Public Health, 6 = Surgery and Cancer	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max	 Team.Mean	  Team.Min	   Team.Q1	   Team.Q2	   Team.Q3	  Team.Max	  All.1st	 All.Last	  All.2nd	 All.PenU	All.Other	All.Total	     All.1st%	     All.Last%	     All.2nd%	     All.PenU%	     All.Other%	     All.Total%	Solo.Total	     Solo.Total%	  Team.1st	 Team.Last	  Team.2nd	 Team.PenU	Team.Other	Team.Total	     Team.1st%	     Team.Last%	     Team.2nd%	     Team.PenU%	     Team.Other%	     Team.Total%	  NAlphaTeam.1st	 NAlphaTeam.Last	  NAlphaTeam.2nd	 NAlphaTeam.PenU	NAlphaTeam.Other	NAlphaTeam.Total	     NAlphaTeam.1st%	     NAlphaTeam.Last%	     NAlphaTeam.2nd%	     NAlphaTeam.PenU%	     NAlphaTeam.Other%	     NAlphaTeam.Total%	  AlphaTeam.1st	 AlphaTeam.Last	  AlphaTeam.2nd	 AlphaTeam.PenU	AlphaTeam.Other	AlphaTeam.Total	     AlphaTeam.1st%	     AlphaTeam.Last%	     AlphaTeam.2nd%	     AlphaTeam.PenU%	     AlphaTeam.Other%	     AlphaTeam.Total%
Mr Aggarwal, R.	Aggarwal, Mr Rajesh	1.0	1.0	2.0	3.0	12.0	0.018325355695154	0.0850398390677217	0.00908234719840061	0.0128672335214212	0.101950354609929	77.0	0.0480535771627995	45.3442978293245	0.906885956586491	0.0	1.0	6.0	         4.48	            1	            3	            4	            5	           12	      4.81	         2	         3	         4	         5	        12	       11	        0	        7	        2	        3	       23	         0.48	          0.00	         0.30	          0.09	           0.13	           1.00	         2	                 0.09	         9	         0	         7	         2	         3	        21	          0.39	           0.00	          0.30	           0.09	            0.13	            0.91	               7	               0	               7	               2	               3	              19	                0.30	                 0.00	                0.30	                 0.09	                  0.13	                  0.83	              2	              0	              0	              0	              0	              2	               0.09	                0.00	               0.00	                0.00	                 0.00	                 0.09
Mr Aggarwal, R.	Aggarwal, Mr Rajesh	1.0	2.0	12.0	30.0	599.0	0.0138150602995984	0.149970996540158	0.00607430507979756	5.96827633095618E-4	0.0885579937304075	195.0	0.0855593044003708	82.7424233167536	0.940254810417655	0.0	1.0	6.0	         4.57	            2	            3	            5	            7	            7	      4.57	         2	         3	         5	         7	         7	        7	        0	        4	        0	        3	       14	         0.50	          0.00	         0.29	          0.00	           0.21	           1.00	         0	                 0.00	         7	         0	         4	         0	         3	        14	          0.50	           0.00	          0.29	           0.00	            0.21	            1.00	               4	               0	               4	               0	               3	              11	                0.29	                 0.00	                0.29	                 0.00	                  0.21	                  0.79	              3	              0	              0	              0	              0	              3	               0.21	                0.00	               0.00	                0.00	                 0.00	                 0.21
Mr Aggarwal, R.	Aggarwal, Mr Rajesh	1.0	3.0	16.0	71.0	881.0	0.0226731091886553	0.259469012242298	0.00512914945867283	2.07036614163249E-5	0.0682184978274363	302.0	0.036969040363704	172.22072767086	0.956781820393667	0.0	1.0	6.0	         5.72	            2	            3	            6	            7	           12	      5.72	         2	         3	         6	         7	        12	       24	        0	       12	        1	       17	       54	         0.44	          0.00	         0.22	          0.02	           0.31	           1.00	         0	                 0.00	        24	         0	        12	         1	        17	        54	          0.44	           0.00	          0.22	           0.02	            0.31	            1.00	              14	               0	              12	               1	              17	              44	                0.26	                 0.00	                0.22	                 0.02	                  0.31	                  0.81	             10	              0	              0	              0	              0	             10	               0.19	                0.00	               0.00	                0.00	                 0.00	                 0.19
Dr Asquith, R.E.	Asquith, Dr Rebecca Emma (Becca)	5.0	1.0	7.0	9.0	179.0	0.00879617073367394	0.00837289391969103	0.00891320168883636	0.0059571693402952	0.322463768115942	60.0	0.109700715481077	18.4165394790394	0.767355811626645	0.0	0.0	3.0	
Dr Asquith, R.E.	Asquith, Dr Rebecca Emma (Becca)	5.0	2.0	13.0	22.0	379.0	0.00941935929518074	0.0561769829737579	0.00514231328201358	3.35675531801214E-8	0.203389830508474	 	 	 	 	0.0	0.0	3.0	
Dr Asquith, R.E.	Asquith, Dr Rebecca Emma (Becca)	5.0	3.0	14.0	39.0	502.0	0.00831347336917364	0.0223492207387395	0.00459010861836003	5.82999007667017E-6	0.246620046620046	119.0	0.0635579938105178	55.6817927170868	0.843663526016467	0.0	0.0	3.0	
Dr Butt, S.J.B.	Butt, Dr Simon Julian Bevan	12.0	1.0	6.0	6.0	417.0	0.00329856402512772	0.00986020534443055	0.00739043225770117	9.54451370012957E-4	0.611111111111111	14.0	0.351376425856172	6.09523809523809	0.677248677248677	0.0	0.0	3.0	         2.67	            2	            2	            3	            3	            3	      2.67	         2	         2	         3	         3	         3	        3	        0	        0	        0	        0	        3	         1.00	          0.00	         0.00	          0.00	           0.00	           1.00	         0	                 0.00	         3	         0	         0	         0	         0	         3	          1.00	           0.00	          0.00	           0.00	            0.00	            1.00	               1	               0	               0	               0	               0	               1	                0.33	                 0.00	                0.00	                 0.00	                  0.00	                  0.33	              2	              0	              0	              0	              0	              2	               0.67	                0.00	               0.00	                0.00	                 0.00	                 0.67
Dr Butt, S.J.B.	Butt, Dr Simon Julian Bevan	12.0	2.0	9.0	11.0	689.0	0.00313978643172691	0.0282341384710879	0.00480487022913674	4.43954286427585E-8	0.305263157894736	22.0	0.165330895715651	15.0454545454545	0.752272727272727	0.0	0.0	3.0	         4.14	            2	            2	            3	            7	            8	      4.14	         2	         2	         3	         7	         8	        4	        0	        3	        0	        0	        7	         0.57	          0.00	         0.43	          0.00	           0.00	           1.00	         0	                 0.00	         4	         0	         3	         0	         0	         7	          0.57	           0.00	          0.43	           0.00	            0.00	            1.00	               2	               0	               3	               0	               0	               5	                0.29	                 0.00	                0.43	                 0.00	                  0.00	                  0.71	              2	              0	              0	              0	              0	              2	               0.29	                0.00	               0.00	                0.00	                 0.00	                 0.29
Dr Butt, S.J.B.	Butt, Dr Simon Julian Bevan	12.0	3.0	12.0	15.0	792.0	0.00251923435429504	0.0374924823898121	0.00322734292051135	7.21199516732481E-10	0.289473684210526	22.0	0.173584455667789	14.9090909090909	0.745454545454545	0.0	0.0	3.0	         7.20	            4	            6	            7	            9	           10	      7.20	         4	         6	         7	         9	        10	        2	        0	        1	        0	        2	        5	         0.40	          0.00	         0.20	          0.00	           0.40	           1.00	         0	                 0.00	         2	         0	         1	         0	         2	         5	          0.40	           0.00	          0.20	           0.00	            0.40	            1.00	               2	               0	               1	               0	               2	               5	                0.40	                 0.00	                0.20	                 0.00	                  0.40	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Chung, A.J.	Chung, Dr Adrian James	16.0	1.0	2.0	2.0	6.0	0.0542430528576559	0.317322950731856	0.0102549565334941	0.031975721548187	0.0651774223202794	163.0	0.0171847308881218	142.206543239295	0.960855021887129	0.0	0.0	6.0	             	             	             	             	             	             	          	          	          	          	          	          	        0	        0	        0	        0	        0	        0	             	              	             	              	               	               	         0	                     	         0	         0	         0	         0	         0	         0	              	               	              	               	                	                	               0	               0	               0	               0	               0	               0	                    	                     	                    	                     	                      	                      	              0	              0	              0	              0	              0	              0	                   	                    	                   	                    	                     	                     
